	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
1500032L24Rik	0.0	0.0	114.78	0.0	61.91	75.26	6.09	26.14	226.47	78.83	273.76	100.18	150.2	35.47	250.43	119.94	172.42	150.09	277.62	103.89	270.91	232.43	143.8	190.92	255.4	38.02	103.39	127.48	77.28	333.32	289.56	91.29	345.68	126.04	193.96	213.87	203.64	115.94	254.54	330.94	0.0	1.25
1700020I14Rik	0.0	56.82	19.43	92.06	0.0	117.41	0.0	49.14	0.2	0.0	217.69	188.16	235.74	345.79	256.81	266.72	125.82	174.76	141.62	406.99	197.67	197.44	135.41	66.94	63.86	203.32	211.49	129.46	152.58	137.18	317.67	165.77	136.43	308.54	263.24	203.67	292.83	318.5	144.8	138.19	0.0	0.0
4921513D23Rik	0.0	15.62	18.57	0.12	0.06	45.18	0.0	2.04	18.57	0.38	106.68	88.3	12.52	19.91	54.28	95.8	64.98	129.21	105.14	47.33	123.78	107.63	74.04	4.17	22.1	12.76	17.14	64.84	24.95	34.77	89.43	93.31	51.62	90.12	44.47	36.78	69.63	60.6	49.68	105.83	0.0	0.0
5730437N04Rik	0.0	0.0	0.0	204.88	0.0	52.98	0.41	60.77	0.0	0.0	13.33	2.25	77.09	65.04	101.29	0.0	160.57	51.81	123.72	60.52	138.6	54.95	62.9	4.39	59.88	29.96	94.13	59.02	0.0	70.89	141.47	0.0	72.44	0.0	145.0	30.02	2.61	107.96	33.77	18.1	0.0	0.0
AI836003	0.0	0.0	128.76	0.0	0.0	118.02	0.0	32.94	0.0	0.0	28.1	70.08	101.5	51.9	33.24	15.6	0.23	21.92	59.59	95.17	113.14	111.64	191.91	147.96	15.87	15.75	48.91	76.11	92.68	61.13	192.74	12.76	21.33	11.01	206.63	137.25	74.74	32.9	123.69	7.12	0.0	0.0
Alkbh6	0.0	27.81	33.7	0.27	0.0	185.93	0.0	19.16	0.0	3.54	80.4	131.44	36.01	9.49	157.33	51.8	145.44	61.05	189.28	136.57	300.15	69.31	331.81	104.02	240.13	10.99	53.54	127.03	76.63	166.19	173.75	288.64	177.94	3.02	203.64	162.99	83.35	98.42	128.82	239.42	0.0	0.0
Ank	0.13	69.12	1.47	0.0	0.0	0.18	81.4	83.87	4.58	39.9	80.66	81.81	1.13	83.68	227.29	88.31	58.01	121.05	50.83	114.14	137.08	119.23	84.49	89.15	234.87	66.04	60.53	137.81	116.63	136.53	94.53	128.44	13.9	39.72	72.33	51.84	91.52	87.76	209.05	122.45	0.0	0.0
Apc	0.0	0.01	31.64	0.02	0.0	24.3	0.0	20.66	4.73	2.4	17.56	44.52	10.36	25.93	24.19	46.26	47.48	25.99	36.44	51.89	29.23	62.53	31.44	0.44	12.7	32.54	13.61	13.61	30.81	30.37	26.39	16.34	16.18	6.95	37.85	19.94	57.25	33.68	61.57	46.87	0.0	0.0
Atp1a3	0.12	158.52	262.23	188.26	0.0	395.28	0.0	256.74	70.54	229.34	527.8	425.42	283.1	423.25	389.58	385.07	337.2	506.89	418.19	525.64	329.14	566.76	458.89	577.1	824.32	487.35	332.41	603.76	573.8	604.28	594.6	485.37	326.95	404.61	242.69	513.24	728.81	808.83	1318.82	753.93	0.0	0.0
Atrnl1	0.0	0.0	0.0	7.5	0.0	5.23	0.0	7.78	0.0	23.74	26.5	16.19	0.3	7.46	11.57	23.35	17.08	12.58	2.84	11.15	5.96	0.49	5.5	0.0	41.62	0.04	43.64	30.03	46.14	0.67	44.86	3.46	12.59	19.06	2.43	12.67	22.69	16.16	37.44	26.53	0.0	0.0
