	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810043H04Rik	0.0	149.32	0.0	0.0	330.91	0.0	0.0	0.0	36.54	13.78	0.53	0.0	0.0	0.0	2.3	360.16	272.99	0.0	406.87	0.0	28.33	33.91	32.76
3830406C13Rik	0.0	0.0	0.0	0.0	141.55	0.17	0.0	0.0	38.35	121.14	0.1	0.0	0.18	0.0	1.95	0.0	0.0	0.25	362.83	0.0	22.91	20.24	21.78
4933407G14Rik	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.19	0.47	0.05	0.0	0.0	0.53	0.0	0.0	0.21	0.97	0.0	0.27	0.65	0.38
Aak1	0.02	0.04	0.05	0.0	6.12	0.14	0.0	0.0	17.8	5.15	0.09	0.01	0.04	0.0	7.83	0.0	0.03	31.67	77.92	0.0	77.03	72.23	78.8
Abhd16a	0.0	0.0	0.0	0.0	67.78	0.0	0.0	44.62	21.01	0.25	0.12	0.0	0.0	0.0	1.6	0.0	0.0	0.0	87.51	0.0	88.09	98.64	86.21
Add1	0.0	72.96	9.16	25.63	350.97	577.38	0.0	233.67	39.76	17.99	135.55	0.44	0.11	0.0	103.47	8.99	0.27	0.15	532.91	0.09	265.4	270.28	268.92
Ahcyl1	0.0	0.0	0.0	19.55	191.1	0.1	0.0	144.63	135.13	24.77	0.24	0.57	0.11	0.0	170.01	22.11	2.16	10.79	213.53	0.0	271.11	260.93	276.26
Birc6	4.36	12.26	24.23	18.58	50.24	45.5	5.5	6.92	34.99	35.37	12.99	4.52	9.93	0.0	59.78	13.26	28.26	38.53	61.13	0.73	32.65	28.87	33.37
Bmp1	0.0	0.0	0.0	0.0	125.73	0.0	0.0	0.1	14.68	0.0	0.13	0.0	0.11	0.0	66.77	20.6	0.0	0.0	75.1	0.0	43.03	38.95	50.36
Colec12	8.38	15.99	2.83	8.71	23.44	17.23	19.05	15.64	23.1	17.05	13.59	8.68	17.17	3.41	56.91	19.05	15.29	3.46	34.11	7.23	20.29	19.38	20.84
Cse1l	0.0	0.04	0.0	0.0	205.9	0.11	0.0	0.0	19.94	298.64	0.52	0.07	0.12	0.0	29.54	0.0	0.0	0.0	0.47	0.0	53.05	49.92	48.76
D1Ertd622e	0.0	0.0	0.0	0.0	282.76	0.0	0.0	0.0	14.64	19.0	53.28	0.0	0.0	58.7	0.21	0.0	0.0	0.0	412.32	0.0	59.85	58.61	55.96
Dnajc15	0.0	68.64	92.67	0.0	398.42	160.09	0.0	0.64	148.2	0.39	0.0	0.0	0.0	0.0	781.85	0.0	0.0	0.0	348.46	0.0	66.43	61.37	55.91
Ebp	0.0	254.96	0.0	0.0	467.25	0.23	0.22	0.0	71.01	0.55	0.28	8.31	0.0	0.0	7.0	0.39	342.5	0.0	573.81	0.0	16.85	15.78	15.92
Enpp4	3.3	73.46	0.88	1.37	183.4	171.06	2.44	2.41	16.0	187.59	367.24	0.86	0.98	1.49	0.35	1.55	106.81	1.3	340.43	13.42	20.03	19.14	18.3
Exoc2	0.0	0.0	0.0	0.0	155.18	3.74	0.0	0.0	17.58	11.76	1.88	0.0	153.25	0.0	132.45	0.0	0.0	0.0	193.8	0.0	34.59	35.74	34.77
Fam54b	0.0	0.0	0.0	155.61	740.51	199.59	0.19	353.68	87.09	0.12	0.24	212.06	0.44	0.0	1.65	0.0	0.0	178.39	668.34	0.18	60.62	68.62	63.44
Ggt7	0.0	0.0	0.0	0.0	0.0	288.61	0.0	0.0	30.73	0.0	0.0	261.2	0.33	0.0	0.84	0.0	49.84	0.0	220.13	0.0	112.55	122.34	119.47
Gm14420	2.26	16.11	12.87	6.54	16.27	38.81	26.81	19.09	34.38	3.16	18.61	12.42	0.34	4.03	90.44	20.66	29.79	14.7	41.87	1.81	36.23	28.51	35.68
Gm5148	1.58	3.32	1.25	0.0	336.59	4.43	4.35	0.85	31.12	2.44	1.68	4.24	0.0	2.87	168.61	0.0	0.67	0.0	264.27	3.15	3.03	4.77	4.66
Gmpr2	0.0	0.0	0.0	0.0	0.0	361.05	0.25	0.0	37.12	0.0	0.47	0.0	72.01	0.0	0.77	0.0	0.0	0.0	521.6	0.0	24.09	24.69	23.07
Heatr6	0.2	0.02	0.0	0.0	0.0	88.62	0.0	25.83	9.04	0.21	0.17	0.12	0.08	0.0	0.22	0.0	0.09	0.1	95.48	0.0	11.07	10.73	12.44
Mbnl2	0.0	128.6	33.82	0.13	67.57	67.36	0.0	15.31	61.98	18.94	27.56	36.6	52.06	52.82	108.09	40.73	0.0	0.0	182.41	0.0	149.63	128.87	140.17
Mras	0.0	0.04	0.0	0.0	0.0	0.39	0.0	0.0	27.45	0.06	0.18	0.0	0.0	0.0	15.84	0.0	0.13	0.0	136.38	0.0	136.61	125.31	139.08
Nab2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.07	0.0	0.0	0.03	0.0	0.28	0.0	0.0	0.21	0.44	0.0	46.24	45.77	32.04
Ndufa10	0.0	0.0	9.94	0.0	381.05	110.17	0.0	20.66	132.91	9.68	252.07	202.9	0.37	0.0	3.74	0.0	12.02	4.57	468.42	0.0	203.73	210.1	204.47
Pcbp4	0.0	2.85	0.0	0.0	0.0	209.03	0.0	0.57	5.01	0.35	0.94	157.32	0.0	0.0	4.64	0.0	138.6	0.0	390.85	1.23	124.72	143.46	138.57
Pik3c3	0.0	0.0	0.0	0.0	57.93	247.45	0.12	0.0	23.66	18.78	8.7	0.08	0.0	0.0	0.61	0.0	0.0	0.0	375.2	333.05	45.48	42.88	42.68
Ppm1k	2.11	90.85	2.41	1.63	132.33	75.55	1.56	4.25	218.6	1.82	109.05	1.22	247.53	1.65	5.22	93.7	1.77	1.68	450.4	0.09	39.76	35.98	36.98
Ptgds	0.66	34173.38	26584.93	31568.94	54843.26	18368.91	26720.82	47452.67	92.27	56522.07	60719.49	31434.39	32699.18	40932.13	2.69	38022.65	47873.29	40457.23	39774.1	53160.05	1497.69	1644.65	1231.28
Rps10	7.96	9.46	0.0	0.0	549.0	116.03	0.0	0.0	84.46	251.5	479.54	0.0	0.0	0.0	160.94	0.0	200.91	183.27	843.66	303.22	332.23	401.77	364.23
Rps12	0.0	80.96	1.08	0.0	322.63	1.71	0.0	57.4	252.9	230.16	237.88	65.93	0.91	0.0	230.71	0.0	311.02	0.0	533.37	0.76	404.75	455.87	432.36
Sar1a	0.0	0.06	0.0	0.0	210.94	270.35	0.0	5.63	84.56	0.18	126.49	0.29	0.0	0.0	0.96	0.0	0.0	0.0	21.26	0.0	122.53	128.09	123.09
Sec63	0.0	0.02	0.0	0.19	45.02	0.07	0.0	0.04	22.97	0.04	0.04	0.04	0.05	0.0	0.73	0.0	0.0	0.0	199.07	0.0	40.39	35.34	39.94
Sh3gl1	0.0	0.0	0.0	0.0	300.24	0.0	0.0	0.0	0.64	0.0	0.0	4.22	0.0	0.0	0.0	0.0	0.27	0.0	389.51	0.0	40.28	38.6	36.09
Srr	0.0	0.0	0.0	0.0	0.12	210.95	0.0	0.0	29.14	0.14	0.14	0.14	0.0	0.0	2.61	147.33	0.0	0.0	64.17	0.0	76.68	70.5	78.84
Tanc2	0.1	2.61	0.98	1.38	11.39	3.52	1.62	1.84	16.41	1.25	1.59	1.59	1.64	1.52	110.07	0.77	0.82	1.12	73.98	1.82	57.39	54.13	60.94
Tax1bp3	0.0	195.14	0.0	0.0	562.69	1.16	0.0	0.0	50.42	0.0	0.17	0.18	0.0	0.0	25.33	0.0	0.75	0.0	806.23	0.0	10.44	11.3	10.92
Tmem38a	0.0	0.0	0.0	0.0	0.58	0.58	0.0	0.0	105.53	0.46	0.8	0.12	0.21	0.0	86.48	0.0	0.0	0.0	0.61	0.0	118.0	125.7	118.34
Tor1aip1	0.0	6.77	0.0	0.0	0.0	27.95	0.0	3.21	1.54	0.0	0.0	0.0	0.92	0.0	0.24	0.0	5.47	0.0	49.71	0.0	22.99	21.69	21.05
Ubr2	0.0	0.39	0.0	0.0	0.0	30.85	4.98	0.0	5.68	0.06	0.0	0.0	0.0	3.71	74.94	1.65	11.09	5.78	45.6	0.0	37.12	36.47	37.59
Usp30	0.0	0.0	0.0	0.0	148.55	0.0	0.0	0.0	8.99	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	253.78	28.23	35.67	35.77	36.43
Vsig10	0.0	0.0	0.0	0.0	0.0	0.2	0.09	0.0	0.55	0.12	0.09	0.0	0.0	0.17	0.37	0.0	0.0	0.15	0.26	0.0	1.2	1.5	2.19
