	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_2	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190002H23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	4.72	4.76	30.52	35.55	34.49
1700001G11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.41	0.52	0.86
1700020D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	6.3	7.16
1700030C10Rik	0.26	0.12	0.0	0.95	0.0	0.0	0.55	0.0	36.68	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.43	0.26	0.0	0.0	0.0	0.0	0.34	0.31	0.0	0.25	0.0	0.35	1.0	0.82	2.33	1.99	1.81
1700095B22Rik	0.0	0.0	0.0	0.0	0.35	0.35	0.0	0.0	15.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	3.53	0.0	0.0	0.0	0.0	0.0	0.28	0.33	0.33	2.09	2.38	2.38
1700123K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0
2010107G12Rik	0.21	0.0	0.21	0.23	0.0	0.0	0.11	0.19	5.14	0.12	0.19	0.23	0.19	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.04	0.0	0.0	0.0	0.49	0.61	0.28
2510039O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.39	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.39	1.53	24.71	26.72	25.18
4930404I05Rik	0.0	0.0	0.0	0.0	0.0	0.0	6.82	0.0	41.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.37	1.87	1.77	2.35
4930525D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.65	0.31	0.56
