	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_76	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610038B21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.18	0.96
1190007F08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.86	21.19	40.49	7.44	3.16	0.22	0.0	0.0	0.0	6.19	5.71	6.28
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.01	0.56
1700102P08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.85	0.0	0.0	0.0	0.0	0.0	0.0	1.47	1.9	1.52
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
2900005J15Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	45.71	0.0	0.0	0.24	0.06	0.06	0.12	3.12	2.71	3.78
4833403I15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	0.03
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930562C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.19	0.08
4933400F21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.42	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
6330403A02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	129.61	129.26	131.62
9030612E09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.91	0.0	0.0	0.0	0.0	0.0	0.0	2.08	1.91	1.77
9330111N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
A4gnt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.07
A730011L01Rik	1.88	1.79	1.31	3.95	2.05	1.46	1.69	3.74	2.4	4.02	2.49	3.22	3.09	0.95	14.09	2.97	0.96	2.96	3.22	1.2	2.38	18.35	17.54	19.37
Acbd4	0.0	30.03	1.95	79.16	0.0	9.59	0.0	0.0	0.0	77.36	5.4	0.06	0.0	0.82	67.16	0.0	112.34	27.77	69.15	33.38	11.1	27.58	31.16	27.4
Adamtsl1	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	0.0	0.0	0.0	0.0	0.0	2.59	2.35	2.68
Adap1	11.24	0.0	1.05	9.65	2.29	0.0	1.47	1.48	0.0	1.87	0.0	96.7	34.31	25.41	102.47	1.47	0.0	13.72	39.77	11.97	2.61	195.41	208.11	199.98
Afap1l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	5.78	5.75	7.35
Agr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16	0.0	0.0	0.34	0.0	0.0	0.0	0.13	0.0	0.0
Akr1b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Ankrd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.14	70.54	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.57
Arsg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.75	0.0	0.0	0.0	0.0	0.0	0.0	15.74	17.26	16.69
B3gnt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.62	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.1	1.51
Barhl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cadps2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.0	25.36	0.0	0.0	0.0	0.0	0.0	0.0	57.61	59.66	54.73
Ccdc117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	40.6	0.0	28.5	0.0	0.0	0.0	0.0	16.29	15.62	12.6
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ccdc40	13.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.79	0.0	0.0	20.41	0.0	0.0	0.0	0.0	0.0	0.0	1.02	1.11	0.91
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ces1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.05
Chtf8	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.53	0.15	0.64	0.53	0.0	7.62	0.0	0.0	0.0	0.0	0.0	0.51	58.89	61.05	55.88
