	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_47	Chrna2_tdTpositive_cell_53	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_28	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_92
0610010O12Rik	186.14	187.35	244.76	229.2	221.62	0.0	15.81	108.15	142.3	143.7	115.38	104.33	186.18	94.7	118.72	222.6	217.48	104.35	0.0	0.0	0.0	0.0	0.0	107.01	205.02
0610037P05Rik	202.15	182.34	52.56	249.81	171.3	1.12	307.21	135.96	125.19	144.65	131.91	113.24	50.26	60.47	91.39	119.2	82.79	151.6	0.0	0.58	0.86	0.43	1.81	67.0	120.84
1810014F10Rik	141.81	93.57	213.13	314.66	521.05	0.0	75.81	0.0	71.31	44.65	55.07	27.15	27.25	34.64	0.0	102.57	70.6	162.07	0.0	0.0	0.0	0.0	0.0	151.63	84.87
2810433D01Rik	21.93	13.19	16.06	24.44	9.55	0.33	4.89	7.23	9.43	8.14	8.61	3.2	4.77	2.67	3.3	8.14	1.65	8.84	2.16	1.37	1.27	0.58	0.0	8.03	2.1
Akap6	7.61	18.83	36.57	0.12	13.44	0.0	37.84	11.01	22.25	27.94	28.92	28.43	21.56	44.43	7.68	33.04	24.32	33.89	0.0	0.03	0.0	0.0	0.0	38.93	20.7
Aldh7a1	34.94	51.5	0.0	92.26	53.89	0.0	105.35	7.67	0.0	0.0	0.0	0.43	61.99	0.07	0.0	18.12	26.6	25.72	0.0	0.0	0.0	0.0	0.0	0.0	13.76
Arl2	317.1	160.14	315.56	327.99	375.26	0.0	33.89	159.02	222.77	181.04	345.86	231.45	96.66	57.24	156.57	320.3	207.84	276.48	0.0	0.0	0.0	0.0	0.0	209.55	305.74
Atp5g1	1753.46	462.35	1879.46	1915.75	1732.7	326.75	573.88	1184.59	819.25	950.73	997.58	788.04	637.9	605.12	890.42	593.61	796.9	588.38	0.0	1.27	0.0	0.0	0.0	910.82	1017.0
Atp6v0c	1833.24	1436.66	2695.0	1765.32	1860.76	310.02	1395.34	1027.91	1184.28	1534.32	940.24	1891.31	1163.74	1031.19	1128.78	940.26	1472.39	1310.22	0.0	0.0	0.0	0.0	74.75	1513.09	1132.0
BC048507	0.0	1.33	0.0	3.43	0.0	0.0	0.0	0.0	0.81	0.0	1.5	0.0	1.17	0.0	0.53	2.96	0.42	0.38	0.0	0.0	0.0	0.0	0.0	0.29	0.0
Ccl27b	0.41	0.14	3.68	1.57	22.17	0.0	0.0	21.49	31.22	7.16	0.0	0.0	0.77	0.0	1.9	0.13	8.48	4.31	0.34	0.0	0.0	0.0	0.0	0.0	3.13
Commd4	149.23	146.82	388.97	705.32	533.66	0.0	242.22	122.59	170.77	114.61	79.87	138.58	51.59	83.55	181.45	62.3	146.5	309.14	0.0	1.64	0.0	0.0	0.0	332.1	593.02
Copb2	152.01	73.84	260.22	230.44	29.13	0.0	52.38	0.0	105.29	62.78	90.09	19.15	0.63	80.97	7.57	133.32	70.27	39.24	0.0	0.11	0.0	0.0	0.41	177.31	117.7
Cuedc2	189.38	160.75	410.58	381.68	389.83	0.0	136.16	337.82	315.42	200.04	205.78	69.55	181.57	81.51	96.88	210.07	65.16	151.87	0.0	0.18	0.69	0.0	0.0	190.69	192.69
Drg2	357.21	173.16	142.07	239.5	179.8	0.0	181.4	119.22	95.53	168.7	39.27	55.43	90.47	91.04	137.03	68.13	80.26	63.49	0.0	0.19	0.0	10.96	0.0	53.29	207.13
Dstn	458.13	456.67	509.26	764.65	577.29	2.38	345.92	117.4	277.21	479.97	461.24	284.66	463.0	132.39	420.14	647.43	434.46	246.53	0.72	0.68	28.83	0.0	0.0	617.77	553.82
Efha1	15.72	0.0	57.26	75.81	0.13	0.0	67.69	0.0	0.0	0.21	0.0	0.11	45.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	37.49
Erh	574.59	427.71	697.27	884.53	460.91	0.0	420.31	429.96	366.64	399.23	448.54	508.62	389.93	71.01	333.49	282.4	219.14	365.98	0.0	42.56	0.0	40.83	0.0	203.93	541.54
Fabp3	761.49	381.87	1777.39	658.54	484.3	0.0	385.29	718.69	529.72	643.9	547.16	387.21	585.6	227.93	514.47	872.63	593.25	609.8	0.0	0.54	0.0	0.0	0.0	407.28	303.74
Frg1	75.01	56.87	263.64	343.29	47.87	0.0	42.09	68.59	85.24	63.79	25.1	152.42	97.13	3.65	24.99	36.67	1.89	117.52	0.64	0.32	0.0	0.0	1.2	8.63	72.88
Gm12070	28.22	28.62	20.95	31.41	31.48	3.79	31.5	19.26	19.19	20.14	23.32	21.93	12.09	13.62	11.86	15.8	26.93	24.31	2.21	2.39	2.35	7.08	0.0	23.9	28.54
Gm13306	0.41	0.14	3.68	1.57	22.17	0.0	0.0	21.49	31.22	7.16	0.0	0.0	0.77	0.0	1.9	0.13	8.48	4.31	0.34	0.0	0.0	0.0	0.0	0.0	3.13
Gm2506	0.41	0.14	3.68	1.57	22.17	0.0	0.0	21.49	31.22	7.16	0.0	0.0	0.77	0.0	1.9	0.13	8.48	4.31	0.34	0.0	0.0	0.0	0.0	0.0	3.13
Gpx4	918.11	598.24	1223.85	1574.03	1833.97	776.41	493.38	510.88	778.11	809.41	481.76	821.09	738.59	589.53	495.41	596.27	635.79	591.8	940.76	1.43	1.34	4.12	331.72	729.12	570.62
