	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
1110002N22Rik	0.0	0.0	0.0	0.0	0.0	141.83	0.0	0.0	0.0	0.0	0.0	0.0	84.27	0.0	0.0	0.0	77.87	101.08	10.59	0.0	128.4	99.84	0.0	28.15	36.18	0.0	0.0	66.19	46.93	108.04	0.0	23.45	30.89	23.86	0.0	60.33	74.04	0.0	2.22	78.99	54.36	0.0	0.0	0.0	67.78	65.44	0.0	0.29	0.0	101.7
1500011B03Rik	0.0	142.99	0.0	0.0	0.0	301.29	0.0	0.71	0.0	213.76	0.0	115.02	304.55	178.61	368.77	184.23	169.41	150.76	183.11	113.19	277.82	166.72	105.42	59.36	125.76	22.51	155.93	83.73	284.6	170.33	232.96	119.05	198.56	143.15	273.01	185.96	5.6	72.89	187.8	221.72	113.62	79.24	263.92	188.16	165.74	214.03	0.0	1.7	0.0	785.64
2210018M11Rik	0.0	16.37	0.0	0.0	0.0	0.0	0.0	0.0	121.63	0.31	0.0	3.52	29.83	0.06	0.83	40.12	44.41	4.58	7.61	8.02	0.2	15.84	13.04	2.32	16.23	2.67	0.0	74.34	31.97	0.0	6.72	20.42	3.03	0.46	23.63	39.01	4.94	40.84	31.13	0.0	6.78	0.92	40.8	47.2	1.26	42.55	0.0	5.33	0.0	30.07
4833424O15Rik	0.0	0.0	0.0	0.0	0.0	58.44	0.0	0.0	0.0	0.0	0.15	24.16	29.6	5.8	20.54	17.27	0.0	32.78	23.89	0.0	17.27	0.13	17.05	24.95	85.94	0.0	11.57	0.92	50.64	0.0	0.0	37.62	31.4	15.27	17.44	0.0	29.73	16.7	5.28	0.13	56.43	0.0	0.0	7.49	28.48	21.55	0.0	472.78	0.0	82.16
4933433P14Rik	313.0	0.0	0.0	0.0	0.0	79.84	0.0	0.0	0.0	34.61	0.43	40.41	65.13	78.69	182.62	109.72	65.78	231.07	163.47	37.17	54.99	237.68	66.96	145.51	154.9	0.28	253.76	0.53	83.91	129.75	101.59	120.11	45.87	135.59	92.22	167.8	82.62	173.92	133.0	48.57	58.48	122.34	96.77	0.18	189.05	116.6	0.14	0.13	0.0	295.89
6330439K17Rik	0.08	74.21	0.0	0.33	0.3	42.48	0.35	0.0	0.0	23.49	6.95	30.77	59.91	22.42	27.9	29.35	103.71	76.67	109.27	65.0	72.33	78.0	107.75	65.22	57.58	1.56	14.18	0.77	42.83	42.46	8.59	39.77	55.72	119.02	59.98	47.9	56.3	8.0	25.91	68.11	4.96	15.73	51.75	63.11	24.2	25.42	0.65	0.87	0.63	119.51
AI837181	0.0	4.72	0.0	0.0	0.0	38.33	0.0	0.0	0.0	14.77	0.4	18.11	6.98	0.66	4.13	1.13	24.56	26.06	109.12	66.74	2.63	70.67	27.28	58.36	43.99	2.05	6.4	2.48	6.53	1.14	11.88	1.11	107.91	59.22	26.58	10.41	5.39	1.1	47.45	0.0	0.64	103.56	4.8	2.49	46.7	0.9	0.0	0.49	274.73	15.55
Acaca	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	204.89	5.35	127.31	2.85	1.45	0.03	0.0	3.72	0.0	3.92	14.06	13.58	8.7	0.12	8.07	9.34	0.35	0.0	0.0	0.0	0.2	0.0	7.17	3.55	0.0	3.76	2.73	0.0	0.14	0.27	1.04	0.0	0.0	4.0	0.2	8.13	0.36	0.19	0.0	0.0	0.0	45.68
Adar	0.0	37.19	0.1	0.0	0.0	4.34	0.0	0.05	0.0	27.23	0.3	25.73	24.12	19.08	12.23	21.82	82.7	59.2	53.26	21.98	28.66	41.75	16.85	0.66	28.67	5.75	38.89	21.17	40.17	6.78	20.97	23.64	6.09	35.52	59.55	7.97	39.35	20.58	65.52	8.23	9.24	8.0	6.43	17.88	32.32	5.05	0.0	0.56	0.0	25.88
Adcyap1r1	0.0	5.23	4.88	0.63	0.15	0.51	11.76	22.71	0.0	1.19	190.04	14.07	19.12	22.41	53.29	25.01	9.08	2.78	25.35	2.63	2.28	20.37	0.0	1.68	25.0	29.58	0.0	0.06	33.16	37.51	16.16	17.56	16.46	45.57	2.57	16.77	77.39	0.67	22.37	14.6	46.2	48.62	4.65	6.13	28.38	9.37	0.12	0.67	0.26	100.21
