	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190003K10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.41	0.0	0.0	0.0	0.18	0.0	0.0
1700030J22Rik	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	58.75	0.0	0.0	2.22	7.73	7.38	7.02
3200001D21Rik	0.3	6.52	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.16	0.33	0.0	0.0	0.0	97.9	0.0	0.0	0.0	1.31	0.91	0.76
4632428N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	14.57	14.05	13.88
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4930414L22Rik	1.1	0.42	0.0	1.33	1.2	0.93	0.0	0.0	1.91	0.59	1.05	0.31	0.4	0.0	36.59	0.12	0.17	2.43	18.73	17.82	18.42
4930564K09Rik	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.09	0.0	0.0	0.74	0.07	0.0	0.11	0.38	0.47	0.27
4933400C05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49	0.0	0.0	0.0	2.08	2.39	1.59
7420700N18Rik	0.0	0.25	0.0	0.0	0.32	0.14	0.0	0.0	0.0	0.45	0.0	0.0	0.23	0.17	3.05	0.34	0.0	0.0	0.63	0.36	0.52
9030617O03Rik	0.0	0.0	0.1	0.0	0.0	0.0	41.83	0.0	0.0	0.0	0.0	0.18	0.28	0.0	98.69	0.0	0.0	2.36	5.52	5.38	5.38
9330175E14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	1.36	0.33	0.0	0.0	0.32	0.12	0.02
A530099J19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.03	0.0
AI115009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	3.59	2.88	3.65
