	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_8	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	24.96	0.0	0.0	0.0	0.0	59.23	0.0	0.0	0.0	15.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	14.76	0.0	0.0	50.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	3.93	4.21	1.82	3.21	3.68
1700007L15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.9	0.85
1700019N12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.15	0.0	0.0	17.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02	3.73	6.11	11.64	12.48	11.04
1810032O08Rik	0.0	0.0	0.0	40.74	0.0	0.0	0.0	78.88	35.13	0.0	0.0	0.0	0.0	0.0	38.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.07	0.0	0.0	0.0	11.11	0.0	94.9	61.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	7.12	11.79	4.3	6.5	3.96
2010300C02Rik	0.0	0.0	0.16	0.0	14.29	0.0	0.0	0.0	0.0	0.02	0.11	0.15	0.05	0.0	0.0	0.98	0.0	0.0	0.2	0.29	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.11	9.51	0.0	0.04	25.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.56	4.38	5.22	161.02	175.9	165.27
2310004I24Rik	31.89	4.97	84.97	124.44	19.1	54.98	190.39	47.6	102.9	1.57	11.82	103.39	1.4	4.02	0.79	6.03	86.04	0.0	0.0	2.2	18.8	0.0	20.0	1.0	37.74	21.54	6.72	136.78	31.97	19.95	0.0	327.97	2.77	52.01	38.01	2.55	2.22	150.55	52.49	94.52	80.32	99.3	17.99	16.89	18.99
2610035D17Rik	0.0	37.17	14.59	0.0	0.0	23.56	0.0	0.0	0.2	0.04	0.0	17.24	0.0	0.0	0.0	59.69	0.0	0.0	56.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	6.06	23.97	0.09	205.03	0.0	49.07	0.0	0.0	0.0	0.17	0.0	9.3	10.54	13.1	16.61	17.87	16.42
4930429F24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.69	0.0	2.3	3.09	2.44
4930509E16Rik	0.0	0.0	0.59	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09
4931403G20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.35	0.17	0.28
5930438M14	0.0	0.0	0.0	0.0	0.0	17.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.73	0.0	0.0	76.51	0.0	0.0	0.0	49.72	0.0	0.0	0.0	0.0	1.13	1.43	1.09	0.84	1.46
9230115E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.81	0.71
9330162B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.05
