	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_5	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_64	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_84	Vip_tdTpositive_cell_16
2700078E11Rik	0.0	0.66	26.6	40.3	29.97	0.0	0.79	82.02	0.95	0.03	89.49	39.77	0.53
Actl6b	0.0	161.83	0.34	50.48	0.71	0.0	0.49	19.21	63.97	0.0	4.8	150.92	0.0
Agrn	0.0	2.37	1.85	20.54	1.82	0.0	0.0	1.47	0.04	0.04	26.61	26.78	0.0
Amy2a2	0.0	0.07	0.0	0.09	0.58	0.04	0.09	0.34	0.06	0.02	0.12	0.63	0.0
Amy2a3	0.0	0.07	0.0	0.09	0.58	0.04	0.09	0.34	0.06	0.02	0.12	0.63	0.0
Amy2a4	0.0	0.07	0.0	0.09	0.58	0.04	0.09	0.34	0.06	0.02	0.12	0.63	0.0
Aoc2	2.34	5.81	3.0	4.67	3.77	2.73	3.89	4.08	3.09	1.66	3.62	12.65	0.0
Birc6	0.0	38.46	13.63	37.89	26.45	22.83	18.94	41.39	12.95	24.1	30.62	31.28	12.89
Ccdc97	0.0	9.52	3.25	19.68	0.0	0.98	0.0	7.2	0.1	0.0	2.55	48.76	0.0
Cx3cl1	0.0	67.3	9.43	31.85	9.49	2.2	10.91	128.04	41.6	0.76	26.74	58.91	2.97
Kcnab2	0.0	68.85	0.57	67.34	28.81	0.0	1.1	55.13	102.3	53.77	0.89	114.32	0.0
Mageb16-ps1	0.0	7.9	4.58	7.26	7.28	3.88	3.35	6.96	2.52	2.02	4.11	10.44	0.0
Mfn2	0.0	276.29	149.79	171.83	70.92	0.0	87.97	55.88	9.17	21.95	69.34	231.44	0.08
Msra	0.0	122.51	0.0	208.0	9.85	15.76	0.0	178.8	0.25	129.68	250.1	268.72	0.0
Mtap9	0.0	34.31	7.94	79.93	17.36	8.53	0.83	25.17	0.94	0.19	14.71	73.5	0.0
Nat8l	0.0	56.91	28.21	25.09	10.36	0.55	0.24	64.35	0.18	0.14	1.2	58.68	0.0
Ncor1	2.58	57.79	24.75	73.69	41.3	9.39	29.88	88.71	13.33	7.45	22.51	89.12	9.66
Plekha5	0.0	15.76	1.68	9.09	12.27	0.0	0.56	9.63	0.06	0.0	7.54	6.72	0.0
Ppp1cc	0.0	82.59	287.62	238.18	84.14	0.0	0.55	11.31	0.75	47.68	11.4	333.08	0.0
Ptk2	0.0	39.66	17.43	53.11	51.06	0.0	0.0	27.51	0.08	0.0	72.68	55.82	0.0
Slc37a3	0.0	76.0	0.13	32.89	0.0	0.0	0.0	7.84	134.52	0.0	49.03	131.98	0.0
Slc6a1	412.3	4198.17	5514.67	4140.23	4709.35	3969.64	4123.17	3721.29	4296.52	6302.16	4810.11	1707.26	1631.3
Tfcp2l1	0.0	0.09	0.16	0.3	0.38	0.04	0.26	0.67	0.09	0.37	0.24	0.85	0.0
Trappc9	8.05	114.36	33.12	84.72	36.88	42.3	42.55	95.83	12.58	16.07	108.4	77.71	3.05
Wnk2	0.0	7.76	1.3	2.42	6.74	0.0	0.0	31.12	0.04	0.58	6.46	8.48	0.0
Wwox	0.0	37.8	3.89	0.0	9.71	5.06	6.08	372.57	52.18	22.97	0.28	218.86	0.0
Zcchc8	0.0	0.62	12.81	0.13	7.42	0.0	7.79	13.73	25.8	3.61	8.53	43.82	0.0
Zfp300	0.0	21.77	13.69	17.91	21.86	16.19	8.03	77.44	1.62	3.28	17.59	53.34	0.0
