	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930471M23Rik	31.29	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.3	0.0	175.16	5.27	0.0	0.0	0.0	61.87	0.0	0.0	0.0	0.7	5.58	28.34	44.82	0.0	0.09	0.0	17.23	0.0	0.0	2.23	0.0	75.25	0.0	71.34	0.0	0.91	38.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.99	19.86	0.0	0.0	0.0	0.16	0.0	56.12	0.0	0.0	0.0	29.39	30.57	0.0	70.09	0.0	0.0	0.0	1.51	39.61	53.98	19.77	21.61	23.1	24.25
Amfr	16.77	3.43	30.33	1.23	1.16	6.85	30.51	5.94	0.0	0.0	0.0	0.0	3.55	0.0	0.1	94.93	10.16	407.76	44.17	2.06	109.95	71.24	53.85	0.0	0.0	0.0	25.12	3.47	0.11	42.71	7.74	63.12	22.92	2.22	0.0	3.6	18.18	7.43	12.28	4.57	4.79	8.44	72.49	52.95	7.82	51.08	33.3	2.18	13.03	11.43	9.51	6.55	26.0	33.14	5.29	3.26	2.64	8.22	12.41	0.0	55.83	0.0	0.0	95.78	18.9	42.84	13.22	129.68	2.47	52.86	2.87	23.59	34.73	6.8	10.84	115.45	125.98	115.58
Amy2a2	0.08	0.07	0.0	0.04	0.05	0.17	0.01	0.0	0.07	0.0	0.12	0.0	0.11	0.0	0.15	0.09	0.48	0.6	0.05	0.12	0.11	0.34	0.22	0.0	0.0	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.04	0.18	0.03	0.05	0.11	0.0	0.1	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.04	0.0	0.02	0.11	0.35	0.12	0.62	0.35	0.09	0.0	0.3	0.25	0.2	0.26	0.19	0.21
Amy2a3	0.08	0.07	0.0	0.04	0.05	0.17	0.01	0.0	0.07	0.0	0.12	0.0	0.11	0.0	0.15	0.09	0.48	0.6	0.05	0.12	0.11	0.34	0.22	0.0	0.0	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.04	0.18	0.03	0.05	0.11	0.0	0.1	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.04	0.0	0.02	0.11	0.35	0.12	0.62	0.35	0.09	0.0	0.3	0.25	0.2	0.26	0.19	0.21
Amy2a4	0.08	0.07	0.0	0.04	0.05	0.17	0.01	0.0	0.07	0.0	0.12	0.0	0.11	0.0	0.15	0.09	0.48	0.6	0.05	0.12	0.11	0.34	0.22	0.0	0.0	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.14	0.2	0.07	0.17	0.04	0.18	0.03	0.05	0.11	0.0	0.1	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.0	0.0	0.0	0.04	0.0	0.02	0.11	0.35	0.12	0.62	0.35	0.09	0.0	0.3	0.25	0.2	0.26	0.19	0.21
Ap3b2	95.22	12.82	0.0	3.81	94.32	9.83	1.54	0.0	28.53	0.0	0.0	0.0	196.87	0.09	6.74	23.58	40.42	142.1	0.0	41.49	166.81	0.0	77.24	0.0	0.0	0.0	6.35	44.95	43.57	61.92	45.81	0.17	8.72	20.32	0.82	31.81	85.72	94.02	66.42	35.06	15.71	90.98	4.78	2.92	39.52	40.09	28.28	5.39	56.23	53.45	1.93	0.0	37.14	39.05	57.34	0.0	46.38	42.2	125.2	0.0	47.53	0.0	0.0	0.0	41.67	106.79	39.27	105.98	70.39	47.35	0.13	8.9	23.28	7.6	173.62	101.94	104.65	103.91
B4galt6	7.84	29.35	40.21	36.95	45.32	113.38	31.15	26.36	15.41	5.13	1.34	0.84	33.23	0.0	31.8	26.0	40.44	97.56	34.05	9.76	79.74	45.74	43.08	1.24	1.39	0.0	19.76	10.66	16.77	43.97	17.08	7.06	4.05	21.26	1.15	29.62	61.79	27.59	14.0	11.98	57.96	17.1	40.13	54.71	5.23	8.91	35.59	3.86	16.83	10.28	0.66	0.97	46.49	12.72	40.15	7.75	12.9	44.84	9.88	0.14	43.51	0.0	0.31	0.06	23.08	28.62	62.93	81.17	7.02	93.1	8.12	26.48	44.78	20.52	6.27	78.47	74.46	73.74
Bmpr2	0.09	0.0	0.0	0.0	0.0	7.77	6.56	0.0	0.0	0.14	0.0	0.0	0.0	0.19	0.0	7.8	0.0	182.94	0.35	0.0	12.05	0.0	17.43	565.84	0.0	0.0	2.93	1.87	0.0	0.0	7.79	5.14	0.0	29.75	3.56	16.71	2.58	0.0	0.34	7.28	10.56	0.0	0.0	0.0	0.29	0.0	0.0	7.6	24.84	0.0	0.0	0.0	0.0	0.08	0.75	11.34	0.0	35.38	5.25	0.0	0.24	0.0	0.0	0.0	7.56	0.46	0.0	27.16	9.47	4.12	0.0	0.0	7.66	1.06	22.89	49.43	43.52	54.53
Btbd9	0.0	25.4	0.0	24.72	20.35	0.1	0.92	3.03	0.7	0.0	0.0	0.0	0.0	0.0	0.06	0.0	16.16	64.76	0.0	0.0	29.7	0.0	0.0	0.0	0.0	0.0	0.54	1.2	33.96	0.0	4.0	0.0	13.36	0.0	0.0	19.28	34.98	15.31	0.0	17.77	0.0	0.0	8.01	3.8	0.19	0.04	0.0	3.59	32.37	10.51	0.0	0.0	0.0	0.0	9.23	11.11	2.08	0.0	2.71	0.0	21.19	0.0	0.0	0.0	0.0	0.0	17.86	41.88	0.08	2.5	0.0	0.0	0.71	0.15	10.1	30.02	31.23	30.72
Cacnb4	47.55	53.8	33.8	45.27	9.84	107.03	17.13	27.76	86.45	0.0	0.0	0.0	292.44	0.0	89.27	87.25	209.4	420.6	160.35	107.75	72.84	93.89	114.54	0.0	0.0	0.0	82.21	115.8	79.1	3.48	43.41	99.44	24.43	27.86	53.29	77.74	30.62	68.51	65.81	19.24	76.75	89.19	43.59	34.65	68.86	40.84	66.13	34.53	27.2	61.06	90.37	44.92	47.51	91.57	51.49	40.1	29.75	47.45	59.97	0.08	155.62	0.0	0.0	0.04	18.34	137.11	161.02	397.57	73.87	150.67	36.68	96.95	93.24	99.02	59.77	106.94	89.5	107.65
Cacng3	162.93	110.94	230.97	308.1	287.85	253.59	0.0	144.8	125.56	0.0	0.0	0.0	1031.41	0.0	0.25	151.84	709.53	1343.56	115.73	0.0	0.19	0.0	0.0	0.0	0.0	0.0	91.34	409.89	102.17	201.93	197.88	80.36	173.19	147.77	301.77	189.26	432.41	168.32	227.31	317.94	438.4	344.16	352.88	265.66	172.37	249.99	47.58	213.48	184.7	67.91	0.0	271.68	262.13	217.5	456.07	229.09	344.68	328.59	299.16	0.0	34.13	0.0	0.0	0.0	282.33	130.97	435.92	1296.71	578.19	728.2	0.0	0.0	371.72	1.66	323.71	133.29	129.19	130.08
Ccdc47	87.23	279.5	0.31	175.4	131.49	68.88	111.63	15.11	204.94	0.0	0.0	0.14	244.66	0.0	208.12	6.16	127.99	552.72	61.76	200.11	46.03	30.16	158.13	0.0	249.21	0.0	86.27	182.85	44.71	65.7	70.41	139.07	201.99	185.73	135.29	135.53	83.95	141.2	81.13	332.33	95.3	196.45	174.06	110.65	197.0	204.62	84.62	41.02	167.15	60.01	155.64	37.38	52.33	141.0	143.71	83.18	133.5	131.93	65.53	1.87	126.07	0.0	0.0	0.0	118.28	178.96	295.15	219.92	224.58	285.99	124.75	213.12	124.72	127.06	170.91	79.84	73.76	76.94
Cybb	0.0	0.07	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.04	0.0	0.09	3.09	0.0	0.09	0.25	0.05	0.05	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.0	0.0	0.02	0.0	0.05	0.12	0.06	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.11	0.05	0.04	0.0	0.06	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.12	0.03	1.19	0.12	0.29	0.0	0.1	0.08	0.0	0.1	0.85	0.5	0.56
D630045M09Rik	2.95	2.7	2.57	4.48	4.86	6.63	2.18	2.82	3.2	4.1	0.0	4.05	10.52	0.0	1.66	8.04	5.55	24.71	3.28	7.84	11.7	2.56	3.47	0.8	0.59	5.85	3.72	3.42	2.61	7.41	2.15	3.05	2.81	2.26	4.61	2.95	3.62	2.08	4.33	3.05	3.91	1.61	5.8	4.5	6.06	0.99	5.16	4.4	7.38	1.99	2.53	2.67	5.25	1.77	5.18	2.22	7.84	3.78	5.65	25.09	3.18	1.03	1.79	2.84	2.12	3.2	5.65	14.98	5.98	1.42	4.3	1.48	4.27	1.24	1.47	2.23	1.82	2.81
Dpcr1	0.23	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.92	0.0	0.23	0.0	0.0	0.0	0.08	0.0	0.0	3.03	0.0	0.0	0.8	0.41	0.17	0.0	0.65	0.0	0.0	0.0	0.03	0.0	0.13	0.16	0.04	0.04	0.0	0.21	0.16	0.15	0.24	0.23	0.0	0.0	0.12	0.0	0.0	0.0	0.29	0.59	0.1	0.16	0.12	0.0	0.11	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.16	0.14	0.0	0.4	0.0	1.17	0.23	0.0	0.0	0.54	0.14	0.35	0.25	0.06	0.07	0.1
Dpp6	98.3	100.83	4.23	30.91	148.35	113.39	45.78	0.61	32.81	0.0	0.0	0.0	138.67	0.0	59.92	235.26	70.11	669.72	57.96	37.71	0.0	200.05	65.94	0.0	0.0	0.0	117.53	121.21	197.24	59.15	153.14	104.56	74.23	116.97	38.27	93.65	94.19	48.83	42.88	31.25	220.13	4.8	243.79	27.63	51.36	91.45	0.23	100.0	142.31	66.0	45.1	164.66	122.0	55.87	220.87	69.49	63.89	173.77	57.81	0.0	35.49	0.0	0.0	0.0	40.04	108.56	106.51	214.3	23.78	32.25	1.42	81.9	151.51	169.45	75.26	153.64	153.5	151.46
Dzip1l	0.0	26.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	15.38	28.89	0.0	0.18	0.0	0.0	151.56	0.0	0.11	0.35	0.0	0.0	0.19	0.0	0.0	0.17	0.09	0.04	0.04	0.04	0.22	0.0	0.0	0.18	0.0	0.01	16.3	6.77	1.15	0.16	0.16	0.15	12.74	18.42	0.0	0.0	0.82	0.06	0.06	0.07	0.0	0.0	0.0	24.79	0.07	0.0	0.06	0.24	0.0	0.0	0.0	0.0	0.0	3.27	0.09	0.18	44.78	3.77	0.0	0.52	2.25	0.19	0.0	0.42	17.46	16.25	15.07
