	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1500017E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	17.68	0.0	0.43	0.0	0.0	0.0	71.51	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	18.7	0.0	0.69	0.43
3110021N24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.44	0.19	1.31	9.09	1.32	0.0	0.0	0.0	0.0	0.63	0.0	0.0	45.62	0.0	0.0	0.0	0.0	0.0	32.22	0.0	0.1	38.58	0.0	10.84	11.31
4930488B22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.23	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	15.47	0.0	1.14	0.0	0.0	0.51	0.0	0.0	0.58	0.0	0.01	0.26
8430419L09Rik	0.0	0.0	93.03	0.0	0.0	123.72	12.53	217.52	240.61	89.85	37.41	30.5	74.46	29.94	5.85	3.45	71.78	35.33	7.89	0.23	0.25	0.0	0.0	0.15	0.0	0.32	248.9	17.73	0.13	153.32	0.0	139.39	160.23
Acss2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.74	25.26	0.0	2.57	0.14	0.0	0.0	0.0	0.0	4.8	8.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.59	0.0	0.06	43.53	0.0	48.81	57.51
Adcy1	0.0	163.6	0.0	0.0	0.0	0.0	6.41	0.0	32.29	20.36	19.08	30.55	13.15	40.82	6.84	54.19	16.15	24.87	16.45	0.0	15.43	0.0	0.0	0.1	0.0	13.71	57.34	0.07	0.04	153.04	0.07	224.96	233.52
Adcy5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.0	0.18	0.0	0.0	0.0	0.0	0.0	14.35	0.0	0.0	0.0	0.0	87.03	0.0	0.25	0.0	0.0	2.22	0.0	0.0	10.79	0.0	139.88	149.99
Adss	0.0	0.0	0.0	0.0	0.72	129.31	187.53	0.0	85.8	78.1	132.55	56.03	22.7	134.05	21.65	24.87	18.08	10.9	65.96	0.0	0.0	0.0	0.0	0.0	0.0	43.16	161.6	0.33	0.14	231.69	0.0	86.38	84.84
Atpaf1	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	33.48	0.0	0.41	12.25	0.17	0.0	21.66	12.61	0.48	25.18	46.64	0.0	0.0	0.0	0.0	0.0	0.97	28.21	64.74	0.0	0.0	170.55	0.0	52.25	48.11
Atxn1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.19	0.04	11.48	9.41	0.0	0.11	0.0	0.0	7.79	2.53	0.0	0.0	464.39	0.0	0.19	0.0	0.0	0.0	84.75	0.05	0.0	64.73	0.0	18.86	19.94
BC046404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.72	0.0	0.0	0.0	116.6	0.0	9.89	0.0	69.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171.26	0.0	0.0	188.67	0.0	16.0	14.91
Bcr	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	21.21	9.6	0.28	0.0	12.43	0.64	2.08	0.0	21.99	0.09	12.08	0.05	0.22	0.0	0.0	0.0	0.0	1.38	29.48	0.0	0.03	45.8	0.0	72.62	69.03
Bend6	0.0	0.0	1.49	0.28	0.0	0.0	0.57	0.0	106.86	122.6	46.36	102.4	137.95	0.36	0.0	118.75	0.24	17.4	2.64	0.56	0.0	0.0	0.0	0.0	0.0	0.81	186.08	0.18	0.09	399.53	0.0	135.89	132.89
Bod1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.18	13.02	0.0	102.3	0.29	0.31	65.52	45.13	52.6	7.02	9.36	0.47	0.0	0.0	0.0	0.0	0.0	10.39	257.57	0.0	0.13	266.03	0.0	99.54	100.92
C030046E11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.89	0.0	3.85	0.16	0.0	0.0	0.0	0.77	0.17	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.95	0.0	0.0	18.88	0.0	24.7	22.83
