	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_29	Ndnf_tdTpositive_cell_3	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_23
1700047I17Rik2	21.46	3.15	57.42	2.8	0.52	11.61	0.48	2.15	6.05	0.81	13.11	12.78	0.31	22.83	122.26	0.45	1.77	3.14	2.5	0.0	0.72	6.31	8.35	7.88	0.72	92.92	0.96	5.52	38.66	19.6	0.28	2.34	1.39	9.83	2.26	1.38	89.54	2.92	4.55	2.11	2.6	2.1	1.68	1.52	0.0	0.87	4.49
9330020H09Rik	1.71	0.77	0.88	0.0	0.13	0.94	0.56	0.0	0.17	0.29	1.95	0.08	0.19	6.0	4.55	0.0	0.41	0.51	0.72	0.79	0.88	0.85	0.0	3.18	13.36	2.66	1.12	0.51	1.17	3.91	0.79	0.0	0.78	1.36	0.94	0.88	0.4	1.79	3.91	1.56	1.92	3.42	0.44	0.0	0.22	0.0	0.52
A730011L01Rik	16.99	2.91	1.79	0.8	7.6	16.22	7.32	0.92	3.13	1.92	6.71	1.2	5.57	27.22	11.94	127.93	3.02	1.51	5.74	10.73	5.74	6.18	6.29	6.54	7.43	13.79	5.88	8.23	4.2	12.73	3.22	8.11	5.31	2.54	2.83	8.82	4.16	3.98	37.18	1.26	4.37	9.15	4.24	1.33	1.83	2.89	3.02
Apol7b	1.1	0.14	0.96	0.0	0.0	1.94	18.11	0.0	0.0	0.0	0.13	0.0	0.0	3.75	0.16	0.0	0.0	0.0	2.24	0.0	0.0	0.06	0.21	12.37	0.1	1.09	0.18	0.0	0.0	7.72	0.0	0.0	0.0	0.33	0.0	0.26	12.39	0.0	0.06	1.58	2.05	1.78	0.09	0.0	0.0	0.0	0.0
Apol7e	1.1	0.14	0.96	0.0	0.0	1.94	18.11	0.0	0.0	0.0	0.13	0.0	0.0	3.75	0.16	0.0	0.0	0.0	2.24	0.0	0.0	0.06	0.21	12.37	0.1	1.09	0.18	0.0	0.0	7.72	0.0	0.0	0.0	0.33	0.0	0.26	12.39	0.0	0.06	1.58	2.05	1.78	0.09	0.0	0.0	0.0	0.0
Bcan	535.13	14.04	761.54	0.0	0.0	178.01	217.02	280.84	0.0	0.0	176.54	0.31	0.14	672.05	296.08	0.0	0.0	0.0	63.73	79.89	977.75	369.39	19.35	213.56	797.64	0.59	399.68	223.29	144.05	1786.42	0.0	0.0	0.0	143.37	635.25	103.78	3.68	75.3	414.83	59.74	105.58	192.15	132.62	0.0	0.0	0.0	0.0
Cbs	556.54	0.0	340.89	0.0	0.0	409.14	281.46	0.0	0.0	0.0	255.77	0.0	0.0	2693.71	867.64	0.0	0.0	0.0	4.43	2.59	271.03	5.06	47.74	455.17	0.0	490.36	312.38	389.97	324.15	0.0	0.0	0.0	0.0	1048.43	320.45	0.0	260.81	788.64	854.08	581.73	472.57	280.68	0.17	0.0	0.0	0.0	0.0
Chrna1	57.98	24.92	6.31	2.72	4.73	20.86	14.9	0.51	5.23	1.43	16.1	3.56	8.53	62.85	30.08	0.21	4.55	1.57	14.13	6.38	20.02	10.92	6.03	14.82	12.34	15.23	11.97	7.42	20.17	147.62	7.49	2.94	0.63	7.05	20.54	18.9	9.47	17.43	80.75	42.02	8.43	24.01	8.26	4.54	1.66	2.32	3.48
Clybl	21.09	0.0	0.78	0.0	0.0	2019.69	33.3	625.95	0.0	0.38	73.62	0.0	0.0	1525.79	0.0	0.0	0.0	0.0	101.23	1182.81	244.24	0.0	0.0	18.94	571.21	0.8	223.59	56.32	16.82	1.74	0.0	0.0	0.0	0.0	0.69	326.75	31.0	45.5	37.84	409.5	0.0	22.58	0.0	0.0	0.0	0.0	0.0
Cyp7b1	196.79	0.0	0.0	0.0	0.0	1182.47	0.21	0.0	0.0	0.0	527.8	0.0	0.0	1217.09	138.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.15	0.49	0.0	0.0	0.0	0.0	302.98	0.08	53.63	0.0	0.34	0.0	0.13	0.0	167.97	0.0	0.0	0.0	0.0
