	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700047I17Rik2	2.63	0.0	6.5	17.56	16.4	17.92
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
6330407J23Rik	0.0	0.0	19.32	49.96	45.74	58.4
Abr	0.0	0.0	23.65	272.97	271.82	286.04
Adam11	0.18	0.0	5.43	100.2	105.1	100.46
Adap1	0.0	0.0	8.66	195.41	208.11	199.98
Adcy1	163.6	0.0	34.32	224.96	212.91	233.52
Akirin1	0.0	0.0	3.04	70.97	75.53	68.13
Amigo1	0.0	0.0	22.55	58.86	60.1	60.6
Ankrd13d	0.0	0.0	2.84	58.38	59.24	61.04
Ankrd34a	0.0	0.0	0.33	57.01	57.85	56.25
Apc2	0.0	0.0	0.22	49.75	52.05	53.73
Arfgef1	1.62	0.0	21.83	51.81	44.82	48.91
Arhgap21	0.0	0.0	11.57	77.97	75.97	80.34
Arhgdig	0.0	0.0	0.81	88.82	95.75	99.37
Arhgef17	0.0	0.0	6.71	53.82	58.08	58.26
Arid1b	0.06	0.0	8.74	20.92	20.89	22.57
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atrn	0.28	0.0	5.9	85.45	83.79	91.7
Atxn2	0.0	33.31	24.93	46.73	47.49	48.73
B4galnt1	0.0	0.0	15.69	125.68	137.59	125.52
BC005537	0.0	0.0	37.48	152.76	160.06	152.41
BC018242	0.0	0.0	9.05	148.85	160.32	156.13
Bag1	0.0	0.0	5.23	146.96	156.33	154.32
Bap1	0.0	0.0	45.81	103.47	103.07	104.21
Baz2a	0.0	0.0	2.81	27.57	27.42	26.18
Bdp1	3.28	0.0	5.22	12.83	10.44	12.97
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Boc	0.0	0.0	0.0	12.25	13.07	13.82
C130074G19Rik	0.0	0.0	0.0	49.03	50.81	49.79
C2cd2l	0.0	0.0	11.06	101.81	111.13	100.46
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cab39	0.0	0.0	47.53	153.97	150.03	150.81
Cadm2	0.0	0.0	53.0	83.14	65.9	81.87
Car11	0.0	0.0	4.89	214.47	236.01	224.75
Cdk16	0.0	0.0	7.17	206.47	218.5	219.97
Cdk17	0.0	0.0	52.36	160.95	161.18	153.81
Celf5	0.0	0.0	27.83	163.01	160.05	172.09
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrd	0.0	0.0	9.27	27.09	30.65	28.33
Coro2b	0.0	0.0	15.69	118.73	124.35	130.21
Csnk1a1	0.0	0.0	71.52	245.55	230.34	231.46
Cul4a	0.0	0.0	5.2	57.84	56.16	56.17
Cyth1	0.0	0.0	0.46	67.03	75.5	69.5
Cyth2	0.0	0.0	6.85	68.24	74.9	71.28
Dcaf6	0.0	4.53	16.29	80.08	75.12	71.58
Dpf1	0.0	0.0	10.14	47.74	50.08	44.62
Dync1h1	14.95	0.0	15.15	143.44	143.12	153.5
Edf1	0.0	0.0	146.42	216.08	240.69	221.66
Eid1	0.0	0.0	64.55	219.68	227.68	212.38
Ephb6	0.0	0.0	23.94	93.01	90.46	96.16
Fam177a	2.63	0.0	6.5	17.56	16.4	17.92
Fam5b	0.0	0.0	0.21	67.67	69.72	71.26
Fancg	0.0	0.0	2.55	10.15	10.8	12.89
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gfod1	0.0	0.0	5.8	50.26	46.46	49.88
Gm1673	0.0	0.0	0.76	53.39	62.92	63.57
Gnl1	0.0	2.73	19.28	139.48	150.8	141.26
Golga4	0.0	0.0	3.28	48.3	40.88	49.25
Gpr26	0.0	0.0	0.51	67.54	58.53	83.82
Grm4	0.0	0.0	0.0	17.66	17.01	18.6
Hdac2	0.0	0.0	37.32	97.43	91.4	94.39
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Htr5b	0.0	0.0	0.0	1.53	2.28	1.89
Kbtbd7	0.0	0.0	13.09	34.48	33.77	31.87
Kcnj9	0.0	0.0	15.33	121.29	116.59	115.73
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khsrp	1.02	0.0	17.65	57.01	58.93	59.96
LOC626049	0.0	0.0	0.0	1.35	0.54	0.59
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lpcat4	2.91	0.0	30.59	125.99	137.81	128.9
Lphn1	0.0	0.0	31.8	185.96	190.77	203.82
Lrrc19	0.0	0.0	0.0	0.04	0.1	0.07
Madd	0.07	0.0	35.95	113.32	109.49	109.17
Map3k5	0.0	0.0	16.82	26.04	25.01	25.24
Mapk1	0.0	0.0	83.07	371.72	366.39	352.91
Mapk8ip2	0.0	0.0	10.27	190.79	206.07	202.05
Mast1	0.0	0.0	0.93	57.59	61.96	60.11
Mgat3	0.0	0.0	10.26	99.56	101.36	101.11
Mgat5b	0.0	0.0	0.07	55.22	54.09	52.11
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Odz4	0.0	0.0	1.49	30.76	27.31	33.46
Pacsin1	0.0	0.0	41.79	282.11	283.76	304.93
Papd7	0.0	0.0	5.65	30.36	34.28	29.87
Pde1b	0.0	0.0	5.05	245.53	258.71	247.87
Pitpna	0.0	0.0	58.46	225.42	225.66	222.62
Plcl2	0.0	0.0	15.36	48.89	47.95	46.14
Plxna2	0.0	0.0	20.56	47.46	43.4	46.56
Pou6f1	0.0	0.0	6.54	75.93	74.16	76.43
Ppp1r1a	0.0	0.0	7.74	123.86	128.2	126.28
Ppp2r2c	0.0	0.0	37.61	446.28	420.01	458.99
Ppp2r2d	0.0	0.0	15.66	66.87	66.28	62.18
Prr12	0.0	0.0	0.12	24.08	25.31	25.2
Ptges2	0.0	0.0	14.12	36.65	38.21	38.88
Rbfox2	0.0	0.0	9.86	114.48	109.59	110.57
Rnf11	0.0	0.0	33.93	267.55	268.6	261.45
Rnf165	0.0	0.0	6.63	24.71	25.79	25.0
Rnf208	0.0	0.0	8.17	124.6	138.39	125.1
Rnf39	0.0	0.0	6.9	10.29	10.12	8.63
Rnft2	0.0	0.0	4.92	58.46	59.35	61.39
Rtf1	0.0	0.0	7.36	51.07	46.92	51.09
Sardh	0.0	0.0	5.88	6.95	6.49	7.48
Sel1l3	0.0	0.0	32.85	45.77	42.88	44.99
Slc6a8	0.0	0.0	13.41	61.85	65.48	65.64
Slit3	0.0	0.0	1.71	25.89	25.15	27.05
Smarca4	0.0	0.0	9.24	63.89	65.92	68.05
Smg1	12.67	12.82	6.37	45.02	36.92	47.73
Smoc2	0.0	0.0	0.0	10.03	10.37	10.17
Sprr2a1	0.0	0.0	0.04	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.04	0.08	0.25	0.13
Srgap3	0.0	0.0	2.74	121.23	113.19	124.22
Srm	0.0	0.0	29.26	77.35	82.32	75.39
Svop	0.0	0.0	23.66	162.41	167.3	157.31
Tanc2	0.61	0.62	31.89	57.39	54.13	60.94
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tfip11	0.0	0.0	5.56	35.65	37.75	36.35
Tle1	0.0	0.0	0.0	21.48	23.56	22.5
Tlk1	0.0	0.0	37.96	73.53	68.48	65.5
Tmem93	0.0	5.66	5.22	47.16	53.14	47.95
Tomm70a	0.0	0.0	48.34	162.49	155.46	154.23
Trak1	0.0	0.0	0.29	90.13	90.67	87.04
Tsc2	0.0	0.0	8.55	54.95	54.1	55.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
