	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_32	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1700047I17Rik2	7.62	6.07	1.53	4.89	0.82	3.11	3.24	4.07	4.53	26.14	1.23	1.14	4.9	1.72	26.37	19.28	7.45	1.69	4.87	24.68	0.84	5.97	12.26	1.07	4.86	6.98	3.17	2.52	12.09	3.51	4.29	21.46	2.26	18.88	7.61	14.66	37.61	1.83	1.53	14.42	13.41	14.19	19.02
1810008A18Rik	0.0	0.0	0.41	0.0	0.0	0.04	0.0	0.0	0.0	0.0	28.72	0.0	0.0	0.0	99.33	0.0	0.0	0.17	11.87	0.05	0.9	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	92.78	0.0	0.05	1.71	0.0	0.0	0.0	0.0	6.21	2.22	2.98	3.73
2210404O09Rik	1.16	20.98	6.51	0.0	0.0	6.06	29.03	9.64	33.21	17.47	0.0	0.25	6.19	0.0	0.0	7.25	0.0	4.73	0.84	30.43	0.22	1.01	27.29	0.0	0.0	0.0	0.0	0.52	12.5	0.0	0.0	36.14	0.05	0.19	0.27	1.11	0.64	0.0	0.06	22.63	17.3	11.46	8.09
2510009E07Rik	3.23	0.0	8.12	0.0	0.0	0.65	4.53	0.0	28.44	0.0	0.0	0.0	36.53	0.0	24.84	15.57	131.91	88.31	33.99	103.02	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	6.54	66.31	2.84	0.02	0.0	91.36	169.24	0.0	158.87	0.0	0.8	2.84	1.2
3200001D21Rik	0.0	0.0	0.0	0.22	0.68	0.18	0.1	0.05	0.0	0.23	0.0	0.23	0.8	0.0	0.74	0.27	0.18	0.0	0.06	22.27	0.42	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.24	0.18	0.42	17.02	1.18	0.05	0.18	0.06	0.25	0.0	0.48	1.32	0.39	0.91	0.0
5730528L13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	49.9	0.0	90.43	126.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	12.92	0.17	0.0	4.04	0.0	0.0	0.39	16.47	14.16	11.16
Acsl5	107.17	65.13	44.06	6.82	0.0	138.65	20.48	29.67	10.78	0.0	34.4	55.96	230.28	0.0	186.66	12.48	134.45	206.26	2.38	243.45	158.2	69.63	0.0	0.0	21.03	8.99	0.0	149.38	62.17	72.57	0.0	89.26	192.63	233.75	70.88	27.82	105.07	177.98	134.07	8.64	33.04	20.91	24.18
Amd2	0.0	72.31	0.0	128.5	0.0	47.08	237.82	20.08	0.0	0.0	0.0	238.28	21.45	0.0	97.38	45.9	0.0	12.04	0.22	181.94	0.0	13.27	51.2	64.42	20.72	64.96	0.0	0.18	31.98	0.0	215.43	0.0	0.4	13.87	0.0	53.3	51.79	0.0	0.02	0.0	42.4	41.15	73.38
Amn1	263.8	76.63	89.7	0.0	0.0	133.97	212.72	0.0	152.82	6.9	0.0	41.63	0.0	0.0	256.94	0.0	225.41	0.0	110.2	349.65	225.7	0.0	0.0	0.0	29.36	269.4	1.21	0.0	0.0	0.0	0.0	285.56	112.42	91.95	67.66	143.35	57.83	0.0	0.96	82.17	101.33	104.25	116.78
Apbb2	160.69	20.28	24.85	55.46	0.33	51.27	0.06	13.54	1.71	32.65	0.0	0.0	58.7	1.17	58.76	36.43	8.79	69.96	25.2	278.63	0.0	35.86	13.27	21.73	18.27	0.0	0.0	91.01	29.99	2.61	0.0	65.76	0.0	12.38	31.69	83.84	0.0	26.8	1.24	31.56	28.29	20.22	24.41
