	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110036E04Rik	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1700008K24Rik	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.52
1700125H20Rik	0.0	13.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.29	0.21
2310046A06Rik	0.0	169.04	6.77	0.0	374.06	184.51	0.54	0.0	11.17	0.26	0.0	26.34	0.0	0.19	0.65	1.0	30.02	27.88	27.38
2610206C17Rik	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.52	0.05	0.18
2810442N19Rik	0.0	54.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.94	1.82
6330527O06Rik	0.0	365.46	222.3	0.0	1136.41	482.56	199.01	1.08	0.0	0.16	35.65	0.18	0.26	0.7	3.45	1.84	202.59	206.17	203.58
9430031J16Rik	0.0	26.67	4.3	0.0	5.18	0.19	0.48	0.0	0.0	0.0	0.0	0.28	0.0	0.14	0.05	0.0	8.38	6.63	8.52
Abcb11	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acad10	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.74	2.44	3.02	2.41
Ada	0.0	0.18	0.72	0.0	0.0	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.4	0.44
Adamtsl1	0.0	9.67	0.0	0.0	4.41	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	2.35	2.68
Adarb2	0.0	3.47	0.0	0.0	65.77	0.0	0.0	0.0	0.09	0.0	3.54	0.06	0.0	0.0	0.0	0.0	6.86	6.06	8.99
Agpat4	0.73	60.48	0.0	0.0	41.42	69.7	0.08	3.34	0.63	0.17	4.54	0.0	0.54	1.81	0.68	0.63	50.62	55.21	52.12
Arhgap33	0.1	6.13	2.6	0.0	4.91	3.44	2.04	0.0	0.0	0.0	7.96	1.86	0.0	0.36	0.0	0.27	124.52	124.01	136.22
Arhgap6	0.0	18.85	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.05	7.74	7.45
Arsk	0.0	16.27	0.0	0.0	0.0	40.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	4.66	4.25
C1ql3	0.0	0.09	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	1.13	117.91	110.24	121.65
Camkv	0.0	12.94	7.76	0.0	87.99	8.6	14.93	1.38	0.0	0.0	5.65	2.68	0.0	0.67	0.0	65.98	455.8	497.46	456.14
Car8	0.0	6.35	0.0	0.15	51.44	0.22	0.08	2.18	0.15	0.05	0.0	0.0	0.0	0.0	0.07	0.7	5.21	4.26	5.44
Cask	36.12	123.81	2.2	0.02	42.33	125.39	0.05	1.76	19.25	51.87	17.48	0.0	28.12	7.43	2.58	192.93	28.19	26.16	27.53
Cd34	0.0	11.63	0.0	422.64	12.05	37.63	0.17	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	67.76	69.88	65.89
Col8a2	0.0	0.07	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	1.55	1.12
Cpne7	0.0	14.22	0.0	0.0	76.9	9.78	6.35	0.88	0.0	0.0	0.2	2.35	0.0	0.0	0.0	0.0	70.78	77.82	81.68
Cryab	331.76	164.85	349.44	34.76	725.48	0.0	66.52	8.22	0.0	0.0	64.18	190.75	0.0	0.59	0.0	0.0	112.51	115.73	126.12
Cuedc1	0.0	9.88	0.77	0.05	0.33	1.74	0.64	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.4	19.89	23.12	23.61
Dcdc2a	0.0	9.57	0.09	0.0	0.0	0.1	0.0	0.61	0.0	0.0	0.16	0.06	0.26	0.17	0.18	0.18	2.95	2.66	3.06
Dclk3	0.0	5.51	0.0	0.0	0.0	1.95	0.06	0.6	0.0	0.0	0.0	0.1	0.0	0.0	0.0	42.74	37.71	38.71	37.95
Ddb2	0.0	167.47	27.57	0.0	0.0	0.0	0.0	885.48	0.0	71.09	0.0	0.0	0.0	0.0	0.0	0.0	14.07	14.39	13.15
Dnahc17	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.42	0.53	0.37
Dpf1	0.0	30.96	2.29	0.0	15.24	7.27	6.06	0.46	2.19	2.21	10.89	0.0	6.02	0.4	0.11	54.65	47.74	50.08	44.62
E030019B13Rik	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.16	0.67
Ear6	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ebi3	0.0	23.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	1.37	1.42
Efhc2	0.0	62.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.64	1.24
Efnb2	0.0	32.81	0.0	0.0	0.45	25.73	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	19.52	0.0	36.52	40.54	35.25
Egfem1	0.0	34.94	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	5.51	4.43	5.83
Fat1	0.0	8.57	3.21	0.0	2.29	10.07	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.35	11.48	14.61
Fgf13	1.54	297.04	629.94	7.29	323.58	11.95	277.45	11.08	1.35	2.58	45.04	20.1	4.62	5.81	8.53	11.64	140.0	140.28	135.61
Fstl4	0.0	47.35	0.0	0.0	43.3	4.28	1.3	0.0	0.0	0.0	0.46	0.0	0.0	0.22	0.0	0.38	16.09	13.78	16.47
Fut4	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.29	0.46	0.22
Fxyd6	0.0	50.68	69.57	0.89	139.97	66.36	95.84	1.19	0.0	0.18	3.23	0.0	0.0	0.13	0.58	0.67	151.44	156.95	145.97
Fxyd7	0.0	30.87	0.91	0.0	0.0	72.12	20.97	4.98	0.0	0.0	15.77	48.38	0.0	1.08	0.4	20.69	149.2	165.21	149.7
Gap43	0.0	232.27	4.53	0.5	174.66	335.56	287.39	7.45	0.0	98.53	96.0	11.13	149.61	0.9	2.02	6.57	346.07	364.59	357.17
Gm10220	0.0	0.0	0.19	0.0	0.44	0.21	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.67	0.75
Gm2061	0.0	22.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	3.41	4.09
Gm3716	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.1	0.19	0.11
Gpatch3	0.0	43.19	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.0	0.0	7.1	0.0	0.0	0.0	0.0	5.89	7.6	7.1
Gstm7	0.0	0.23	0.0	480.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.95	22.99	22.27
Hcrtr2	0.0	28.91	31.51	0.0	0.13	0.0	0.06	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	1.42	1.29
Ift88	0.0	43.45	0.37	0.05	14.56	5.91	3.34	0.0	0.08	0.0	0.0	0.0	0.0	0.29	0.08	12.74	16.73	15.64	16.11
Kcnc4	0.0	18.67	0.0	0.0	6.54	0.0	32.88	0.01	0.0	0.0	0.0	0.0	0.0	0.3	0.09	0.0	67.9	72.47	68.33
Kcnn3	0.0	0.86	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	9.34	7.98	8.92
