	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92	PvalbF.Gad2_tdTpositive_cell_93	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_100	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500011H22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7	0.0	60.18	80.73	67.99	67.64	27.2	50.72	195.68	38.75	174.15	241.21	302.89	147.68	0.79	53.77	11.34	0.0	0.0	22.58	90.96	99.25	83.48
2410022L05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.47	122.34	0.0	0.69	0.0	49.6	78.38	42.46	204.63	587.94	151.58	37.51	0.0	1.95	1.57	0.0	0.0	65.38	47.46	49.34	46.76
Akap17b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24	0.93	0.0	19.89	32.79	0.3	13.87	0.08	0.0	0.33	12.77	0.15	0.09	0.0	0.88	0.0	0.07	0.0	0.0	0.0	1.48	11.75	11.3	11.6
Aplp2	0.0	246.22	0.0	0.0	0.13	0.0	14.89	66.72	12.45	0.5	204.13	120.97	277.62	262.72	151.85	120.22	214.03	127.39	162.8	475.24	515.06	263.83	131.63	286.44	2.33	0.0	119.54	32.04	463.03	454.92	441.05
Atp1a3	0.0	0.0	0.0	0.0	0.71	0.12	0.0	92.32	88.03	0.0	452.89	138.24	1005.79	636.64	186.04	169.0	450.08	554.33	824.75	567.61	954.37	924.25	435.96	901.53	206.46	0.0	0.16	173.86	1301.98	1411.72	1359.05
Atp5d	0.0	78.64	0.0	0.0	0.52	0.0	0.0	18.06	3.61	0.0	73.21	176.21	341.32	256.47	14.94	112.22	136.06	528.91	307.32	300.01	312.55	101.28	140.47	130.12	10.69	0.0	0.0	182.51	268.79	314.1	289.14
Bmyc	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.79	9.24	1.19	70.51	3.07	77.59	13.65	1.07	27.27	158.15	0.0	0.53	0.0	0.0	0.0	0.0	78.33	105.81	84.23
Brp44	0.0	0.0	0.0	0.0	0.0	7.52	0.0	0.0	53.52	73.94	35.8	96.03	305.27	216.27	16.38	65.76	43.35	282.38	100.65	212.03	306.17	166.91	87.14	117.91	1.47	0.0	0.0	14.28	125.55	139.95	126.55
Cox5b	0.0	0.0	0.86	335.54	0.0	117.09	0.0	1302.04	141.72	0.0	440.39	562.67	1088.88	956.13	104.38	588.09	366.53	945.82	1135.83	2370.75	1689.48	1683.11	906.58	1688.14	15.97	0.0	0.0	5.67	433.07	473.45	475.76
Disp2	0.0	0.0	0.0	0.0	0.28	0.0	0.0	6.1	5.22	0.0	3.66	27.41	87.81	88.7	19.54	12.93	40.97	12.03	23.91	58.6	34.03	23.29	35.24	68.95	0.18	0.0	0.0	6.76	142.18	142.99	146.68
