	Cux2_tdTpositive_cell_57	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_83	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040B10Rik	134.9	0.0	0.0	0.0	0.0	0.0	6.04	6.14	3.24
1700007K13Rik	141.27	0.0	0.52	0.0	0.0	0.0	4.82	5.26	4.45
2410004P03Rik	7.46	0.63	2.96	0.0	4.92	2.08	5.25	5.57	6.2
3110001D03Rik	540.09	0.8	0.0	108.1	77.47	46.11	44.05	45.91	47.67
4833412C05Rik	164.93	0.31	0.38	0.5	0.0	0.0	1.67	1.14	1.69
4932413F04Rik	10.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
A830093I24Rik	119.41	0.0	0.06	0.0	0.0	0.18	4.75	3.89	6.42
AA960436	161.6	0.0	0.0	0.0	0.0	0.0	10.31	9.45	8.2
AB099516	0.33	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.0
Acadsb	460.48	0.16	0.82	1.65	76.36	12.1	47.33	42.84	45.31
Adamts10	37.52	0.0	13.47	0.0	18.53	0.0	14.1	15.86	15.95
Adat3	4.04	0.0	0.0	0.0	0.0	0.0	4.12	5.31	4.5
Aebp2	159.22	99.0	0.07	0.0	11.39	21.81	51.86	50.5	51.73
Ankle2	80.13	21.26	2.26	0.93	18.59	0.39	20.77	19.85	19.33
Anxa2	1.11	0.0	0.0	0.0	0.0	0.0	12.81	15.09	14.73
Arr3	154.01	0.0	0.0	0.0	0.0	0.0	1.72	1.73	1.67
Atad5	37.03	0.0	0.0	0.0	0.0	0.0	2.14	2.12	2.4
Atg4d	75.75	0.0	0.0	8.28	0.0	0.0	24.42	24.85	24.19
B3galnt2	49.08	0.0	0.11	0.0	2.37	0.0	16.14	13.77	14.54
Bbs7	327.55	0.42	0.73	0.27	0.0	1.21	16.76	15.22	16.91
Bcor	42.27	0.0	0.0	0.0	3.09	0.0	13.55	13.42	12.87
Bola3	103.08	1.13	13.12	0.0	0.0	10.81	53.31	52.45	45.25
Brix1	151.48	0.0	0.0	49.58	69.72	0.2	14.82	15.63	14.91
Cabyr	312.14	64.05	33.01	0.0	0.0	0.0	14.66	14.36	14.71
Cacna1d	32.72	0.0	4.66	0.16	0.46	1.18	24.27	21.97	25.63
Casc1	12.19	0.0	0.0	0.0	0.0	0.0	0.36	0.66	0.52
Ccdc112	87.38	0.19	0.0	0.0	0.0	15.63	10.48	10.78	9.82
Ccdc39	129.08	12.59	0.0	44.36	0.67	0.0	12.31	9.55	11.14
Cd164l2	83.83	0.0	0.0	0.0	0.0	0.0	4.43	4.54	4.13
Cdc27	191.05	0.09	4.67	0.71	2.37	0.89	29.52	27.72	29.59
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Creb3l1	75.12	0.0	0.0	0.0	0.0	0.0	2.18	2.5	2.73
Ctnnd2	263.74	31.72	22.13	63.29	153.7	82.94	85.78	88.37	95.39
Cxcl16	0.34	0.6	0.16	0.0	0.0	0.0	1.61	1.39	1.16
Cyp1b1	0.07	0.0	0.0	0.0	0.0	0.0	1.38	1.6	1.42
Cyp2c44	50.95	0.0	0.0	0.0	0.0	0.0	0.2	0.05	0.17
D630013N20Rik	3.62	0.0	0.73	0.1	0.0	2.19	0.93	0.72	0.7
D630042F21Rik	0.26	0.0	0.0	0.23	0.0	0.0	0.03	0.0	0.06
Dnajc3	107.98	0.0	0.0	0.0	0.0	0.0	29.01	26.39	26.93
Eefsec	102.57	0.2	0.0	0.0	0.15	0.0	12.6	13.4	12.82
Erdr1	162.29	179.45	6.46	0.0	23.29	14.9	94.32	245.81	243.31
Fam107a	0.75	0.0	0.13	0.0	0.0	0.0	240.76	243.26	245.84
Fam178a	158.74	0.86	1.96	0.2	18.01	1.64	26.42	23.14	26.23
Fbxl4	193.99	0.0	0.0	8.41	34.42	0.0	18.41	17.57	17.86
Fggy	200.22	0.0	0.0	0.0	0.0	0.0	11.8	11.85	11.59
Gata1	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11978	2.58	0.0	0.0	0.0	0.0	0.0	0.4	0.52	0.41
Gm128	4.97	0.0	0.0	0.0	0.0	0.0	0.2	0.06	0.28
Gm13139	93.45	0.0	0.0	31.13	0.14	0.0	1.7	0.82	1.24
Gm13288	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm14431	3.27	0.55	0.95	0.0	0.0	32.55	8.87	7.17	8.34
Gm1673	59.66	0.0	0.0	0.0	0.0	0.0	53.39	62.92	63.57
Gm19710	152.29	0.0	0.0	0.0	1.37	0.0	1.94	1.79	1.72
Gm5039	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6289	198.69	0.0	0.6	0.0	0.0	0.0	1.01	0.57	0.97
Gm6531	0.19	0.0	0.28	0.0	0.0	0.24	0.27	0.16	0.29
Gm6639	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0
Gm8898	3.27	0.55	0.95	0.0	0.0	32.55	8.87	7.17	8.34
Gphb5	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hbq1a	176.28	0.97	0.0	0.0	0.0	0.0	2.4	1.48	1.29
Hist1h2bl	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hook3	50.61	0.0	17.95	0.0	0.39	0.18	24.13	17.99	24.34
Ifrd2	33.81	0.0	0.0	0.0	0.0	0.0	8.27	8.54	8.12
