	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_65	Tac2_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
2410137F16Rik	0.0	37.65	0.0	0.12	0.0	3.38	2.78	4.46
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
Armcx2	0.0	0.0	30.3	0.0	17.53	67.76	69.2	65.1
Atm	0.13	7.88	0.0	0.03	0.04	8.51	7.1	8.33
Blk	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
C4bp-ps1	0.0	0.0	0.0	0.0	0.0	0.14	0.38	0.84
C80913	0.0	0.23	20.51	0.0	26.9	43.26	41.45	42.53
Ccdc51	0.0	0.0	0.0	0.0	0.0	3.63	5.01	5.1
Ccdc85b	0.12	5.99	0.01	0.0	0.14	42.75	54.22	45.12
Ccl27b	0.0	5.66	0.0	0.0	0.21	30.63	28.29	22.96
Cd244	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cep57l1	0.0	0.39	0.0	0.0	0.0	5.29	5.04	5.36
Ces1a	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cstf2	0.0	0.0	0.1	0.09	7.73	76.47	73.56	73.98
Ctage5	0.0	0.0	2.1	4.69	28.1	37.73	35.59	38.45
Ctdnep1	0.0	4.52	48.46	0.0	1.02	83.05	85.68	86.14
Cxx1b	0.0	0.0	7.49	7.12	11.26	172.6	187.06	185.15
Ddx11	0.0	0.19	0.17	0.44	0.56	1.53	1.0	1.56
Ddx46	0.0	3.89	29.82	3.25	0.0	43.09	40.84	44.66
Dspp	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Ephx3	0.36	2.32	0.19	0.0	0.54	0.42	0.41	0.63
Eya3	0.0	1.69	0.0	0.17	0.0	18.15	18.29	17.8
Fam171b	0.0	33.26	34.04	22.52	59.97	165.86	156.72	169.74
Flcn	0.0	5.6	32.95	0.0	0.0	47.11	49.42	43.47
Frmd3	0.25	10.98	0.45	0.52	0.37	5.51	4.81	5.18
Git1	0.0	0.0	0.0	0.0	0.0	228.58	244.29	233.42
Gm11978	0.0	0.0	0.0	0.0	0.0	0.4	0.52	0.41
Gm13306	0.0	5.66	0.0	0.0	0.21	30.63	28.29	22.96
Gm2506	0.0	5.66	0.0	0.0	0.21	30.63	28.29	22.96
Hist1h2bq	0.0	0.0	0.0	0.1	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.1	0.0	0.38	0.28	0.38
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Kctd20	0.0	12.01	19.16	0.0	0.0	46.88	45.47	42.85
Kera	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kpna1	0.0	11.43	16.76	0.0	17.28	98.17	87.0	90.49
Lao1	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Limch1	1.49	0.13	4.72	29.78	0.76	53.13	53.13	57.18
Lipm	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Lsm10	0.0	0.0	0.0	84.47	0.0	11.37	14.59	13.42
Masp1	0.0	0.0	8.16	0.0	0.0	5.81	6.45	6.03
Neu1	0.26	15.25	10.63	0.21	0.84	33.45	35.47	32.28
Olfr1420	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Plp2	0.0	0.0	0.0	0.0	0.0	11.9	12.42	9.23
Prickle3	0.0	0.0	0.0	0.0	0.0	1.38	1.8	2.92
Prim2	0.0	0.0	0.0	0.0	0.0	7.53	6.42	6.08
Prss22	0.0	0.0	0.0	0.0	0.0	1.99	1.85	2.68
Rapsn	0.0	0.0	0.0	0.0	0.0	0.49	0.64	0.93
Rbm45	0.0	13.17	10.01	0.22	3.11	35.4	33.46	35.22
Rev1	0.0	0.93	0.0	0.0	0.45	17.41	16.67	16.45
Setd8	0.0	8.16	10.59	8.34	0.0	35.35	35.71	33.18
Slc25a24	0.0	0.0	0.0	0.0	0.09	2.44	2.64	2.72
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smarcb1	0.0	0.0	58.94	0.0	32.42	69.32	77.21	73.73
Stk40	17.22	0.45	11.06	0.0	0.0	28.92	28.46	24.06
Stoml1	0.0	0.4	0.0	0.0	0.0	70.29	76.45	67.01
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tsnax	0.0	0.0	17.51	0.17	0.0	208.3	195.42	197.29
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ubxn2b	0.0	8.52	20.46	0.0	14.52	23.69	19.84	22.76
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Wdr41	0.0	0.0	0.0	0.0	0.0	30.24	29.73	28.79
Zp3r	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	3744.02	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
