	Nos1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_89	Scnn1a.Tg3_tdTnegative_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600029D21Rik	8.13	0.0	0.0	0.25	0.14	0.43	0.4
1600029O15Rik	83.88	3.72	0.0	2.07	3.2	3.19	2.95
1700003M07Rik	54.88	1.48	0.0	0.84	16.32	15.13	17.66
1700034H15Rik	54.05	1.9	0.33	1.37	3.34	3.19	3.2
2010308F09Rik	0.8	0.0	0.0	0.0	0.34	0.21	0.69
2310001H17Rik	1.94	0.0	0.0	0.0	1.23	0.98	0.73
2610528A11Rik	0.47	0.0	0.0	0.0	0.54	0.38	0.84
3632454L22Rik	46.32	0.98	0.0	0.56	1.99	1.11	1.58
4930404N11Rik	34.12	0.0	0.0	18.47	20.52	23.31	20.29
A530032D15Rik	0.18	0.0	0.0	0.0	0.0	0.0	0.1
AY512915	0.05	0.0	0.0	0.0	0.0	0.0	0.0
Abca17	27.42	0.0	0.0	0.0	0.6	0.36	0.83
Adamts14	1.53	0.11	0.0	0.0	0.25	0.4	0.34
Aff2	15.97	0.0	0.0	0.0	6.41	6.14	7.48
Akr1c21	6.0	0.0	0.0	0.0	0.0	0.08	0.0
Apol11b	0.16	0.0	0.0	0.0	0.05	0.0	0.0
Arl4a	198.31	15.4	0.0	0.0	25.16	25.88	27.04
B230119M05Rik	3.57	0.0	0.0	0.0	0.21	0.19	0.21
BC013712	7.82	0.0	0.0	0.0	0.93	0.99	1.4
Batf3	51.87	0.0	0.0	0.0	1.73	1.49	1.34
C1galt1	83.76	0.0	0.0	0.0	11.52	10.26	12.39
Capn3	36.43	0.0	0.0	0.0	5.46	3.86	4.18
Cbln1	40.45	0.0	0.0	0.0	10.84	11.05	10.62
Ccdc116	0.0	0.0	0.0	0.0	1.85	1.64	1.41
Ccdc157	24.18	0.95	0.0	0.77	19.84	18.57	21.08
Ccdc37	34.43	0.0	0.0	0.25	3.32	4.92	4.02
Ccdc60	41.05	0.0	0.0	0.0	0.73	0.65	0.47
Cdca7l	35.69	0.0	0.0	0.0	1.17	0.95	1.43
