	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_8	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_16
2310035K24Rik	0.0	0.0	225.2	0.0	8.3	233.17	78.3	0.0	39.64	12.73	91.74	77.35	0.0	94.65	94.14	0.58	69.86	0.0	0.0	33.24	101.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.28	413.07	0.0
3110035E14Rik	0.0	0.0	91.78	0.0	145.08	442.6	480.5	399.26	66.31	31.14	235.33	160.44	32.22	1069.91	662.42	58.61	20.89	23.63	119.89	53.04	228.52	0.21	0.2	0.0	7.77	1015.31	37.9	0.0	19.62	0.0	0.0	0.0	0.0	51.27	0.26	0.0
4921511C10Rik	58.87	0.0	0.0	0.0	0.9	166.63	62.89	174.6	0.0	0.0	0.0	0.0	30.36	101.22	0.89	14.12	0.0	126.03	8.69	26.23	12.45	0.0	0.0	0.0	0.21	388.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.45	0.0	0.0
4930511M11Rik	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.4	0.24	0.0	0.0	0.0	0.0	0.24	0.59	0.0	0.49	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.71	0.0	0.32	0.0	0.47	0.0	1.25	0.0
5730403B10Rik	79.32	0.11	175.54	0.0	110.36	267.96	32.4	415.37	301.43	123.83	122.21	43.57	147.13	161.23	240.39	61.44	81.07	80.33	12.28	77.17	98.52	0.17	0.45	0.1	26.17	1.0	0.59	0.0	0.0	0.76	0.48	0.15	0.0	128.57	64.03	0.0
5730437N04Rik	0.0	0.0	0.0	0.0	0.0	96.11	0.0	0.0	122.28	51.04	44.56	2.95	58.95	98.43	0.0	74.68	125.32	0.0	61.36	281.82	62.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0
8430419L09Rik	0.0	0.0	93.8	0.0	12.53	308.27	101.97	88.71	89.85	37.41	30.5	74.46	29.94	57.33	114.9	5.85	3.45	71.78	35.33	7.89	38.4	0.16	0.23	0.0	0.07	0.25	0.0	0.0	0.0	0.15	0.17	0.0	0.0	0.32	17.73	0.0
9130011E15Rik	23.05	0.0	0.83	2.77	0.0	0.05	5.62	0.0	0.0	9.25	33.96	1.63	56.35	0.0	0.0	0.0	0.0	0.19	0.0	12.84	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	15.73	0.0	0.0	0.0	0.0	54.35	0.0	0.0
Ampd2	0.0	0.0	0.08	0.0	9.53	32.97	166.72	135.6	0.0	24.11	56.21	7.72	0.0	22.87	0.0	19.45	0.0	4.69	0.15	8.95	0.0	0.0	0.0	0.0	49.43	0.0	0.0	0.0	0.0	0.18	0.1	0.0	0.0	0.0	0.11	0.0
Ank2	0.06	0.0	193.04	0.0	19.32	236.09	293.23	301.65	120.45	94.36	119.86	240.16	179.94	176.46	46.81	160.69	234.1	168.85	183.55	136.42	150.48	0.12	126.71	0.0	1.16	0.63	0.0	0.22	0.0	0.23	71.24	0.0	0.17	106.6	491.82	0.11
Arhgap26	0.0	0.0	132.81	0.0	3.72	109.02	141.25	117.17	93.31	152.4	102.93	149.49	29.27	217.04	46.3	63.1	27.76	32.31	12.9	44.19	33.19	0.08	0.0	0.0	0.04	376.05	222.3	0.0	0.0	0.0	0.04	0.0	0.12	101.23	0.05	0.0
Arhgap44	0.0	0.0	102.27	0.0	159.64	280.94	343.49	381.14	175.9	107.28	162.48	91.68	75.87	327.46	323.36	77.32	6.02	68.16	131.02	95.1	104.8	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	180.58	0.31	0.0
Atp2b2	0.0	0.0	383.28	67.24	900.64	446.66	506.22	524.81	243.69	257.59	400.15	456.41	157.37	644.85	789.79	234.57	278.61	131.12	325.64	109.73	200.65	0.39	0.09	0.0	0.21	1.25	0.11	0.0	150.28	0.46	0.2	0.0	0.2	424.62	543.61	0.0
Atp5a1	0.0	0.0	522.63	578.07	248.99	665.65	704.85	1603.01	837.9	603.69	678.15	464.65	676.32	775.64	873.54	68.24	244.35	339.82	436.7	307.46	687.32	243.93	1.46	302.27	799.43	789.02	817.29	0.0	52.32	1.33	892.8	0.0	0.57	764.4	15.76	481.13
Baiap2	0.0	0.2	136.3	0.31	75.88	530.05	487.38	305.2	200.98	90.37	96.15	64.49	135.55	294.39	289.61	99.68	47.41	53.85	91.46	168.77	171.01	0.66	0.0	0.0	61.9	74.69	0.0	0.0	0.0	0.63	0.11	0.0	0.0	86.75	42.72	0.0
Bzw1	8.37	0.0	3.69	202.94	315.63	401.6	339.84	793.8	626.58	424.33	211.13	73.03	78.57	886.98	877.51	220.84	90.25	16.26	176.1	197.41	58.52	0.24	0.34	67.58	537.93	1017.15	1.09	0.0	508.36	0.45	0.62	0.0	0.16	513.59	0.88	71.49
C330006A16Rik	0.0	0.0	121.71	28.25	180.89	241.87	0.0	409.19	316.18	129.57	325.3	179.05	39.09	228.94	289.05	34.82	131.73	133.64	23.87	23.18	5.22	0.0	0.28	0.0	91.18	13.93	0.34	0.0	0.0	0.56	1.22	0.0	0.0	0.14	0.18	0.26
Ccl27b	0.0	0.0	113.94	0.0	10.7	185.36	141.26	52.82	54.72	30.68	0.23	50.62	21.3	145.89	387.32	114.35	145.03	0.49	118.2	75.28	177.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Ccnd2	0.0	0.0	13.76	0.0	1.11	147.66	261.89	224.99	103.92	68.48	49.13	15.72	0.0	358.95	139.17	41.69	0.36	25.13	0.0	79.82	36.21	0.12	0.0	0.0	0.15	624.46	0.66	0.0	0.0	0.0	0.0	0.0	0.08	0.0	365.77	0.0
Cdc73	0.0	0.0	0.0	0.0	0.0	0.17	55.14	74.23	0.25	0.0	0.0	1.18	60.55	182.54	0.0	64.26	0.0	0.0	37.94	0.0	0.0	0.0	0.12	0.0	0.0	0.0	31.7	0.0	0.0	0.0	0.0	0.0	0.0	2.67	289.0	0.0
Cx3cl1	0.0	0.0	395.81	0.0	225.25	89.5	165.72	479.8	83.58	54.21	73.01	65.42	92.39	472.89	184.66	40.4	88.64	194.41	15.8	74.05	66.14	0.0	0.1	0.0	0.09	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.86	0.26	0.19
Dnajc14	0.0	0.0	73.7	0.0	0.58	49.43	0.0	0.2	2.3	11.6	23.76	0.0	0.0	78.79	0.0	2.28	0.0	0.25	25.04	0.0	13.06	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	85.25	0.0	0.0	0.0	0.0	0.19	0.0
Dpp10	0.0	0.0	25.98	0.0	101.25	383.42	103.96	320.31	144.08	76.46	231.14	21.58	39.66	181.73	158.47	73.12	18.79	82.17	30.38	186.59	22.1	0.0	0.14	0.0	0.13	0.16	0.0	0.0	0.0	0.14	0.08	0.0	0.1	235.82	0.44	0.0
Drosha	0.0	0.0	42.13	0.0	59.63	61.03	87.79	7.84	39.99	35.35	69.32	0.34	2.48	52.93	47.63	1.06	35.86	1.21	53.1	12.86	35.08	3.1	0.0	0.0	0.0	0.0	0.0	8.91	0.0	0.0	0.0	0.0	0.0	0.0	10.29	0.26
Dusp3	76.16	82.91	256.89	0.46	505.06	355.8	486.15	643.53	336.53	511.83	184.79	149.19	161.7	432.28	437.87	79.93	107.59	103.18	139.43	70.62	225.22	108.3	1.06	17.4	5.52	13.05	0.39	0.57	0.0	0.47	380.9	0.37	0.76	443.5	50.49	6.39
Ensa	0.0	0.0	713.37	0.0	864.53	996.45	1148.28	834.09	692.63	1140.82	689.83	313.1	319.33	570.98	1521.07	495.15	430.86	170.41	219.4	671.68	648.04	0.0	0.57	0.0	0.78	340.79	1024.35	0.0	0.0	1.69	814.97	0.0	0.0	1164.21	2.18	0.0
Fam164a	0.0	0.0	41.86	0.0	44.92	256.88	292.5	139.55	221.09	209.46	180.3	0.12	65.08	153.56	154.84	198.54	62.16	73.01	140.42	247.49	32.44	0.0	0.19	0.0	0.09	0.43	0.0	0.0	0.0	0.19	0.31	0.0	0.0	121.46	0.62	0.0
Fam49a	0.0	0.0	185.51	0.0	16.38	472.22	257.15	328.57	396.5	192.31	151.47	75.22	89.77	490.7	351.29	1.04	7.21	167.43	107.04	215.51	160.04	0.0	0.84	0.06	0.25	332.8	437.88	0.0	485.93	0.0	0.22	0.25	0.3	329.95	0.52	0.25
