	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_47	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_79	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16
0610037L13Rik	0.0	0.0	154.37	0.0	0.0	39.98	47.3	100.3	45.53	277.44	98.71	69.82	343.14	104.06	63.92	109.76	18.84	94.59	104.62	59.23	96.74	0.0
1190007I07Rik	0.0	1.0	111.95	14.23	3.77	0.0	0.0	27.65	0.0	115.27	0.82	1.09	1.44	29.27	18.86	0.78	9.3	43.54	35.15	1.92	16.38	0.0
1500009C09Rik	0.0	125.59	66.92	0.0	0.0	0.0	118.33	97.94	56.98	95.73	4.56	41.15	51.53	56.21	11.1	256.52	39.93	0.0	44.5	150.05	96.82	0.0
4930432J09Rik	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.96	0.51	1.11	0.94	0.59	1.73	0.35	0.14	1.04	0.68	1.22	1.37	1.0	1.18	0.57
6330409N04Rik	0.0	45.51	230.43	0.0	0.0	51.96	89.7	66.56	96.55	445.83	0.0	55.96	1.09	117.5	75.51	121.73	44.59	52.97	0.32	48.5	62.19	0.0
Abi1	0.0	28.1	53.43	0.0	0.0	0.0	0.0	36.03	114.98	306.74	5.07	0.0	102.81	34.73	57.16	30.68	66.11	49.42	39.71	0.0	100.11	0.11
Abt1	5.16	0.66	40.35	3.06	14.11	1.16	13.66	5.45	15.01	71.68	10.96	25.54	3.96	23.95	5.38	19.05	15.2	50.96	26.77	8.55	7.1	5.13
Add2	0.0	40.12	0.0	0.0	0.0	0.16	0.0	49.76	12.87	76.99	86.54	0.0	29.81	29.27	0.53	14.24	4.32	21.08	37.08	0.14	1.18	0.0
Afap1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.42	0.0	0.81	63.18	0.0	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.0
Akap17b	0.0	0.0	39.44	0.0	0.0	0.0	0.0	29.71	3.02	36.82	0.0	21.14	11.88	0.0	0.09	0.39	4.76	0.0	9.01	12.04	0.0	0.0
Alg9	0.0	0.0	55.96	0.0	0.0	0.0	0.0	0.0	0.24	75.06	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	30.88	0.0	0.0
Ap2a2	0.0	5.19	55.45	0.0	0.0	37.72	33.6	50.15	50.92	54.04	37.91	35.08	68.26	14.67	36.39	50.89	40.94	45.89	20.52	14.29	28.27	0.08
Arhgdia	0.0	0.0	94.66	0.0	0.0	71.99	22.39	55.84	17.35	51.94	0.0	24.56	54.05	31.67	1.93	51.29	34.91	21.84	32.18	41.84	47.06	0.36
Atf2	0.12	1.47	86.88	0.11	0.31	4.74	23.96	62.49	65.18	175.2	40.71	103.47	87.06	80.28	40.45	26.17	133.76	78.87	83.16	23.44	91.43	0.22
BC030336	40.84	0.0	105.82	0.0	0.0	58.67	7.33	38.58	72.41	60.05	9.76	15.51	72.35	38.18	29.84	28.17	29.49	20.36	6.84	18.76	23.35	0.0
Btf3l4	88.48	94.82	251.02	0.0	196.67	208.96	103.42	73.98	226.48	340.06	205.68	147.2	228.71	126.54	182.94	118.91	176.05	125.09	65.54	138.18	187.37	0.0
Bzw1	0.0	67.84	613.31	0.0	0.0	154.37	148.16	206.54	347.4	593.72	462.55	326.92	270.93	213.1	203.03	242.19	290.61	105.16	280.42	163.34	115.66	0.62
Cbfa2t2	0.09	25.88	79.68	0.0	0.13	30.41	22.44	34.55	65.88	111.18	63.7	97.52	160.22	23.28	51.34	87.96	74.35	67.5	79.7	47.04	51.79	0.17
Cntnap2	4.26	55.33	102.71	0.0	0.0	42.85	49.47	72.2	39.09	129.69	85.3	133.69	115.51	64.75	26.11	90.89	36.3	66.92	19.21	19.33	77.79	0.0
Cntnap4	0.0	2.65	206.54	0.0	0.0	26.6	10.89	85.94	116.58	49.43	71.65	82.12	22.64	42.06	21.05	64.34	4.89	79.94	73.93	29.07	30.68	0.0
Cops4	0.0	589.01	647.36	0.0	0.0	513.46	156.38	324.36	375.0	432.51	383.95	150.02	360.03	414.71	403.55	440.73	72.37	152.18	207.24	428.62	439.97	0.0
Cyp46a1	0.0	0.0	24.49	0.0	0.0	22.36	5.67	19.75	5.86	21.32	9.56	0.73	72.01	17.33	0.0	3.1	12.09	0.2	2.05	0.86	15.06	0.0
Dcaf7	0.0	0.08	49.46	0.0	0.0	39.35	40.94	22.93	0.0	59.04	6.03	28.86	55.84	14.02	15.29	16.44	15.73	36.39	36.19	41.5	27.71	0.06
