	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110002B05Rik	0.0	0.15	0.17	30.73	0.0	0.0	131.4	71.48	245.92	0.0	0.0	0.0	0.0	0.0	23.23	302.36	25.15	0.2	34.47	36.13	34.64
1700028B04Rik	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	117.89	0.34	0.54	0.0	2.73	0.0
2810004N23Rik	0.0	0.0	0.0	29.51	25.08	0.0	0.58	22.82	0.0	0.0	0.0	15.8	63.63	0.0	0.0	258.94	1.78	0.7	20.74	26.45	13.09
4930429B21Rik	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.58	210.59	0.8	0.63	0.77	4.81	7.37
5430405G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.76	0.24	0.29	4.24	0.98	5.68
6330416G13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.05	0.33	0.3	1.8	1.6	3.14
6430531B16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	123.92	0.31	0.24	0.0	1.83	0.0
9130017N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.65	0.07	0.39	0.0	0.0	0.0
Adam23	10.57	9.74	6.23	7.25	69.86	38.58	10.84	24.2	5.05	15.62	1.24	60.65	6.01	65.95	104.24	182.51	9.23	0.66	32.83	25.01	23.44
Adamts5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.11	0.04	0.0	3.7	0.92	1.99
Aimp1	167.67	267.62	129.5	115.46	6.55	214.55	35.65	203.29	246.03	74.43	341.32	163.43	0.0	0.0	99.22	647.28	132.34	213.07	138.68	174.39	134.15
Amotl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.92	0.0	0.16	0.0	0.0	0.0
Aplp1	10.28	13.34	83.25	45.61	243.17	324.6	489.56	79.96	112.31	111.15	132.07	86.73	362.6	58.42	262.61	150.82	188.59	142.59	115.74	137.82	140.01
Apol8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.08	0.19	0.15	0.0	0.0	0.0
Atg16l2	0.0	0.05	1.05	30.76	25.96	8.49	0.0	1.32	0.0	0.18	0.0	1.79	0.26	0.0	0.0	75.46	0.08	0.57	16.78	11.36	8.88
Axin2	0.0	0.0	0.0	0.0	19.78	0.0	22.75	0.02	0.0	0.09	0.0	0.03	10.49	0.0	0.0	59.88	0.08	0.16	1.39	2.09	1.86
B3galtl	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.45	0.03	33.52	0.0	24.26	52.11	0.09	0.18	6.64	5.4	4.4
Capg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.57	0.0	0.12	0.0	0.0	1.2
Ccdc155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07	0.0	1.25	115.89	0.16	0.62	3.66	5.63	3.95
Ccdc41	4.87	45.11	0.0	0.0	2.75	0.06	0.13	33.15	59.18	44.57	39.57	0.0	25.58	0.0	0.0	68.67	0.46	75.49	14.06	10.47	16.14
Ccdc83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0
