	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_33	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
1110058L19Rik	0.0	0.0	384.75	375.32	236.52	303.83	316.86	218.52	234.34	129.17	53.66	301.95	169.47
6430598A04Rik	0.0	0.0	0.28	3.54	0.0	7.94	0.0	0.0	6.24	0.0	6.29	5.65	0.06
Agbl3	0.0	0.0	37.23	6.39	0.0	13.02	0.0	22.62	0.0	0.0	0.0	7.49	7.28
Bub3	0.81	0.0	353.24	79.87	0.0	131.85	105.0	0.37	90.68	56.05	96.47	137.06	162.91
Ccndbp1	0.0	0.0	325.4	141.48	74.5	172.86	105.75	89.39	93.92	125.66	119.9	185.16	100.26
Cep350	0.0	0.0	10.04	5.77	0.14	17.81	2.1	0.94	1.78	0.0	2.31	0.2	13.1
Cln3	0.0	0.0	0.0	16.85	0.0	58.68	10.43	0.0	29.57	0.0	18.68	21.38	18.89
Cwc27	0.0	0.0	67.65	11.27	0.0	138.2	68.55	55.74	36.91	48.82	6.07	40.92	47.52
Dctn6	0.0	0.0	704.86	227.62	368.66	468.08	248.1	304.84	356.39	150.82	289.05	260.09	223.96
Endod1	0.0	0.0	35.84	47.45	22.16	120.44	76.93	57.23	105.25	96.7	89.99	75.98	151.41
Fn3k	0.0	0.0	329.99	253.5	0.0	163.95	86.42	126.19	30.69	27.71	110.73	44.3	53.12
Fstl1	0.0	0.0	69.86	42.81	0.0	28.17	23.09	100.48	30.17	36.37	79.7	92.29	48.05
Gmpr	0.0	0.0	98.86	80.03	38.53	198.96	39.49	24.87	108.69	58.51	1.76	166.99	57.98
Ldhb	3732.24	4948.76	10118.08	10894.4	8620.64	6372.23	10165.1	11261.44	13571.31	12546.17	11010.48	10182.84	11746.38
Luzp1	0.0	0.0	35.96	26.74	16.11	43.33	21.09	7.05	35.59	4.7	52.09	41.44	13.01
Mrps11	0.0	0.0	213.94	154.27	13.99	302.11	170.87	127.37	255.63	114.39	296.14	172.36	129.45
Mtg1	0.53	0.0	82.12	70.59	0.0	84.87	38.86	40.82	40.86	0.0	86.87	0.0	0.0
Nck2	0.6	0.0	59.82	31.85	20.3	37.3	6.08	0.0	27.82	25.16	49.35	29.78	10.51
Ndufa5	847.69	664.73	1561.42	1704.48	1019.94	1709.85	951.19	729.88	1080.06	1032.27	1346.64	1033.04	945.99
Ndufb5	0.0	273.64	1556.98	1450.91	946.68	1412.64	1348.47	1158.86	1871.88	1055.35	699.73	1029.66	1187.23
Ppp1r2	0.0	0.1	70.4	14.68	0.0	59.93	55.39	0.27	15.06	3.48	7.63	22.24	4.23
Rab3b	0.0	0.0	1070.46	207.07	336.03	1123.69	0.0	148.25	165.05	538.83	0.0	138.54	59.94
Rabac1	0.0	0.0	58.45	149.95	170.21	335.51	295.35	224.52	160.18	208.4	171.78	199.13	463.55
Rangap1	1.92	0.38	55.2	0.36	60.61	68.68	54.33	20.97	19.4	26.23	14.22	70.59	16.44
Rfc4	0.0	0.0	71.95	0.0	0.0	123.22	0.0	0.0	0.0	0.0	0.45	0.0	46.68
Rpl27	1.2	209.75	527.42	593.56	243.67	502.44	354.99	338.21	400.75	310.14	230.83	392.87	266.49
Rps24	0.0	0.0	341.97	309.78	163.22	392.15	111.49	309.86	164.93	239.79	340.07	482.9	173.06
Rps28	258.55	0.0	753.94	423.42	309.29	472.43	346.22	410.49	373.62	410.39	504.22	261.13	276.79
Rpsa	0.45	0.0	349.42	417.07	56.65	491.38	141.67	460.53	307.99	82.7	97.48	389.26	188.32
Sim1	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.06	0.11	0.0	0.07	0.06	0.0
Slc25a46	24.18	0.0	22.04	26.75	0.29	51.64	47.69	6.05	95.56	20.12	22.77	28.1	5.19
Slc32a1	0.0	0.0	9.4	13.95	11.64	20.76	9.48	1.86	9.9	10.62	5.02	20.12	18.78
Timm17b	3.35	3.6	53.18	92.04	42.63	162.04	45.31	140.0	41.84	30.44	4.98	4.2	1.57
Tomm34	0.0	0.0	94.4	195.49	17.6	181.14	62.04	25.21	158.8	33.51	104.49	111.98	93.84
Tomm7	0.0	0.0	367.64	243.18	100.14	200.73	195.2	130.83	159.61	187.75	142.02	137.14	119.98
Trp53inp2	0.0	0.0	29.36	4.23	0.0	53.63	0.0	0.0	0.14	4.09	13.76	0.0	0.93
mt_AK141672	188.01	87.37	228.84	483.33	143.89	246.25	192.13	199.67	165.07	207.24	264.87	226.4	164.71
