	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_119	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_74	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_62	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_42	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_64
100043387	26.82	43.54	36.74	49.47	46.14	0.0	51.16	5.52	74.71	27.86	0.0	0.0	12.64	0.0	84.99	0.0	56.59	0.0	5.21	45.94	37.51	53.89	29.37	12.06	58.53	0.0
1500009C09Rik	0.0	0.0	0.0	0.0	9.74	0.0	0.0	59.37	18.63	0.0	0.0	0.0	81.03	65.17	4.28	0.0	0.0	0.0	0.89	0.46	0.55	27.92	9.19	0.0	0.0	12.08
2310003L22Rik	113.1	84.29	0.0	141.63	0.08	0.0	0.0	116.1	39.76	35.3	0.0	0.0	124.83	88.75	95.16	0.0	66.62	0.0	0.3	42.35	2.76	30.63	56.77	110.14	54.86	0.0
2410017I17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2610034B18Rik	30.7	0.0	0.0	0.0	0.05	0.0	0.0	0.0	9.66	0.0	0.0	0.0	52.45	78.03	58.2	0.14	0.0	0.0	0.0	1.61	0.0	10.7	0.0	56.23	0.0	17.2
2700007P21Rik	489.78	268.33	117.07	312.07	64.71	0.0	41.3	179.21	314.32	137.69	0.0	511.43	352.26	321.54	190.16	0.11	136.58	78.86	164.95	108.99	226.06	156.9	131.05	228.29	199.99	142.18
4833428L15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930565A17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930573O16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933413L06Rik	77.38	61.58	3.21	53.87	5.12	0.0	13.91	1.04	97.34	3.49	5.21	0.0	75.58	58.9	100.21	1.3	4.64	6.05	14.5	6.36	31.33	7.02	2.47	92.91	13.02	2.87
