	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_38	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110059E24Rik	0.0	106.9	3.52	4.58	0.0	0.3	279.32	187.89	0.0	0.0	468.77	0.0	82.31	93.41	89.55
1300002E11Rik	18.37	0.12	0.0	0.13	0.11	0.0	0.05	0.06	0.0	0.48	497.92	0.27	21.27	17.57	19.43
1500010J02Rik	0.0	0.02	0.0	0.0	0.0	3.16	0.31	0.0	0.0	0.0	65.38	3.86	2.5	4.92	4.73
2010109K11Rik	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.59	0.09	1.71	2.14	2.16
4921530L18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.97	0.0	0.0	0.0	0.0
4930448H16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5	0.0	0.0	0.0	0.0
4930471M23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.73	0.0	24.72	31.03	39.11
4930506M07Rik	0.0	5.06	3.06	0.89	0.0	0.0	1.07	0.0	0.0	0.0	90.85	2.67	13.93	9.35	7.88
4930588N13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.39	0.0	0.0	0.0	0.0
4930590L20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.92	0.67	5.34	0.0	0.0
4933411G11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0
6330503K22Rik	0.0	0.04	0.0	0.11	85.24	0.08	25.82	0.08	6.9	32.8	68.07	1.42	4.07	6.6	5.91
6530402F18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.7	0.03	0.0	0.0	0.0
