	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80
2010012O05Rik	10.38	10.62	10.8	0.2	166.25	0.64	18.1	124.73	34.39	37.37	37.45	20.41	27.23	99.23	54.14	22.96	46.98	69.66	15.96	21.83	17.75	0.2	0.07	27.17	24.81	32.69	0.41	63.76	12.13	0.56	0.96	0.65	3.34	0.0	0.48	0.13	1.15	0.59	19.73	43.44	26.93	48.07	30.89
A930001A20Rik	4.26	3.61	8.93	1.08	0.0	0.0	6.17	7.17	6.16	6.38	7.63	7.44	4.71	4.45	10.17	4.86	4.08	5.17	8.55	7.53	6.75	9.4	4.47	5.48	7.96	8.24	5.74	4.85	9.03	3.39	0.0	0.0	0.0	0.0	1.63	0.0	3.26	0.94	4.41	6.47	5.84	6.48	8.18
Acox1	67.79	45.19	91.93	0.11	0.0	0.0	42.32	88.79	8.36	81.64	207.58	9.72	71.34	74.67	50.47	90.55	61.11	35.1	59.44	35.81	123.61	11.74	0.23	3.29	80.03	45.9	13.0	47.76	38.86	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	78.53	21.97	133.84	43.7	33.18
Amd1	36.83	10.0	28.91	0.0	0.0	0.0	25.54	34.4	1.34	2.87	31.1	17.6	16.81	34.58	0.0	33.36	1.89	38.75	0.0	38.73	101.85	46.33	3.57	80.12	58.56	0.0	57.97	11.48	17.41	8.86	0.0	13.65	0.0	0.0	0.0	0.0	0.0	0.0	0.8	49.66	36.02	15.94	0.0
Atp6v1b2	350.58	509.13	417.12	0.0	0.0	0.0	663.64	497.52	315.73	562.46	615.5	420.76	654.11	590.24	508.46	743.32	495.1	527.96	232.22	227.33	333.46	498.03	228.66	497.39	533.07	508.63	526.15	221.99	451.98	0.0	0.0	0.13	0.0	0.0	0.0	0.25	0.0	0.0	407.29	392.39	583.77	614.55	249.88
BC024659	130.3	89.92	96.65	0.1	0.0	0.0	341.89	266.42	182.54	266.89	294.57	203.46	192.72	168.99	186.19	58.01	234.19	205.97	112.43	91.0	232.49	177.92	0.0	81.46	290.61	65.35	261.63	147.14	338.93	0.0	0.0	0.08	0.0	0.21	0.0	0.0	0.14	0.0	118.18	145.25	232.38	328.49	186.4
Cct8	560.26	358.27	374.21	12.44	0.0	0.0	890.76	310.89	666.8	406.9	561.93	459.82	613.88	590.18	583.64	690.74	447.19	409.94	283.54	483.36	421.69	410.16	170.07	548.37	355.58	520.97	378.05	520.38	446.53	0.16	0.0	0.44	0.0	0.19	0.0	27.52	14.26	0.0	564.67	563.57	595.34	509.72	720.81
Cetn2	17.77	82.95	154.05	0.0	0.0	0.0	10.54	48.9	146.01	147.98	140.71	139.43	92.47	90.87	38.72	69.67	30.91	113.05	100.76	74.36	134.46	48.92	0.0	52.85	0.0	138.87	0.0	98.97	0.0	0.0	0.0	0.0	45.73	0.0	0.0	0.0	0.0	0.0	10.69	44.67	236.23	0.0	70.66
Ciapin1	12.96	21.06	36.74	0.0	0.0	0.23	75.49	34.99	25.28	90.23	3.14	25.85	48.17	50.48	40.18	42.44	14.95	61.02	21.78	47.94	55.77	67.23	0.05	65.92	59.54	10.13	69.82	6.73	15.39	0.0	0.24	0.09	0.26	0.11	0.0	0.0	0.0	0.0	2.43	39.77	47.64	48.56	84.12
Eif3l	0.68	260.59	67.62	0.0	0.0	0.0	316.58	107.54	2.23	267.62	57.11	8.11	274.34	75.05	149.9	170.46	38.23	216.41	8.75	94.47	286.78	0.0	0.13	82.1	81.54	107.46	148.22	0.0	88.85	0.0	0.0	0.19	32.02	0.0	0.0	0.0	0.0	1.35	64.64	151.46	2.35	281.04	117.48
Etfb	66.17	119.26	126.11	681.79	0.0	0.0	76.98	0.2	0.0	0.0	0.13	67.78	143.41	88.1	35.25	79.17	85.93	69.5	147.95	43.5	121.53	271.58	0.3	71.16	42.06	53.16	78.2	0.0	147.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.25	110.34	36.34	130.56	224.77
Fam195b	68.79	138.88	39.46	0.0	0.0	0.0	116.49	83.52	30.63	263.83	32.32	27.73	134.16	22.47	173.63	69.81	87.75	109.02	11.67	146.26	60.01	55.58	0.0	1.09	12.81	44.57	15.71	0.93	11.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.48	71.67	145.8	47.33	3.11
Fxyd6	1258.92	1315.02	2034.75	0.0	0.0	0.0	1975.2	2025.66	2007.25	2291.2	1368.79	1685.28	2253.15	2060.95	2099.33	2279.12	2422.83	1793.9	2065.79	2354.93	1668.23	1899.8	669.3	2182.04	2023.45	1507.95	1630.87	1572.19	2110.0	0.0	0.0	0.2	0.37	0.0	0.0	0.0	0.0	0.0	1738.28	1934.42	2172.5	2600.93	2351.57
