	Ctgf_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_13	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610008E11Rik	0.0	0.09	0.0	15.25	12.51	15.08
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
AV039307	0.0	0.0	0.0	2.1	1.26	1.32
Arl15	0.0	0.1	0.19	35.8	32.83	31.22
Atp2c2	0.0	0.0	0.0	1.04	0.75	1.26
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Avpr1b	0.0	0.0	0.0	0.16	0.08	0.0
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C430048L16Rik	0.0	2.05	0.0	18.67	14.35	15.51
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1g	0.0	0.05	0.0	33.7	32.27	39.81
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc34	0.0	0.0	0.0	8.39	9.11	9.25
Ccdc62	0.1	0.0	0.0	2.13	2.16	2.32
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cel	0.0	0.0	0.0	0.19	0.14	0.05
Cenpi	0.0	0.0	0.0	0.44	0.38	0.42
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cpne5	0.0	0.09	0.0	52.16	53.1	55.01
Cyb561d1	0.0	0.0	0.0	17.32	16.44	17.0
Cyp3a13	0.0	0.14	0.0	1.27	0.78	0.96
Cyp4f18	0.0	0.0	0.0	0.35	0.28	0.24
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Diras2	0.0	0.19	0.0	212.34	197.14	211.74
Dlgap4	0.0	8.92	0.0	141.07	142.88	143.51
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Eid2b	0.0	0.0	0.0	30.75	29.76	32.85
Erf	0.0	0.0	0.0	38.32	41.49	35.94
Ewsr1	0.0	20.56	40.09	178.58	187.24	182.7
Fabp7	0.0	0.0	0.0	43.5	46.67	62.51
Fam161b	40.14	2.33	2.35	13.0	13.58	13.16
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gcnt7	0.0	0.0	0.0	0.71	0.29	0.61
Gm14431	0.34	0.36	0.0	8.87	7.17	8.34
Gm15348	0.0	0.0	0.0	0.04	0.08	0.06
Gm5567	0.0	0.26	0.0	44.49	38.34	51.32
Gm8898	0.34	0.36	0.0	8.87	7.17	8.34
Golgb1	0.0	6.89	0.0	39.71	32.48	39.69
Hecw1	0.0	33.42	0.0	28.69	23.52	28.92
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpgds	0.17	0.31	0.0	4.78	3.44	5.28
Hs6st1	0.0	0.0	0.0	44.99	46.47	43.97
Hsd17b11	0.0	0.0	0.0	44.69	45.82	43.89
Ighmbp2	0.0	0.0	0.25	6.15	6.87	6.15
Kbtbd11	0.0	0.06	0.0	53.75	58.79	54.92
Kctd15	0.0	0.0	0.0	13.32	14.12	12.61
Kera	0.0	0.0	0.0	0.05	0.05	0.05
L3mbtl3	0.0	0.0	0.0	17.39	15.64	15.93
LOC100861572	0.0	0.0	0.0	2.86	10.78	2.96
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lman2l	0.0	0.0	0.0	38.78	36.32	38.49
Lst1	0.0	0.0	0.0	4.62	4.11	3.45
Lztr1	0.0	75.15	0.0	125.19	126.43	125.91
Map3k15	0.0	0.0	0.0	0.85	1.08	1.14
Mblac2	0.0	0.0	0.0	22.91	22.21	21.07
Mir719	0.0	0.0	0.0	0.0	18.46	2.21
Mlxipl	0.0	0.0	0.17	1.95	2.21	2.11
Mpp7	0.35	0.62	0.12	3.7	3.23	4.27
Mras	0.0	1.16	0.0	136.61	125.31	139.08
Ncf1	0.0	2.13	0.47	9.87	9.09	9.17
Nkd2	0.05	0.0	0.0	3.81	3.14	3.0
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
