	Nos1_tdTpositive_cell_37	Rbp4_tdTpositive_cell_73	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003M07Rik	1.18	1.75	0.81	16.32	15.13	17.66
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930413F20Rik	0.0	0.0	0.0	1.8	1.25	0.71
AU021092	0.0	0.0	0.0	2.7	2.95	3.61
Atg2a	0.0	0.0	0.0	23.55	25.17	24.88
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3galt6	0.0	8.77	0.0	11.71	13.53	14.14
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C5ar1	0.0	0.0	0.0	0.64	0.49	0.41
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd33	0.5	0.68	0.13	5.21	4.81	6.26
Cdk2ap1	0.0	0.0	0.0	115.66	109.8	115.19
Dcaf15	0.0	0.0	0.0	19.57	22.94	23.19
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Frs3	0.0	0.0	0.0	16.84	19.9	17.99
Gm1141	0.0	0.0	0.0	0.18	0.17	0.38
Gpatch3	0.0	0.0	0.0	5.89	7.6	7.1
Gpc5	0.0	0.0	0.0	33.77	35.5	36.48
Gpt	0.0	0.0	0.0	14.83	16.11	14.72
Gucy2f	0.0	0.02	0.0	0.43	0.48	0.49
H2afx	0.0	0.0	0.0	38.02	45.36	44.32
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.26	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.26	0.0	0.0	0.38	0.28	0.38
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsd17b1	0.0	0.0	0.0	0.53	0.79	0.31
Irf5	0.0	0.0	0.0	3.35	4.26	4.01
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Magel2	0.0	0.0	0.0	1.85	2.3	2.15
Map1lc3a	100.92	92.56	15.99	252.6	292.72	275.52
Map4k2	0.63	0.0	0.0	56.75	58.43	62.84
March4	0.63	0.11	0.0	14.39	14.5	14.89
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nog	0.0	0.0	0.0	12.22	13.06	12.79
Pak4	0.0	0.2	0.37	7.83	7.46	8.28
Pdxdc1	5.61	29.14	46.19	77.77	73.56	80.44
Phb2	0.29	6.2	0.46	98.22	102.23	98.96
Plcb2	0.0	0.0	0.0	1.79	1.79	1.67
Rgs9bp	0.07	0.17	0.05	0.23	0.25	0.26
Spata13	0.0	0.0	0.0	5.93	6.29	6.39
Stard10	0.0	0.0	0.0	84.76	84.9	82.82
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem160	0.0	0.0	0.0	41.54	54.71	48.69
Tnks	0.0	0.0	36.11	36.78	34.86	39.29
Ttc12	0.0	0.0	0.0	1.52	1.3	1.45
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	7.49	0.0	18796.57	17507.83	18655.33
