	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_107	Sst_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700016K19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.46	0.0	5.4	6.12	3.98
1700029F12Rik	0.0	0.1	0.0	0.0	0.0	0.0	0.35	0.0	8.69	0.0	0.58	0.11	0.44
2410004P03Rik	0.0	1.09	4.15	0.93	0.49	0.65	0.28	1.26	6.65	3.56	5.25	5.57	6.2
4930558J18Rik	0.34	0.0	0.23	0.0	0.0	0.0	0.14	0.24	0.76	0.0	0.36	0.2	0.47
A730011L01Rik	2.05	2.21	14.09	2.59	0.96	3.46	6.0	2.96	25.4	2.38	18.35	17.54	19.37
Alg14	0.0	0.0	46.57	1.85	35.83	0.32	40.28	98.69	212.77	0.0	17.28	18.07	20.14
C030016D13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.42	0.54	0.31
Calcrl	0.0	0.02	0.05	0.0	0.04	0.02	0.0	0.01	0.27	0.0	4.21	3.24	4.58
Ccl27b	0.0	0.03	0.0	0.77	0.0	1.65	1.9	4.31	51.46	4.89	30.63	28.29	22.96
Cdh1	0.0	0.0	0.0	6.31	0.0	10.62	0.0	0.0	0.13	0.0	1.0	1.45	1.1
Cep63	18.28	0.03	0.0	0.0	0.0	0.21	0.0	0.0	93.16	22.58	20.51	20.14	22.9
Ciz1	27.92	1.81	3.16	0.0	5.91	0.0	0.0	0.0	176.14	0.0	44.04	44.73	46.19
Clic4	0.0	0.0	0.12	0.0	0.21	0.0	31.41	0.0	1.11	0.0	58.45	56.14	59.54
Clptm1l	0.0	0.7	7.13	0.0	54.03	51.94	0.0	0.1	265.25	0.0	102.29	103.13	104.18
Cnot1	0.0	0.31	0.06	13.98	0.15	19.45	25.97	19.83	88.59	1.09	45.11	42.17	44.78
Crebzf	16.06	1.82	8.22	13.07	0.0	0.0	0.7	0.1	38.94	0.0	42.35	43.37	42.94
Ctdspl	15.4	6.33	0.0	1.8	22.22	0.0	15.21	0.37	56.06	0.1	21.42	22.93	24.08
Dcaf12	0.0	0.02	0.43	0.0	0.06	0.72	0.0	17.64	58.01	0.0	39.11	37.92	36.48
Dnajb12	1.56	0.0	0.0	0.18	0.0	0.0	18.0	14.99	150.48	8.87	39.49	40.05	39.97
Exoc3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.46	0.0	3.17	3.26	4.18
Fam193a	1.83	5.14	0.27	17.28	0.0	2.28	0.57	0.0	48.74	8.99	21.4	21.54	21.91
Fip1l1	4.9	64.83	17.26	3.5	0.0	0.0	0.0	17.68	77.66	36.97	42.16	37.99	41.82
Flrt3	26.08	109.61	0.0	17.77	6.97	0.14	185.05	68.65	703.02	0.11	17.7	19.56	20.02
