	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_78	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4932438A13Rik	6.42	20.76	0.0	79.43	0.0	0.0	12.1	4.9	7.87	0.63	0.0	2.57	8.8	3.01	0.76	3.58	7.27	16.09	12.08	31.01	24.84	32.35
Amy2a2	0.3	0.17	0.0	0.6	0.0	0.0	0.13	0.13	0.12	0.1	0.17	0.05	0.0	0.08	0.22	0.02	0.0	0.08	0.12	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.6	0.0	0.0	0.13	0.13	0.12	0.1	0.17	0.05	0.0	0.08	0.22	0.02	0.0	0.08	0.12	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.6	0.0	0.0	0.13	0.13	0.12	0.1	0.17	0.05	0.0	0.08	0.22	0.02	0.0	0.08	0.12	0.26	0.19	0.21
BC018242	27.52	0.0	0.0	153.99	0.0	0.0	0.83	0.03	17.73	1.39	0.19	14.74	0.0	2.24	0.0	2.31	0.0	5.77	0.35	148.85	160.32	156.13
Cacnb4	56.54	107.03	0.0	420.6	0.0	0.0	82.21	79.1	77.74	19.24	34.65	34.53	61.06	91.57	59.97	18.34	31.74	57.11	68.29	106.94	89.5	107.65
Cplx4	0.0	0.0	0.0	0.53	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.15	0.21	0.06
Cttnbp2	0.0	0.0	0.0	122.05	0.0	0.0	1.83	9.85	23.04	7.44	17.56	0.16	7.38	0.65	3.27	2.72	1.3	28.22	8.22	72.45	60.65	64.61
D4Wsu53e	94.17	168.23	0.0	706.48	7.23	0.0	184.04	102.07	296.24	41.58	185.79	67.05	54.67	55.56	60.36	161.94	92.09	155.26	105.21	334.37	366.77	329.81
D6Wsu116e	52.49	20.87	0.0	119.03	0.0	0.0	35.64	28.27	24.77	6.2	0.0	3.8	3.06	26.69	22.56	16.4	10.78	31.29	7.93	69.44	67.4	72.05
Dhx15	44.81	88.88	0.0	253.83	0.0	2.51	67.22	47.16	0.42	0.4	92.41	0.0	0.0	5.53	0.0	46.47	35.14	38.56	43.12	73.12	69.9	69.27
Ell	0.21	0.0	0.0	139.6	0.0	0.0	1.18	0.08	48.41	0.0	0.0	0.0	2.07	0.0	4.39	0.0	0.0	1.07	0.0	17.12	20.55	20.06
Emx2os	0.45	0.38	0.0	2.14	0.07	0.0	0.4	0.27	0.27	0.28	0.21	0.4	0.04	0.67	0.19	0.13	0.1	0.22	0.23	2.09	1.82	2.23
Erv3	0.0	0.2	0.0	0.58	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.2	0.26
Fam171b	18.41	39.85	0.0	350.24	0.0	0.0	48.22	30.25	37.83	0.0	24.21	0.09	1.63	60.34	1.59	10.76	3.89	2.27	34.31	165.86	156.72	169.74
Fam189a1	42.31	28.4	0.0	164.56	0.0	0.0	1.81	4.96	1.1	0.94	25.23	0.0	0.36	1.45	1.18	0.0	1.14	8.06	20.64	47.7	48.05	48.23
Fam92a	43.47	6.34	0.0	143.84	0.0	0.0	23.9	0.49	51.9	1.16	35.12	29.9	0.0	97.16	13.15	22.41	38.15	11.94	0.0	71.59	74.62	71.72
Fbxl17	12.37	7.96	0.03	8.11	0.43	0.0	13.31	3.71	2.51	1.84	3.0	3.14	1.56	2.64	6.96	1.72	2.0	7.31	2.19	19.78	19.13	19.47
Fnbp4	3.52	29.8	0.0	163.29	0.08	0.0	0.04	0.02	11.27	18.49	0.0	22.09	29.38	9.34	18.3	15.62	3.97	0.7	23.43	30.59	31.23	31.74
Ghr	0.0	11.07	0.0	286.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.76	5.47	9.9
