	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_75	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_55	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_164	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_57	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_66	Vip_tdTpositive_cell_55
Alyref	0.0	10.68	10.85	48.16	2.04	1.23	5.11	14.53	67.95	11.96	0.32	47.84	96.25	4.56	5.27	16.08
Astn1	77.8	102.25	1.27	62.93	152.17	1.3	39.68	32.45	74.5	145.78	0.15	0.0	170.82	18.31	6.35	129.66
Ccdc41	0.0	0.0	0.0	1.54	29.25	0.0	8.67	11.95	8.84	2.65	0.0	52.91	38.15	43.08	0.0	0.0
Dhx33	41.34	0.0	0.0	0.0	22.81	0.24	5.71	47.54	0.0	0.0	0.29	67.54	108.25	0.97	20.66	1.27
Galnt11	0.0	2.58	28.85	131.77	4.64	4.75	0.0	2.28	5.25	6.43	4.47	114.63	196.05	1.0	0.69	1.68
Gm14430	0.07	0.0	10.14	26.51	19.54	0.13	1.95	5.23	22.98	11.08	0.07	26.91	40.04	2.35	0.0	23.93
Gm14434	0.07	0.0	10.14	26.51	19.54	0.13	1.95	5.23	22.98	11.08	0.07	26.91	40.04	2.35	0.0	23.93
Gm4724	0.07	0.0	10.14	26.51	19.54	0.13	1.95	5.23	22.98	11.08	0.07	26.91	40.04	2.35	0.0	23.93
Gtpbp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.76	0.0	0.0	74.6	127.92	0.0	0.0	0.0
H2-T3	0.13	0.0	0.0	0.37	0.27	0.0	0.0	0.22	0.38	0.44	0.0	0.76	0.53	0.18	0.0	0.0
Hip1	0.42	0.0	0.07	0.0	7.74	0.0	58.71	24.21	11.39	1.64	6.79	13.54	51.06	0.0	0.0	0.0
Hmgn1	1.93	0.0	0.94	0.0	0.48	0.0	0.0	1.24	3.74	2.51	2.82	111.11	141.65	2.18	223.47	88.67
Ipo11	0.0	0.0	74.27	0.0	2.99	17.59	133.05	53.52	12.83	34.53	0.16	87.39	159.96	40.47	0.0	81.15
Lnp	97.76	37.83	65.67	230.02	73.87	5.76	111.09	166.92	189.65	37.71	0.19	132.43	228.83	67.77	9.34	119.18
Lrrn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.16	0.0	0.0	0.0
Pex19	62.32	50.71	67.84	56.81	219.03	112.36	90.88	94.95	155.21	79.54	0.37	136.79	221.05	138.51	2.77	210.66
Pigt	0.0	0.0	0.0	3.11	1.78	14.86	3.57	16.65	10.15	3.33	0.0	16.47	26.31	0.0	0.0	0.0
Prkdc	0.0	0.0	0.25	0.0	31.37	0.0	0.0	4.09	0.53	0.0	0.0	2.29	2.5	0.0	0.0	0.0
Ptchd2	58.16	0.0	0.12	0.0	47.44	16.12	0.0	0.05	0.0	0.0	0.0	15.88	26.19	0.1	0.0	0.21
Rad9	0.73	0.0	0.0	0.0	0.0	0.0	129.77	37.66	0.7	0.3	0.36	69.66	85.48	0.0	0.0	0.31
Serinc1	2520.7	3615.01	2849.48	3615.51	3432.94	3481.85	4559.03	3139.5	3196.73	2848.21	2716.6	2934.29	2790.47	4108.61	3284.23	4595.7
Slc38a1	34.07	0.17	16.1	53.86	53.71	1.38	6.15	29.7	44.9	28.83	0.05	66.0	113.7	53.79	0.0	0.0
