	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1500002O20Rik	0.0	0.0	32.19	32.27
1600015I10Rik	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700024P03Rik	0.0	0.0	0.21	0.21
1700030L20Rik	0.0	0.0	1.22	1.37
1700061J05Rik	0.0	0.0	0.11	0.11
2310040G24Rik	0.0	0.0	1.19	1.63
4930444M15Rik	0.0	0.0	0.12	0.06
4930528F23Rik	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
4933427E11Rik	0.0	0.0	0.44	0.43
9230104L09Rik	0.0	0.0	0.16	0.16
9230112J17Rik	0.2	0.0	1.39	1.57
9530008L14Rik	0.0	0.0	1.55	1.85
A430033K04Rik	1.45	0.0	16.18	18.65
Aak1	20.12	0.0	77.03	78.8
Abtb1	0.0	0.0	37.55	39.63
Adamdec1	0.0	0.0	0.04	0.04
Aff4	8.05	0.0	66.34	61.93
Agtpbp1	60.72	0.0	116.88	115.49
Akr1c12	0.0	0.0	0.08	0.08
Ankrd17	1.2	0.0	46.12	48.11
Anks6	0.0	0.0	8.63	9.75
Apob	0.0	0.0	0.01	0.01
Capn13	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.03	0.03
Cd300ld	0.0	0.0	0.08	0.34
Ceacam15	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.07	0.07
Cml2	0.0	0.0	0.33	0.68
Cmpk2	0.0	0.0	20.47	19.64
Col9a1	0.0	0.0	0.51	0.47
Cyp3a57	0.0	0.0	0.06	0.06
Ddost	16.57	0.0	90.48	90.61
Dhdds	6.96	0.0	52.04	49.03
Dnajc5b	0.0	0.0	0.11	0.11
F630042J09Rik	0.0	0.0	0.79	0.54
Fam105b	0.0	0.0	18.57	18.82
Fam13b	0.0	0.0	55.64	57.12
Fance	0.0	0.0	14.41	16.58
Fbxo33	18.56	0.0	41.23	34.25
Fmo4	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.02	0.02
Frmd3	0.87	0.0	5.51	5.18
Gab3	0.0	0.0	1.15	1.44
Glipr1l1	0.0	0.0	0.23	0.23
Gm10220	0.0	0.0	0.76	0.75
Gm12633	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.14	0.14
Gm16796	0.0	0.1	1.12	1.28
Gm4745	0.0	0.0	0.08	0.08
Grap2	0.0	0.0	0.23	0.3
Gzma	0.0	0.0	0.12	0.12
H2afy3	0.0	0.0	0.05	0.0
Hal	0.0	0.0	0.04	0.04
Hemgn	0.0	0.0	0.04	0.04
Hs6st1	0.0	0.0	44.99	43.97
Hsh2d	0.0	0.0	0.0	0.25
Irak1bp1	4.43	0.0	24.24	24.23
Kcnn3	0.0	0.0	9.34	8.92
Kcns1	0.0	0.0	14.64	18.42
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Kifc5b	0.0	0.0	2.05	2.15
L2hgdh	0.0	0.0	15.54	15.55
Lect2	0.0	0.0	0.12	0.12
Leprel1	0.0	0.0	3.21	2.91
Lpcat2b	0.0	0.0	0.19	0.19
Ltf	0.0	0.0	0.04	0.04
Mia3	3.12	0.34	45.31	45.1
Mrps2	0.24	0.0	31.24	29.57
Mtif2	8.78	0.0	26.62	25.73
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.07	0.07
Nog	0.0	0.0	12.22	12.79
Nox4	0.0	0.0	0.06	0.06
Nrd1	0.23	0.0	95.97	99.9
Nus1	0.0	0.0	55.9	52.26
Olfr15	0.0	0.0	0.11	0.11
Osbpl3	7.76	0.0	17.31	17.22
Otx2os1	0.0	0.0	0.14	0.14
Paip2b	0.0	0.0	57.15	55.42
Pef1	0.0	0.0	73.29	74.33
Prdm12	0.0	0.0	0.36	0.21
Raet1d	0.0	0.0	0.16	0.16
Rag2	0.0	0.0	0.24	0.29
Rhov	0.0	0.0	9.85	10.85
Rnase13	0.0	0.0	0.17	0.17
Scrn1	123.71	0.0	181.86	170.49
Slc4a1	0.0	0.0	0.02	0.02
Slfnl1	0.0	0.0	0.06	0.06
Tac4	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.12	0.12
Tmem164	0.0	0.0	16.24	16.72
Trdmt1	0.0	0.0	4.27	6.28
Ttll10	0.0	0.0	0.04	0.0
Ugcg	44.08	0.0	61.2	58.66
Usp26	0.0	0.0	0.02	0.02
Vgll3	0.0	0.0	2.13	2.47
Vmn1r210	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.04	0.04
Vps13a	0.08	0.0	19.01	19.0
Yeats4	0.0	0.0	43.51	47.64
Zfp618	0.0	0.09	2.37	2.5
Zfp677	0.0	0.0	1.22	1.78
c5_tRNA-Met	0.0	0.0	2.78	5.74
cm_tRNA-Leu-TTA(m)	14.45	0.0	669.38	764.29
mt_AK131586	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	9032.87	8583.15
