	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_21	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50
4930511M06Rik	96.49	108.53	126.16	44.02	82.59	45.96	65.83	16.95	109.48	123.6	173.22	147.23	91.51	130.7	186.75	70.56	78.7	82.16	186.26	187.38	169.01	17.61	44.14	16.27	25.98	21.51	118.44	61.84	32.42	68.09	145.38	151.44	146.99	93.65	238.19	156.37	160.86	88.29	110.32
9330159F19Rik	41.32	271.48	162.95	104.32	15.64	0.53	0.6	1.1	1.05	10.25	152.52	178.69	0.81	78.57	158.99	69.7	3.84	198.79	161.44	120.76	332.06	0.25	0.35	0.32	0.66	0.1	61.58	0.0	1.06	0.6	92.51	26.0	98.37	258.12	179.5	74.8	390.33	159.87	173.93
Adam22	29.18	15.99	3.48	49.06	17.21	0.0	0.0	0.0	77.73	127.59	160.08	132.82	71.91	117.96	119.18	55.07	173.48	141.19	359.08	141.71	103.88	0.0	0.0	0.0	0.0	0.0	53.37	0.0	0.04	0.0	184.41	128.26	87.98	6.23	189.59	18.65	104.14	50.81	34.18
Amn1	0.0	116.8	709.62	0.0	156.07	0.0	0.0	0.0	270.94	2.5	293.99	0.0	0.4	26.81	0.51	0.0	243.71	0.0	257.12	17.17	292.73	0.0	0.0	0.0	0.0	0.0	517.88	7.56	0.0	0.0	246.22	24.46	0.0	0.4	254.19	10.18	447.45	0.0	489.88
Ankrd17	0.0	0.58	23.18	90.75	0.0	0.0	0.0	0.0	0.0	13.34	24.29	31.06	0.3	2.03	1.8	0.0	108.5	0.0	8.82	58.09	15.07	0.0	0.0	0.0	0.35	0.04	1.41	0.0	0.0	0.0	54.71	0.0	0.04	0.0	5.36	35.4	3.13	1.67	43.48
Ap3b2	65.41	326.05	86.21	0.0	123.54	0.0	0.0	0.24	194.03	0.0	24.97	46.74	251.07	62.98	0.0	0.0	0.07	16.56	7.69	339.13	0.0	0.0	0.12	0.0	0.0	0.0	133.76	0.0	0.0	0.0	251.85	0.0	10.38	156.92	161.7	0.0	0.63	11.69	182.24
Camk2b	94.78	163.05	66.99	70.44	98.93	0.0	0.0	0.0	105.78	9.09	163.11	95.11	36.06	115.65	88.31	14.09	121.91	112.53	84.64	19.01	83.51	0.0	0.0	0.0	0.0	0.0	25.15	0.0	0.0	0.0	12.05	65.57	57.6	0.0	57.25	1.9	49.06	10.31	34.74
Celf4	81.92	195.24	68.91	124.16	21.45	8.15	0.0	1.42	16.04	319.15	304.17	137.55	49.54	371.65	36.77	54.97	83.32	53.48	19.83	161.22	91.6	0.67	14.52	0.2	2.75	3.9	199.81	0.0	0.0	18.79	64.36	31.99	245.95	357.01	319.34	17.13	170.07	48.14	112.28
Cx3cl1	6.28	192.54	182.34	182.61	40.87	0.0	0.0	0.0	136.56	181.98	72.58	134.51	26.68	85.57	118.69	98.18	1.0	204.14	249.77	112.4	3.58	0.0	0.0	0.0	0.0	0.0	176.34	0.0	0.0	0.0	224.26	112.6	24.74	210.25	178.14	21.62	203.63	0.0	207.29
Dnajc18	69.64	35.11	236.07	75.19	72.0	0.07	0.54	2.36	344.32	82.25	398.97	251.61	100.72	267.81	347.69	154.76	285.27	251.26	155.93	18.29	108.86	0.27	80.33	0.0	0.0	0.0	137.96	21.59	0.07	0.0	106.95	277.62	140.51	141.31	147.28	128.76	191.66	3.5	438.29
