	Ndnf_tdTpositive_cell_9	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K19Rik	0.0	0.0	0.0	3.18	3.22	3.51
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
2310022A10Rik	0.0	0.0	0.25	22.18	22.56	25.28
2610002J02Rik	0.0	0.0	0.0	25.55	28.57	26.96
2900006K08Rik	0.0	0.0	0.0	8.31	6.12	7.96
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
Ankrd13c	18.24	2.06	4.5	49.71	50.02	47.1
Anxa11	0.0	2.79	0.0	33.68	32.85	33.53
Ap1s3	2.92	5.13	5.46	10.15	9.11	11.48
Atic	0.0	10.23	0.18	25.94	27.5	26.74
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Btaf1	0.0	0.1	0.11	16.02	14.48	15.6
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chuk	0.13	0.0	1.31	32.04	28.94	31.5
Cir1	0.0	0.0	0.0	32.5	27.05	29.73
Cmklr1	0.0	0.0	0.0	2.46	1.69	2.4
Cox6b2	0.0	0.0	0.0	2.27	4.39	3.32
Dcaf8	0.0	1.61	18.39	104.22	105.32	101.18
Ddx17	0.0	0.88	11.87	373.91	351.03	400.91
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Epha6	0.0	0.0	0.0	21.54	15.15	21.49
Fbxl20	0.0	0.0	0.0	22.62	23.09	23.45
Fbxo45	0.0	0.0	4.95	44.55	43.82	43.94
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Galntl1	0.0	0.0	0.0	87.06	97.14	96.04
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gins1	0.0	0.0	0.0	1.44	2.27	1.49
Gm13547	0.0	0.0	0.0	1.53	1.58	1.37
Gpatch8	0.0	0.96	30.48	38.73	35.19	38.91
Heatr3	0.0	0.19	0.0	27.9	27.54	28.26
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnj10	0.0	0.45	0.25	84.73	76.94	90.56
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lgi3	0.0	0.0	0.0	78.19	93.27	93.65
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lpcat3	0.19	0.0	0.82	16.07	16.23	18.17
Lzts1	0.0	0.0	0.0	42.24	48.57	42.52
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Neurl2	0.0	0.0	0.0	4.16	5.41	7.76
Nin	0.0	0.0	0.0	21.48	21.19	22.87
Nkiras2	0.0	0.0	0.0	9.97	10.93	12.11
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pin1	0.0	22.14	21.16	38.67	41.94	39.78
Pitpnm2	0.0	0.0	0.0	93.46	103.07	106.89
Plekha6	0.0	0.0	0.0	47.56	44.89	49.5
Pogk	0.0	0.09	1.29	26.74	26.23	27.02
Prickle2	0.0	13.14	21.39	85.57	84.5	85.69
Prss30	0.0	0.42	0.32	1.12	1.49	1.09
Pwwp2b	0.0	0.0	0.0	11.19	14.38	11.57
Rae1	0.0	9.87	0.0	42.77	47.4	50.73
Rnf170	0.0	0.15	25.49	27.99	25.56	27.41
Rspo3	0.0	6.85	0.0	11.46	11.97	13.03
Sbk1	0.0	1.32	5.01	50.91	56.15	49.9
Sh3bp1	0.0	0.0	0.0	13.9	14.26	13.38
Slc25a21	0.0	0.0	0.0	0.39	0.35	0.85
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem194	0.0	0.0	0.0	3.2	2.72	3.53
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan5b	0.0	0.0	0.0	0.81	0.74	0.83
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
