	Scnn1a.Tg2_tdTpositive_cell_2	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110002N22Rik	50.05	114.91	0.0	0.0	6.93	6.38	8.2
1700001K23Rik	0.0	0.0	0.0	0.0	0.22	0.2	0.22
3010001F23Rik	0.0	0.0	0.0	0.0	5.16	3.44	3.25
4930404I05Rik	0.0	0.0	0.0	0.0	1.87	1.77	2.35
4930447K03Rik	0.0	0.0	0.0	0.0	0.2	0.28	0.2
4930469G21Rik	1.99	0.0	0.0	0.0	1.49	1.3	1.97
4930511A02Rik	0.0	0.0	0.0	0.0	0.0	0.05	0.06
4931423N10Rik	0.0	0.0	0.0	0.0	0.22	0.2	0.22
4933430H15Rik	0.0	7.66	0.0	0.0	0.38	0.27	0.36
7420701I03Rik	0.0	0.0	0.0	0.0	0.42	0.14	0.0
9430015G10Rik	12.12	0.0	0.0	0.0	17.12	16.84	17.89
Abhd12	111.02	0.0	73.58	80.46	309.4	343.65	332.54
Acad10	0.0	22.34	0.0	0.0	2.44	3.02	2.41
Add2	1.88	0.0	48.92	49.29	117.5	113.28	121.53
Apon	0.0	0.0	0.0	0.0	0.12	0.06	0.06
Arfgef2	4.07	0.0	0.0	0.0	31.51	30.54	31.38
Axl	0.03	0.0	0.0	0.0	23.04	22.35	23.67
Bag4	25.52	29.34	2.76	5.55	40.98	42.74	39.35
Bpifb9a	0.0	0.0	0.0	0.0	0.1	0.05	0.05
C8g	0.0	0.0	0.0	0.0	1.65	1.83	0.7
Calhm1	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn9	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Card9	0.0	0.0	0.0	0.0	1.73	2.45	2.23
Cd24a	1.88	0.0	0.0	0.0	9.52	10.67	10.57
Ces1a	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ckap2l	0.0	0.0	0.0	0.0	0.57	0.77	0.84
Clcn2	1.52	0.0	0.0	0.0	45.55	48.57	47.78
Cnot8	70.87	0.48	35.68	17.0	59.0	61.45	53.31
Col20a1	0.0	0.0	0.0	0.0	3.0	2.56	3.07
Cspg5	8.44	4.55	10.44	10.58	163.54	180.07	172.69
D6Mm5e	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dcbld1	0.0	0.0	0.0	0.0	8.99	9.39	8.51
Dlx3	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Dok6	0.0	0.0	0.0	0.0	29.84	19.89	33.11
Dyrk1b	0.21	0.0	0.0	0.0	31.4	31.23	33.79
Dyrk4	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Eci2	0.0	0.0	106.8	121.88	43.18	41.83	35.75
Eftud2	50.02	0.0	0.0	25.93	79.12	82.12	77.62
