	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_68	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700048O20Rik	2.17	2.95	2.34	0.53	0.0	4.67	9.51	3.76	6.87	14.26	1.63	1.97	15.02	3.33	1.1	0.34	1.05	0.6	1.14	3.21	1.96	6.92	3.36	3.56	2.61	117.07	1.18	13.05	3.15	153.57	45.88	2.89	10.42	15.53	10.96	12.22
1700091E21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.0	0.0	0.48	1.55	0.88	1.12
1810010H24Rik	0.0	0.0	0.0	59.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92	0.0	0.0	0.0	0.0	113.67	0.0	119.91	0.0	0.0	5.61	3.76	5.37	5.01
2010320M18Rik	86.84	0.52	4.3	107.52	0.0	0.0	0.0	0.0	41.78	0.0	0.0	5.23	0.0	23.76	50.84	36.86	0.0	60.29	0.0	0.0	42.65	2.45	2.95	0.23	97.33	27.38	0.0	0.0	0.0	128.09	65.67	0.0	25.53	11.14	12.69	13.62
2510012J08Rik	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	0.0	0.0	0.09	0.0	0.2	0.0	32.72	0.0	12.67	0.77	24.34	28.62	27.12
2610029G23Rik	10.69	6.41	0.0	21.3	0.0	33.83	51.59	0.99	12.36	0.38	25.75	0.43	0.0	35.77	1.02	0.56	0.37	6.66	35.0	25.73	6.32	43.43	39.88	31.85	20.1	35.8	18.34	35.78	9.85	122.96	14.72	0.0	37.06	12.18	8.27	10.0
2610318N02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.01	11.5	0.0	1.59	0.0	7.36	0.0	0.0	0.0	90.49	45.18	0.0	0.24	0.87	1.27	1.31
4933407P14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.11	0.0	0.0	0.0	0.04	0.0	0.0
5031434C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.05	0.04	0.0
A730098P11Rik	0.24	0.0	0.19	0.17	0.23	0.17	0.18	0.28	0.11	0.0	0.7	0.15	0.36	0.06	0.34	0.21	0.54	0.25	0.29	0.14	0.19	0.12	0.54	0.3	0.37	0.39	0.22	0.0	0.27	50.25	0.36	0.0	0.25	0.34	0.42	0.31
Abcd4	0.62	0.16	0.82	0.14	0.44	0.76	32.2	0.34	33.04	1.58	0.3	1.24	59.86	0.4	0.52	0.38	0.61	0.54	0.66	0.43	0.15	42.4	11.47	0.47	6.45	0.32	0.01	88.52	0.7	103.81	2.87	9.55	5.08	10.68	13.07	12.71
Acsl3	9.37	0.86	10.71	12.15	0.0	45.6	56.43	12.18	0.48	0.0	0.0	0.0	7.29	35.15	0.0	1.54	0.0	0.42	0.0	0.0	43.21	0.0	24.24	42.25	20.61	45.52	29.84	0.14	3.99	82.62	36.53	36.14	22.86	117.99	116.61	122.9
Adat1	0.0	17.03	0.0	0.04	0.0	0.18	0.5	0.0	0.0	0.0	0.47	0.0	0.0	0.21	0.0	0.08	0.14	0.24	0.01	0.0	0.0	0.16	4.77	0.19	0.23	0.0	0.0	0.19	0.0	71.35	0.0	0.0	4.6	6.06	6.33	6.29
Afg3l1	0.29	0.09	1.68	0.16	0.1	28.95	0.14	0.08	0.35	0.0	0.57	0.19	0.0	0.24	0.1	21.33	0.0	17.18	1.73	0.27	0.06	0.1	0.78	0.37	0.07	0.04	7.09	0.13	0.45	80.4	9.37	0.23	2.85	18.03	20.86	20.21
