	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310015A10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	32.52	0.0	0.0	0.0	0.45	0.07	0.0	0.0	0.0	0.0	0.0	5.08	5.31	6.73
4930570G19Rik	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.16	0.0	1.21	0.0	108.0	0.0	0.0	1.98	0.14	0.0	0.0	0.0	6.32	0.0	0.0	15.12	13.62	16.74
6430411K18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.63	4.04	0.0	112.4	0.0	0.0	0.0	15.1	0.0	0.0	49.19	0.18	0.0	0.0	7.85	6.91	5.85
A630007B06Rik	17.87	0.0	0.0	0.0	0.0	0.0	0.0	26.98	0.0	38.73	2.37	4.37	0.0	94.67	0.0	2.98	21.63	12.31	7.44	13.38	2.98	3.39	5.79	0.0	22.89	20.11	23.41
Acot7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.61	0.47	233.82	612.71	296.84	7.88	2680.05	617.5	478.45	419.52	758.21	474.31	980.67	544.58	128.28	661.52	0.0	301.43	328.61	320.53
Bms1	0.0	0.0	24.25	0.0	0.0	0.0	0.0	0.13	0.0	0.0	3.47	2.63	0.0	36.13	1.34	5.9	2.32	4.89	0.0	0.0	10.73	7.48	0.06	0.0	24.07	23.02	22.15
Camk2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.08	84.25	70.6	64.79	1.84	25.12	4.34	34.36	11.38	32.18	46.42	18.9	36.74	7.01	4.45	0.0	532.26	557.69	545.35
Ccdc136	0.0	0.0	0.0	14.45	0.0	0.0	0.0	53.16	0.0	13.5	0.48	1.0	0.98	55.91	28.36	54.93	2.22	5.2	46.34	11.72	6.5	36.06	55.28	0.0	43.78	44.7	42.68
Ccdc93	0.0	0.0	0.0	0.06	0.0	62.79	0.0	4.32	0.02	0.2	0.0	6.22	0.0	28.4	0.0	9.66	0.13	0.96	10.18	0.0	0.0	24.65	0.07	0.0	14.44	12.57	13.91
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	0.0	22.96	19.89	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	30.63	28.29	22.96
Celsr2	0.0	0.0	0.0	0.0	0.0	0.0	0.08	9.22	0.03	21.02	2.9	4.4	0.1	29.8	0.96	21.14	4.34	18.79	3.13	9.61	15.41	2.18	6.18	0.0	73.45	73.3	82.99
Cep350	4.06	0.0	4.67	0.0	0.0	0.0	0.0	0.13	1.82	5.01	0.13	0.7	0.0	28.38	0.0	10.64	0.56	4.33	0.03	0.24	4.58	0.0	0.0	0.0	14.35	12.47	14.36
Cldn12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.15	66.07	0.18	0.29	125.9	0.0	0.0	5.46	12.28	0.0	0.87	0.0	0.06	0.21	0.0	35.41	35.63	32.0
Cnnm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	32.7	1.47	12.91	0.0	115.52	37.94	38.74	8.9	28.99	49.57	35.02	42.99	27.64	74.03	0.0	63.15	65.54	67.49
Dcp2	0.32	0.42	0.05	0.48	0.0	0.05	0.48	0.23	0.02	0.0	0.09	0.1	1.69	25.77	0.15	8.71	2.46	5.09	7.58	13.69	0.18	0.07	33.45	0.26	28.37	25.38	28.36
Dhx57	0.0	0.0	0.0	0.0	0.0	103.26	0.0	0.0	0.0	12.63	0.0	2.72	0.0	30.33	0.07	0.55	2.78	7.11	33.69	0.71	0.99	0.0	0.0	1.03	29.97	28.8	29.34
Dnajc17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.29	0.0	0.0	0.0	92.5	0.0	0.0	0.0	9.98	0.36	0.0	0.0	0.0	0.0	0.0	13.66	15.33	15.83
Elk1	2.95	6.04	9.92	4.56	0.0	5.81	1.25	5.76	2.99	19.12	5.36	7.94	14.63	46.98	8.49	0.74	0.0	13.52	2.15	1.26	4.35	3.18	3.4	4.98	51.78	51.99	55.21
Elmod2	0.0	0.0	0.0	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.44	35.41	0.0	0.0	0.6	4.18	0.0	0.0	0.0	0.0	0.05	0.0	10.46	10.04	8.75
Erp29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.42	0.0	3.81	198.28	5.86	0.87	176.45	122.53	52.69	10.62	88.73	0.0	111.56	14.91	0.75	0.21	8.43	93.46	105.91	103.56
Gas8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.83	0.0	106.21	0.0	0.0	1.15	5.31	0.43	0.0	0.74	0.27	0.16	0.0	20.85	22.32	20.0
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	0.0	22.96	19.89	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.04	0.0	1.53	0.0	0.06	0.0	5.63	0.73	7.21	0.06	28.02	1.12	6.5	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.0	7.67	5.07	7.49
Gm14431	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.71	42.61	1.43	2.99	0.37	1.99	4.64	1.83	0.44	2.05	0.11	0.53	5.21	0.37	0.4	0.0	8.87	7.17	8.34
Gm14434	0.0	0.0	0.0	0.04	0.0	1.53	0.0	0.06	0.0	5.63	0.73	7.21	0.06	28.02	1.12	6.5	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.0	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.81	0.0	22.96	19.89	11.75	29.61	11.59	0.69	1.74	0.85	0.0	0.0	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.04	0.0	1.53	0.0	0.06	0.0	5.63	0.73	7.21	0.06	28.02	1.12	6.5	0.0	3.4	0.0	12.07	23.92	6.94	0.0	0.0	7.67	5.07	7.49
