	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTnegative_cell_10	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
1110018G07Rik	0.0	1.73	3.94	0.0	8.44	0.0	0.0	5.57	33.0	0.0	52.76	0.0	33.15	50.12	30.62	27.31	16.68	8.6	20.04	155.89	0.0	7.72	0.44	1.44	37.08	100.67
1520402A15Rik	0.0	0.12	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	133.03	0.0	0.25	21.25	25.5	12.08	9.41	26.71	0.0	0.0	0.0	0.0	4.47	0.0	0.0	0.0
4930539N22Rik	0.0	2.87	0.49	8.41	93.78	0.0	37.68	53.67	0.0	0.0	0.0	0.0	12.97	5.5	7.46	5.84	3.72	15.01	18.59	9.62	7.18	0.0	0.0	0.0	2.31	1.44
9230114K14Rik	0.0	1.86	1.55	0.57	4.06	2.18	17.21	1.75	2.04	1.71	26.3	1.14	9.91	11.2	14.22	14.56	11.55	18.09	3.96	7.25	6.41	2.17	1.89	3.26	2.06	4.66
Actn1	1.62	3.1	0.05	5.16	56.25	0.0	28.59	9.37	26.02	0.0	54.41	0.0	27.84	44.07	49.85	25.83	31.97	66.19	15.36	2.69	14.78	12.43	15.29	6.91	36.39	27.73
Adora1	0.0	0.0	0.0	0.04	0.0	0.07	142.04	50.24	62.85	0.48	53.18	0.0	84.29	94.07	67.81	81.27	69.26	65.35	0.0	90.76	90.41	0.06	0.96	31.22	44.87	32.49
Arhgap20	0.0	0.03	0.0	0.0	0.0	0.22	0.12	0.05	0.97	0.0	0.0	0.0	9.75	6.61	10.68	5.66	3.92	9.32	12.17	46.13	0.1	0.0	29.93	0.0	29.03	3.79
Arhgap32	0.0	0.37	1.48	0.0	0.14	0.03	41.35	16.02	2.2	0.0	23.84	0.04	32.45	24.92	22.94	29.95	14.7	18.97	8.1	7.54	22.72	22.76	15.64	34.34	0.66	47.41
Arid1b	0.0	2.95	0.08	1.84	6.03	0.0	14.62	1.13	3.4	0.0	4.42	12.13	5.81	6.93	8.74	8.65	5.94	3.88	7.21	2.07	4.52	0.03	11.49	2.98	11.35	23.72
Atg12	0.19	8.76	64.77	0.0	0.0	0.0	0.0	5.51	0.0	0.0	207.86	0.0	114.63	75.58	58.16	63.58	107.7	74.87	197.12	82.26	0.26	0.0	39.95	0.18	26.36	105.41
