	Nr5a1_tdTpositive_cell_16	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_50	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_59
1200014J11Rik	9.26	14.06	47.05	11.85	12.62
1700008O03Rik	0.0	0.0	0.0	0.0	0.48
4930413G21Rik	0.0	0.0	0.0	0.0	0.3
4930512B01Rik	0.0	0.0	0.0	0.0	1.2
9330111N05Rik	0.0	0.0	0.0	0.0	0.3
A830019L24Rik	0.0	0.0	0.0	0.0	1.28
Abcc4	0.0	0.0	0.0	0.0	0.07
Amacr	0.0	0.0	0.0	0.0	0.81
Amt	0.0	0.0	0.0	0.0	4.51
Angptl1	0.0	0.0	0.0	0.0	0.19
Angptl2	0.0	0.0	0.0	0.0	0.12
Ap1g1	0.07	1.1	0.34	3.95	82.49
Armc5	0.0	0.0	0.0	0.0	0.22
Atad2b	0.0	0.0	0.0	0.0	3.24
Axl	0.0	0.0	0.0	0.0	0.09
Azi1	0.0	0.0	0.0	0.0	17.96
BC024139	0.0	0.0	0.0	0.0	0.16
Bmp2k	0.0	0.0	0.0	0.0	0.06
Capn10	0.0	0.0	0.0	0.0	4.77
Caskin1	0.0	0.0	0.0	0.0	23.6
Ccdc34	0.0	0.0	0.0	0.0	24.21
Ccdc84	0.0	0.0	0.0	0.0	70.23
Ccdc88a	0.47	33.63	8.65	7.5	56.67
Cmtm4	0.0	0.0	0.0	0.0	0.48
Crx	8.68	8.92	8.99	6.76	10.26
Ctbp1	0.0	0.0	0.0	0.0	0.18
Cul4a	0.13	19.41	0.0	0.24	42.05
Cxx1b	0.0	0.0	0.0	0.0	49.46
Dchs1	0.0	0.0	0.0	0.0	1.12
Dnahc1	0.0	0.0	0.0	0.0	0.6
Dnajc16	0.0	0.0	0.0	0.0	20.2
Edaradd	0.0	0.0	0.0	0.0	0.06
Fam122a	0.0	0.0	0.0	0.0	37.84
Fbxw17	0.0	0.0	0.0	0.0	0.24
Glyr1	118.23	0.81	273.09	52.13	399.44
Gm10125	0.0	0.0	0.0	0.0	5.06
Gm10509	0.0	0.0	14.67	0.18	104.11
Gm10638	0.0	0.0	0.0	0.0	3.44
Gm10745	0.0	0.0	0.0	0.0	0.28
Gm15706	0.0	0.0	0.0	0.0	0.12
Gm16532	0.0	0.0	0.27	0.0	0.38
Gm4922	0.0	0.0	0.0	0.0	0.18
Gpnmb	0.0	0.0	0.0	0.0	0.76
Gpr165	0.0	0.0	0.0	0.0	0.24
Gpr82	0.0	0.0	0.0	0.0	31.1
Ifrd1	0.0	0.0	0.0	14.46	81.89
Ino80b	0.0	0.0	0.0	0.0	0.83
Inpp5j	0.0	0.0	0.0	0.0	0.96
Kcnc3	0.0	0.0	0.0	0.0	0.49
Klhdc4	0.0	0.0	0.0	0.0	163.52
Lhx6	0.0	0.0	0.0	0.0	0.13
Lmod3	0.0	0.0	0.0	0.0	0.19
Lrch3	0.0	0.0	0.0	0.0	22.55
Med16	9.73	4.65	13.76	4.17	41.54
Mir3473c	0.0	0.0	0.0	0.0	8.02
Mob1a	0.0	0.0	0.0	0.0	0.27
Morc4	0.0	0.0	0.0	0.0	0.81
Mpg	0.0	0.0	0.35	0.32	49.24
Ms4a4c	0.0	0.0	0.0	0.0	0.24
Nanos2	0.0	0.0	0.0	0.0	0.3
Nlrp1b	0.0	0.0	0.0	0.0	0.3
Nsun7	0.0	0.0	0.0	0.0	0.16
Obsl1	0.0	0.0	0.0	0.0	0.07
Odf2l	0.0	0.0	0.0	0.0	104.6
Pak1	2106.77	2599.96	2557.48	2166.98	2101.54
Pax6	0.0	0.0	0.0	0.0	0.81
Pcdha2	0.0	0.0	0.0	0.0	0.36
Pcdhac2	0.0	0.0	0.0	0.0	56.12
Pck1	0.0	0.0	0.0	0.0	0.16
Pdcd2	0.0	0.0	0.0	0.0	15.36
Pecr	0.0	0.0	0.0	0.0	0.72
Pinx1	0.0	0.0	0.0	0.0	41.62
Pmaip1	0.0	0.0	0.0	0.0	0.16
Pole4	0.29	1.63	0.0	0.0	189.19
Rnf149	63.97	78.27	0.0	0.0	68.48
Senp3	0.0	0.0	0.0	0.0	0.19
Sesn3	0.0	0.0	0.0	0.0	0.19
Slc16a9	0.0	0.0	0.0	0.0	0.12
Smarcc2	3.7	0.12	0.0	0.0	56.22
Spag1	0.0	0.17	0.0	0.0	14.06
Styk1	0.0	0.0	0.0	0.0	0.12
Tcp11l1	0.0	0.0	0.0	0.0	0.24
Tctn1	0.0	0.0	0.0	0.0	0.2
Tmem158	0.0	0.0	0.0	0.0	5.11
Tprgl	0.0	0.0	0.0	0.0	108.24
Trappc8	25.75	0.0	0.0	0.0	65.31
Wdr4	0.0	0.0	0.15	0.0	0.43
Yes1	0.0	0.0	0.0	0.0	0.86
Zdhhc14	12.23	0.0	0.0	0.0	67.63
Zfp473	0.0	0.0	0.16	0.0	0.76
c5_5S	0.0	0.0	0.0	0.0	131.84
