	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1190002N15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	108.62	35.48	18.76	0.0	39.0	0.0	192.8	0.0	271.59	0.0	0.0	0.0	0.0	2.4	0.87	3.58	30.92	30.7	33.72
1700113A16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	44.46	98.77	0.0	21.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.64	29.48	26.72	42.6	45.16	38.43
2810055F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.66	65.48	0.0	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	1.03	3.33	2.53	4.22
2900006K08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	16.95	19.26	20.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.41	10.11	6.11	8.31	6.12	7.96
4931406H21Rik	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	10.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.15	0.0	0.03
A230057D06Rik	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.75	85.5	0.0	27.74	0.0	0.92	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	9.76	4.84	7.1	9.49	7.06	9.89
AI836003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.32	127.89	69.61	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.66	6.38	3.74	22.93	25.6	23.89
Adam8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.73	0.0	2.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	1.47	2.17	2.05	2.6	3.49
Adamts1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.73	0.0	0.0	0.0	0.2	0.0	0.0	0.0	17.5	0.0	0.0	0.07	0.0	0.0	0.0	0.14	6.81	6.92	7.5
Aen	0.06	0.0	0.23	0.21	0.0	0.0	0.16	0.0	4.81	66.24	2.74	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.2	0.0	0.0	3.64	8.95	8.9	21.92	19.64	19.63
Amd2	0.0	149.08	18.43	0.0	0.0	0.0	41.99	0.0	54.7	84.27	46.33	0.0	18.54	63.85	0.0	323.3	0.0	3.03	0.0	336.09	107.09	152.68	42.4	41.15	73.38	116.44	128.88	96.43
Arf2	0.0	4.78	0.0	0.0	0.0	1.53	0.15	0.0	49.65	117.8	39.55	33.62	0.0	0.0	110.29	0.0	0.0	133.07	6.29	0.0	0.0	0.0	47.27	89.74	65.08	40.44	42.98	39.66
BC016423	0.0	0.0	0.0	15.8	0.0	0.14	22.74	32.8	7.34	26.25	1.17	11.0	0.0	10.71	128.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	6.14	6.61	12.72	9.83	12.3
Caskin1	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.41	10.12	3.05	4.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	1.54	2.5	70.15	71.22	75.28
Casp9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.63	15.45	41.46	3.83	0.0	0.0	0.07	130.11	0.0	0.0	0.0	0.0	0.0	0.0	5.25	2.37	3.01	17.48	18.58	17.96
Ccdc117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	8.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	4.14	1.22	16.29	15.62	12.6
Ccdc127	0.7	0.68	63.27	62.36	400.96	41.59	217.96	0.22	51.33	159.21	225.22	46.94	2.88	0.42	3.24	0.69	0.0	2.14	125.0	0.11	0.0	1.05	90.13	63.4	62.3	47.29	46.73	45.61
Cep290	0.0	0.0	0.0	2.7	59.77	0.0	4.58	0.0	17.02	40.65	9.31	9.6	72.66	0.0	41.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2	7.74	6.97	4.92	2.58	5.34
Cnot10	56.07	0.0	44.97	0.0	0.0	0.0	0.13	0.0	36.57	73.11	61.84	31.28	0.0	12.71	0.0	18.29	0.19	408.97	0.0	0.0	398.49	0.0	17.67	12.78	18.24	44.87	47.98	44.11
Efr3b	0.04	0.13	0.0	0.0	0.04	0.09	0.24	0.06	27.76	30.29	7.71	11.15	0.42	0.08	0.17	0.0	0.03	0.61	0.65	0.18	0.0	0.0	21.16	18.25	22.17	94.67	93.25	100.15
Elmod1	0.06	0.0	0.0	0.0	0.0	0.22	0.0	0.0	45.44	69.55	86.6	43.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.23	26.64	26.02	230.43	232.42	217.1
Epb4.9	0.54	0.0	0.0	0.24	0.3	1.02	1.15	0.45	54.54	71.51	57.65	49.74	0.9	0.09	0.69	0.0	0.63	0.19	0.0	1.06	0.18	0.41	42.33	57.55	61.62	204.98	211.43	207.52
Fam126b	0.0	0.0	66.96	0.06	0.57	0.46	0.0	0.88	111.59	61.74	35.83	59.54	0.22	0.06	0.17	0.0	0.56	0.24	0.05	0.22	0.0	51.98	52.69	27.49	30.92	38.93	31.56	36.99
Fam171a2	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	1.64	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.41	0.34	61.62	77.11	71.2
Fstl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.33	70.33	18.7	28.11	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.38	6.11	8.67	13.65	12.27	12.59
Gapdhs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	4.26	3.56	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	7.8	0.0	0.93	1.34	0.77	3.23	2.36	3.14
Gm10485	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.17	0.29	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.07	0.08
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	6.04	40.89	15.88	6.69	0.21	0.03	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	6.04	40.89	15.88	6.69	0.21	0.03	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Gm20199	0.45	1.02	0.19	0.63	2.24	0.14	45.62	1.08	0.67	86.51	0.61	14.83	0.87	0.19	0.75	0.0	190.79	0.2	0.82	0.15	0.09	0.0	10.02	3.3	4.76	0.35	0.31	0.18
Gm4567	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.45	1.85	1.67	1.14	0.0	0.0	0.0	0.0	5.4	0.0	0.0	0.0	0.0	0.0	0.21	0.34	0.5	0.49	0.39	0.14
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	6.04	40.89	15.88	6.69	0.21	0.03	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	5.97	4.22	7.67	5.07	7.49
Gpr137c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26	52.7	0.14	15.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16	2.68	6.98	22.29	21.41	20.62
Gsk3a	0.0	0.0	2.74	0.0	0.0	0.0	0.18	0.0	11.02	27.28	0.0	12.11	4.32	0.0	28.7	0.0	0.0	1.24	0.42	0.0	0.0	1.07	4.97	7.72	11.27	213.06	226.46	219.6
Gtf2ird1	0.0	0.0	0.0	0.0	188.23	0.0	4.36	0.0	0.0	31.02	104.49	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.08	4.93	8.21	19.5	21.47	19.34
Hecw1	0.01	0.0	0.0	0.0	0.0	0.06	0.08	0.0	0.17	12.13	7.02	21.28	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	31.44	25.19	24.18	28.69	23.52	28.92
Herpud2	0.0	0.0	0.0	1.63	131.14	0.0	0.0	0.0	21.58	89.72	0.0	46.02	0.17	83.14	0.0	0.0	0.0	0.0	0.0	208.12	0.13	0.0	52.29	27.09	26.83	46.26	46.54	43.13
Inpp5e	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.06	82.28	15.4	18.74	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.62	14.14	11.5	20.77	20.23	19.18
Kcnj5	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.08	0.27	0.17	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.07	0.53	0.69	0.74
Kcnk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	104.45	115.19	85.82	18.04	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.66	98.11	111.58	100.83	103.26	100.63
Ldlr	4.06	0.0	0.0	0.12	0.0	0.13	0.0	0.0	0.0	0.0	5.35	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.96	1.17	0.99	14.78	14.81	11.86
Lsmd1	0.0	0.0	6.09	0.0	16.24	2.47	1.71	351.73	217.9	355.19	188.79	241.9	0.5	2.16	3.64	0.0	0.0	0.0	134.27	421.49	173.49	0.0	101.9	148.8	154.66	61.55	64.64	58.92
Map3k10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	2.23	0.0	0.0	0.0	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.19	0.66	129.25	141.31	139.52
Mapk1ip1	0.0	0.0	0.0	0.0	0.0	231.98	333.05	0.0	93.92	257.99	52.96	58.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.73	69.39	65.61	48.63	47.13	47.54
Mgea5	0.76	2.09	0.0	0.0	0.0	10.32	0.0	0.0	80.68	144.52	89.88	86.76	0.1	9.56	20.89	0.0	0.0	0.0	2.66	77.73	0.0	0.0	59.76	50.24	41.24	152.39	147.9	149.57
Mrpl16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.58	234.92	109.4	86.7	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.32	42.65	59.61	37.88	40.87	40.3
Mtap9	0.0	0.0	0.0	0.0	0.0	0.18	0.06	0.0	57.42	71.37	62.6	39.1	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	32.48	33.77	64.23	56.71	58.21
Mtf1	0.26	0.0	13.13	0.0	0.0	120.18	8.75	0.88	0.0	16.01	2.65	3.47	20.41	0.0	0.0	23.65	0.0	30.1	0.0	132.9	0.0	54.2	7.21	3.5	3.76	12.1	11.87	10.45
Mycbp2	0.05	0.0	0.11	9.0	0.0	0.3	58.85	0.0	53.52	55.42	31.32	32.59	1.01	0.0	47.8	32.62	0.0	11.62	8.42	84.79	0.0	50.82	43.57	31.33	30.01	86.57	73.79	88.98
Myh10	0.0	0.0	0.0	0.0	0.0	0.07	0.05	0.0	8.97	29.88	61.0	20.89	0.09	0.06	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.64	23.51	21.14	136.61	130.54	138.14
Myo19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.82	36.02	3.83	0.12	0.0	0.0	0.0	0.0	0.18	66.45	0.0	0.0	0.0	1.46	2.04	1.25	7.05	7.18	7.28
Ncam2	0.0	0.0	0.0	0.0	8.81	0.0	3.58	0.0	18.23	27.02	0.0	1.83	0.13	0.0	147.75	0.0	107.01	0.0	0.0	0.0	0.0	0.0	14.76	15.28	14.98	38.46	27.94	42.33
Nfil3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.82	0.0	7.21	0.0	0.0	0.0	0.0	0.0	42.21	0.0	0.0	0.0	0.0	15.1	5.05	8.96	13.09	10.32	9.66
Ninj1	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	37.0	87.93	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	5.64	4.11	21.07	31.23	24.68
Nsmce2	68.28	0.46	65.6	17.78	677.04	147.8	0.0	0.0	96.61	384.32	133.24	97.25	201.34	4.01	698.48	186.02	0.0	0.0	0.0	0.0	0.0	0.0	98.42	112.78	92.29	29.61	29.06	26.73
Nt5dc3	0.8	0.55	2.09	0.67	1.12	3.54	0.52	0.16	20.34	71.8	17.03	9.33	1.94	0.77	0.97	0.6	0.84	0.12	23.33	1.11	0.0	1.95	5.88	5.73	5.33	67.85	65.67	69.07
Nudt19	0.0	0.0	0.0	0.0	247.43	0.0	46.96	0.0	29.62	320.7	158.31	22.43	51.42	0.0	0.0	0.0	0.0	0.0	0.0	61.76	0.0	0.0	22.72	32.34	36.97	58.29	57.88	61.4
Nup160	0.0	0.0	0.0	0.0	0.0	16.38	0.0	0.0	0.0	35.24	16.32	8.74	0.04	0.09	0.0	0.0	0.0	0.0	3.4	0.0	0.0	0.0	6.87	5.75	4.53	7.62	7.26	7.9
Ogt	0.03	0.0	0.0	0.0	216.36	1.6	1.55	0.0	115.99	254.74	37.14	143.91	0.39	0.09	0.95	0.0	0.0	0.0	0.0	51.94	4.34	269.19	108.43	61.16	72.37	186.13	173.01	183.72
Opa3	4.15	0.24	2.57	0.0	0.27	0.29	4.07	0.51	2.39	79.26	3.49	9.42	2.58	0.74	2.09	0.31	21.3	29.8	3.15	3.23	2.37	2.36	6.61	22.77	14.37	39.03	38.32	41.46
Pcdhgc4	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	67.93	28.82	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	4.37	0.0	12.32	12.48	13.58
Peg13	0.0	0.0	0.0	58.8	0.0	0.0	0.0	0.0	83.51	145.38	128.56	46.33	0.05	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.43	83.59	76.33	183.32	183.44	176.4
Peg3	0.0	0.0	0.0	0.0	0.0	0.26	3.81	0.0	29.77	90.77	57.29	24.89	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.31	11.43	9.97	126.23	106.05	122.89
Peg3as	0.0	0.0	0.0	0.0	0.0	0.0	11.76	0.0	0.0	303.78	161.15	86.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.45	28.2	36.76	14.48	19.41	10.23
Pitpnm1	0.0	0.0	0.0	0.0	0.0	3.39	0.19	0.0	1.89	25.16	46.61	3.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	2.34	4.3	108.79	116.33	110.85
Pogk	0.0	0.0	0.0	0.0	0.0	34.06	0.0	0.0	0.11	60.44	25.41	2.14	0.0	0.0	7.02	0.19	0.0	0.43	0.0	250.11	3.8	0.11	1.97	2.46	1.95	26.74	26.23	27.02
Ppp2r2c	8.42	0.0	0.0	0.0	0.0	88.33	0.2	0.0	11.43	72.28	10.34	21.56	1.19	0.0	0.0	0.0	102.04	103.07	223.91	0.0	0.0	0.0	58.28	60.62	60.51	446.28	420.01	458.99
Prkce	0.05	0.01	0.1	0.18	0.09	0.28	0.52	0.0	33.56	92.7	81.95	40.15	0.26	0.07	0.14	0.0	0.09	0.0	0.0	0.13	0.0	0.0	119.61	90.9	95.23	203.76	201.38	207.81
Prm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prrc2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.84	3.05	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.16	0.55	1.3	151.78	159.49	169.12
Reps2	0.0	0.0	0.0	0.13	0.0	0.25	0.1	0.0	76.23	77.45	24.78	33.62	0.03	0.01	0.23	0.0	0.0	0.0	0.0	0.39	0.0	0.0	19.05	17.02	20.39	91.08	77.05	87.88
Rev3l	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	26.33	4.13	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81	4.86	5.58	12.69	10.66	14.48
