	Calb2_tdTpositive_cell_28	Ntsr1_tdTnegative_cell_10	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.16	0.16
1700034F02Rik	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.11	0.11
2310043L19Rik	0.0	0.0	0.15	0.15
2310065F04Rik	0.0	0.0	0.07	0.07
4833403I15Rik	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.04	0.04
4930528F23Rik	0.0	0.0	0.06	0.06
4930529F24Rik	0.0	0.0	0.11	0.11
4930544D05Rik	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.08	0.08
4931423N10Rik	0.0	0.0	0.22	0.22
5830403M04Rik	0.0	0.0	0.16	0.16
5830411N06Rik	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.16	0.16
A4gnt	0.0	0.0	0.07	0.07
A930004D18Rik	0.0	0.0	3.04	3.04
Abca13	0.0	0.0	0.03	0.03
Abhd16b	0.0	0.0	0.06	0.06
Actn3	0.0	0.0	0.76	0.76
Adamdec1	0.0	0.0	0.04	0.04
Adamts12	0.0	0.0	0.19	0.19
Akr1c12	0.0	0.0	0.08	0.08
Angpt1	0.0	0.0	4.05	4.05
Ankrd52	0.0	0.0	39.4	40.22
Anxa9	0.0	0.0	1.33	1.33
Ap2a1	0.0	0.0	210.18	220.98
Apob	0.0	0.0	0.01	0.01
B230119M05Rik	0.0	0.0	0.21	0.21
B230206H07Rik	0.44	0.8	2.4	4.05
BC051537	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.04	0.04
Bsnd	0.0	0.0	0.04	0.04
Capn13	0.0	0.0	0.04	0.04
Ccdc154	0.0	0.0	0.04	0.04
Ccr3	0.0	0.0	0.03	0.03
Cd209b	0.0	0.0	0.11	0.11
Ceacam15	0.0	0.0	0.07	0.07
Celsr2	0.0	0.0	73.45	82.99
Clec12b	0.0	0.0	0.07	0.07
Clec2g	0.0	0.59	1.34	1.13
Cpa3	0.0	0.0	0.07	0.07
Cyp3a57	0.0	0.0	0.06	0.06
Defb1	0.0	0.0	0.11	0.11
Dhx58	0.0	0.0	1.52	1.52
Dnajc5b	0.0	0.0	0.11	0.11
Dnmt3l	0.0	0.0	0.12	0.12
Dspp	0.0	0.0	0.11	0.11
Egr3	0.0	0.0	112.58	94.2
F630028O10Rik	0.0	0.0	0.07	0.07
Fam170b	0.0	0.0	0.12	0.12
Fam83b	0.0	0.0	0.06	0.06
Fam83g	0.0	0.0	0.02	0.02
Fam89a	0.0	0.0	2.44	2.44
Fgfr4	0.0	0.0	0.03	0.03
Fmo4	0.0	0.0	0.06	0.06
Fndc3c1	0.0	0.0	0.02	0.02
Fut1	0.0	0.0	0.08	0.08
Fzd2	0.0	0.0	7.59	7.59
Gabrr3	0.0	0.0	0.07	0.07
Gm12633	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.14	0.14
Gm4598	0.0	0.0	0.19	0.19
Gm4745	0.0	0.0	0.08	0.08
Gpc4	0.0	0.0	13.61	13.61
Gpr44	0.0	0.0	0.08	0.08
Gpr65	0.0	0.0	0.15	0.15
Gzma	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.04	0.04
Hoxd8	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.04	0.04
Jph4	0.0	0.0	201.25	201.7
Kctd19	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.04	0.04
Klc2	0.0	0.0	196.16	205.42
Lect2	0.0	0.0	0.12	0.12
Ltbp2	0.0	0.0	0.3	0.3
Ltf	0.0	0.0	0.04	0.04
Mctp2	0.0	0.0	0.73	0.73
Mep1a	0.0	0.0	0.03	0.03
Muc4	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.08	0.08
Ncr1	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.06	0.06
Numbl	0.51	2.23	88.92	88.07
Olfr1420	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.11	0.11
Otop3	0.0	0.0	0.04	0.04
Prps1l1	0.0	0.0	0.06	0.06
Ptx3	0.0	0.0	0.21	0.21
