	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_18	CAV_VISp_Contra_tdTpos_cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810008A18Rik	0.0	0.0	0.0	36.08	36.36	34.22
2210009G21Rik	0.0	0.0	0.0	8.74	7.61	6.82
2310009A05Rik	0.0	0.0	0.0	14.97	19.14	18.33
4933412O06Rik	0.0	0.0	0.0	2.06	2.96	2.96
5031410I06Rik	0.0	0.0	0.0	0.77	0.71	1.06
6720456H20Rik	0.0	0.0	0.0	13.62	11.4	14.39
9530059O14Rik	0.0	0.0	0.0	0.05	0.05	0.15
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Btbd19	2.25	4.3	2.24	7.48	6.56	7.13
C130022K22Rik	0.0	0.0	9.2	24.34	20.79	21.15
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc21	0.0	9.73	7.06	10.12	11.85	11.07
Ccdc57	0.0	0.0	1.13	7.35	8.83	8.33
Ccng2	0.0	0.0	0.0	47.58	48.77	45.6
Cdk1	0.0	0.0	0.0	0.21	0.16	0.25
Cntn2	0.0	0.09	0.0	41.44	42.63	43.21
Dcaf12	0.0	0.0	0.0	39.11	37.92	36.48
Dhps	0.0	0.0	0.0	44.39	45.73	43.52
Dnase1l2	0.0	0.0	0.0	7.71	7.8	4.78
Fam110a	0.0	0.0	0.0	5.02	5.5	6.17
Fam47e	0.0	0.0	0.0	0.58	0.59	0.7
Fam59a	0.0	0.0	0.0	18.62	18.24	21.1
Fancm	0.0	0.25	0.0	6.01	5.06	6.09
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Ggt7	0.0	0.48	17.89	112.55	122.34	119.47
Git1	0.0	0.08	0.0	228.58	244.29	233.42
Gm14137	0.0	0.0	0.0	2.8	2.66	2.95
Grasp	0.48	0.0	0.0	56.53	56.36	55.65
Gse1	0.0	0.18	0.0	24.05	28.04	26.12
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoga1	0.21	0.35	0.0	2.52	1.96	2.21
Med14	0.0	0.18	0.0	40.32	39.32	40.84
Mfsd6	0.71	18.1	0.27	57.73	56.59	56.2
Msl3l2	0.0	0.0	0.0	13.61	15.48	13.81
Mx1	0.0	0.69	0.34	0.71	0.85	0.98
Myo1a	0.0	0.0	0.0	1.09	0.97	0.67
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nudc	0.0	79.29	0.0	159.92	170.84	160.87
Pacsin1	0.0	5.47	49.75	282.11	283.76	304.93
Pdia3	0.0	1.99	0.24	154.5	153.1	147.09
Phf12	0.0	0.07	0.29	34.51	36.87	35.45
Plekha8	0.0	1.02	0.0	8.84	8.58	8.01
Ppip5k2	0.0	0.94	0.45	16.15	13.78	17.06
Rab5c	0.0	1.6	0.0	172.31	181.94	176.72
Recql5	0.0	1.85	0.0	15.6	16.02	16.36
Rfc5	0.0	0.0	0.0	12.53	13.81	12.75
Sema7a	7.79	0.0	0.0	137.6	140.51	143.05
Slc24a6	0.31	0.44	1.16	4.75	5.08	6.09
Solh	0.0	0.0	0.0	29.12	31.21	32.67
Spns2	0.0	11.72	0.0	40.7	41.71	41.05
Srebf1	0.0	0.0	0.0	24.46	27.8	28.11
St8sia5	0.0	0.0	0.0	60.82	59.54	62.73
Tcf3	0.0	0.0	0.0	18.71	22.55	19.67
Ubqln2	0.0	19.58	0.0	164.55	175.3	163.88
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
mt_AK131586	4908.34	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
