	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_117	Scnn1a.Tg3_tdTpositive_cell_110	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_39	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610040J01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.63	0.0	0.0	0.0	0.0	0.0	3.72	4.35	5.98
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700030F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.24	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.26
2210404O07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.69	0.0	0.0	0.0	0.0	0.0	1.81	2.39	1.49
4930548G14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
4931440J10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.24
4933404G15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A330076C08Rik	0.0	0.0	0.27	0.0	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.87	0.63	0.69
Ak3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.23	0.0	0.0	0.0	0.0	0.09	76.83	70.38	72.65
Akr1cl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.08
Arhgap24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.18	0.0	0.0	0.0	0.0	0.0	4.44	4.97	4.42
Atp7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	0.0	0.0	1.15	1.12	1.18
B130006D01Rik	0.0	0.0	0.76	0.21	0.16	0.0	0.0	45.99	0.42	0.08	0.09	0.0	12.4	0.09	0.06	0.21
B930041F14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.19	16.95	0.39	0.0	0.0	2.28	0.0	24.23	28.27	28.31
Bves	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.98	0.0	0.0	0.0	0.0	0.0	2.11	1.75	1.34
C5ar1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.64	0.49	0.41
C630043F03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.2	0.0	0.0	0.0	0.0	0.0	8.71	8.51	9.63
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Ceacam2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.57	0.17	0.72
Celf3	0.0	1.89	0.0	0.0	0.0	0.27	1.62	3.85	0.0	0.0	0.1	0.0	0.44	122.93	132.22	134.16
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chrnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.01
Ckmt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.66	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.14
