	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_1	Pvalb_tdTpositive_cell_1	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_12	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_30	Rbp4_tdTpositive_cell_51
0610007P22Rik	0.0	0.0	123.36	0.0	108.22	0.0	22.92	9.26	71.38	14.56	79.38	95.7	0.0	76.05	22.4	44.52	30.2
0610031J06Rik	0.0	0.16	189.69	0.0	0.0	61.66	76.35	96.19	94.47	48.14	101.79	15.81	0.23	197.55	166.76	109.54	92.73
0610037L13Rik	0.0	0.0	207.41	0.0	39.98	47.3	95.84	17.44	98.71	69.82	130.54	63.92	39.36	109.76	85.87	104.62	96.74
2410017P09Rik	0.0	0.92	24.08	0.17	15.94	0.52	9.26	0.69	9.16	4.22	25.42	36.82	15.83	8.48	9.54	0.41	15.64
2810432L12Rik	0.07	3.85	110.88	2.3	62.39	16.62	170.52	94.38	66.61	114.41	236.6	59.5	0.0	149.68	148.75	49.09	37.88
4933411K20Rik	0.0	0.0	25.72	0.0	15.78	17.39	21.13	2.21	0.0	20.86	36.97	0.37	0.0	19.7	5.59	1.77	0.0
Ank	1.47	0.0	153.27	24.51	1.13	83.68	50.83	84.49	89.15	234.87	94.34	116.63	41.33	136.53	94.53	72.33	122.45
Arl16	1.15	0.84	115.38	0.0	74.9	1.29	5.51	1.97	1.5	19.42	66.82	10.03	1.56	50.32	19.54	1.26	18.62
Atp6v0a1	0.0	11.27	77.73	51.51	45.1	50.25	68.16	61.86	60.71	153.08	74.61	58.08	12.62	179.57	69.29	138.42	58.55
BC057079	0.0	0.0	49.13	0.0	0.0	0.47	0.81	2.03	0.7	0.26	6.09	2.89	0.7	4.81	9.55	2.85	10.62
Ciao1	0.0	114.56	59.51	0.2	0.0	22.48	73.56	2.68	100.38	63.52	55.15	59.85	0.0	62.42	97.33	55.64	74.48
Crls1	0.0	0.0	122.16	0.0	14.75	0.0	46.33	26.0	14.25	33.25	17.49	50.29	0.0	21.35	9.56	43.29	0.74
Dnajb2	0.0	0.0	45.99	0.0	0.0	0.0	10.26	3.47	4.3	21.09	7.16	8.12	0.0	32.71	12.17	0.57	0.11
Dpcd	0.0	137.56	166.37	0.0	124.55	145.17	82.43	102.23	46.48	93.71	105.01	102.67	0.0	161.41	71.42	11.82	56.99
Ech1	0.0	0.0	177.39	0.0	149.56	0.87	166.9	160.79	232.02	136.3	371.46	99.69	26.13	91.02	85.61	190.5	0.0
Jak1	0.0	0.05	109.22	12.23	29.8	14.64	59.53	7.71	53.01	110.94	28.17	77.95	9.09	50.52	62.94	28.42	92.84
Krr1	1.06	1.05	49.26	3.11	0.24	1.13	21.52	29.27	112.54	24.53	85.48	18.7	5.39	15.39	20.68	15.46	82.67
Ldhb	6291.4	8970.97	6119.64	5345.27	10118.08	10894.4	9220.91	9602.81	11261.44	10004.69	6266.59	13571.31	4358.85	12546.17	8513.41	11010.48	11746.38
March6	0.14	8.82	29.2	0.0	85.72	1.59	27.66	32.48	0.24	26.75	62.83	1.41	1.63	16.15	16.24	5.13	2.28
Mlf2	0.0	17.01	154.26	0.0	6.15	6.87	101.4	27.07	125.99	105.8	5.3	45.75	1.83	39.55	56.45	30.98	38.38
Mrpl52	8.85	0.0	150.46	0.0	0.69	0.0	52.51	30.38	37.05	40.78	104.37	140.48	5.68	47.32	75.96	0.0	81.74
Msh2	0.0	0.0	0.0	0.0	0.08	1.09	19.6	51.21	81.78	0.5	21.81	5.68	0.0	38.14	35.26	1.58	0.0
Nefm	0.0	0.0	8.29	0.0	3.53	8.26	46.99	38.78	0.92	23.95	51.64	111.19	0.0	43.83	45.67	42.94	13.45
Nol10	0.36	1.26	132.21	0.95	6.58	0.31	41.07	0.65	19.69	54.87	89.09	32.79	2.52	28.95	3.42	58.59	46.49
Prkcsh	0.0	0.0	133.59	0.0	21.51	0.0	14.77	1.62	12.43	41.56	38.11	67.24	0.17	5.78	53.31	3.27	6.97
Rbm41	0.3	0.18	0.76	0.13	18.97	0.21	8.19	10.13	0.59	29.06	19.51	17.81	0.74	16.32	14.61	0.3	2.13
Sema3a	0.12	0.09	0.16	0.0	119.97	0.0	124.77	14.5	0.34	13.6	40.37	0.14	0.0	0.14	49.51	0.17	0.13
Slc2a4rg-ps	0.07	0.0	57.59	0.0	0.0	15.5	0.0	0.15	0.12	50.17	32.6	0.19	0.0	47.38	8.52	78.43	48.83
Srp54b	7.63	5.55	183.71	0.59	71.18	51.61	80.5	110.88	19.43	75.74	143.9	75.29	46.44	46.38	73.58	164.26	155.06
Tbp	0.0	0.0	160.45	0.0	37.01	0.0	99.71	100.88	0.0	46.31	234.98	49.99	0.0	37.64	88.05	90.53	22.5
Tgfb3	0.0	0.0	110.3	0.0	0.07	0.0	1.16	0.13	0.09	1.81	93.01	9.24	0.0	107.2	0.14	0.0	0.23
