	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_12	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_8	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_8	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54
0610009O20Rik	0.7	48.11	0.0	0.17	0.09	0.0	84.8	0.54	91.53	400.68	67.59	0.14	29.06	24.44	0.49	0.18	0.0	0.0	7.79	0.0	0.28	0.13	0.0	1.21	0.0	728.41	0.0	35.29	0.25	0.0	0.21	137.53	0.0	0.69	0.0
Ankhd1	34.43	12.29	150.8	0.0	0.0	0.0	1.47	0.16	68.44	0.07	41.69	30.36	29.93	16.61	0.0	8.92	38.72	1.65	86.03	4.42	8.8	11.01	366.98	0.15	78.73	0.0	0.0	11.29	0.0	0.0	0.0	74.43	0.04	0.05	0.06
Ap3m2	335.15	67.81	0.0	0.0	0.0	0.0	4.27	138.3	163.29	0.7	165.34	148.1	157.46	167.99	103.27	23.02	268.5	54.08	81.93	43.13	128.13	59.42	0.0	0.0	0.64	0.0	0.0	0.51	0.0	0.14	226.66	217.02	0.52	0.12	0.31
Atl1	289.85	295.71	0.0	0.0	0.0	0.0	209.53	222.82	75.93	2.97	434.67	191.22	89.96	242.68	273.61	267.76	341.43	85.17	152.72	219.71	449.81	310.15	0.0	0.23	0.26	0.0	0.0	0.5	0.0	0.0	263.0	415.49	0.75	0.74	0.5
Cby1	0.34	128.37	0.0	0.0	0.0	0.3	184.2	2.39	114.01	502.57	179.18	25.18	88.02	20.46	0.0	0.0	225.71	68.76	79.62	0.0	77.95	141.83	0.0	0.0	0.0	1019.97	0.0	0.0	0.0	0.0	21.86	151.3	0.33	0.77	0.16
Ccdc43	0.08	0.0	0.0	0.0	0.0	0.0	0.69	190.71	17.82	0.0	90.64	0.0	69.83	75.88	0.0	0.0	2.35	0.0	0.0	5.93	1.77	19.06	0.3	0.14	0.0	0.0	0.0	0.0	0.0	0.2	0.07	155.68	0.0	10.85	339.1
Cdh8	109.44	16.57	0.0	0.0	0.0	0.0	65.42	0.82	0.63	0.19	154.07	78.73	37.45	87.27	0.12	39.42	47.3	6.15	3.08	150.38	70.09	32.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.18	141.82	0.33	0.13	0.11
Clip3	18.89	73.6	0.0	0.0	0.0	0.0	113.89	138.86	485.66	1.99	145.91	79.11	125.2	125.11	63.71	54.43	68.96	40.16	26.93	98.85	116.47	67.97	0.0	0.0	0.44	10.5	0.0	0.32	0.0	0.0	119.98	197.39	0.32	0.75	0.54
Cttn	191.9	21.68	0.0	444.54	0.0	54.89	66.95	319.3	191.6	0.57	163.37	42.0	124.44	104.04	0.13	0.0	77.35	0.0	18.31	14.0	2.17	35.39	0.0	0.0	0.23	7.68	0.21	0.0	0.0	0.0	53.81	234.28	0.0	0.53	0.23
Dctn1	2.71	4.0	0.0	0.1	0.0	0.0	39.61	0.0	24.97	0.14	29.27	7.49	1.25	4.85	66.78	12.87	4.32	0.2	3.8	10.54	15.23	46.78	31.01	0.0	0.18	0.19	0.0	0.0	0.0	0.0	0.0	43.63	0.0	0.1	0.0
Dnttip2	2.18	146.98	0.0	0.0	0.0	0.13	36.08	44.88	125.31	0.25	76.84	76.52	0.0	14.03	0.16	121.17	61.24	1.02	18.02	117.23	1.41	80.18	42.38	0.54	989.1	0.97	1.45	0.88	0.0	1.55	87.38	142.11	0.0	795.16	0.3
Dpp10	294.7	84.42	0.0	0.0	0.0	0.0	108.32	101.25	320.31	0.13	181.81	144.08	76.46	231.14	21.58	39.66	130.66	73.12	18.79	30.38	186.59	22.1	0.0	0.14	0.16	0.0	0.14	0.08	0.0	0.1	235.82	166.69	0.38	0.44	0.11
Dync2h1	26.13	7.63	0.0	0.0	0.0	0.0	16.16	34.25	44.64	0.08	32.76	1.36	8.35	9.59	0.25	24.35	70.14	3.77	0.05	0.44	15.32	8.03	0.0	0.05	0.05	0.05	0.0	0.0	0.0	56.83	4.89	54.05	0.05	0.06	0.1
Efna5	105.03	284.09	0.0	0.0	0.07	0.0	81.45	2.97	306.62	0.81	193.09	89.81	71.33	157.13	113.68	84.73	104.91	11.96	45.07	120.08	50.51	105.18	0.0	0.08	0.0	0.0	0.12	0.13	0.0	0.45	99.86	180.77	0.83	1.14	0.87
Fam103a1	714.81	654.98	0.0	0.0	0.0	0.23	321.74	443.89	659.43	1.72	550.3	493.27	239.14	222.99	456.91	248.25	409.26	268.48	318.4	153.95	412.41	316.01	0.49	0.23	2057.83	0.0	0.0	0.0	0.0	14.09	42.34	752.12	1.36	0.75	1.13
