	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_75	Rbp4_tdTpositive_cell_101	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
1110057K04Rik	1.78	37.65	202.38	7.56	154.35	96.34	143.63	8.04	4.8	135.65	147.98	10.31	97.78	291.82	80.84	13.44	84.01	36.75
1500004A13Rik	6.5	0.0	34.45	52.91	17.22	1.49	8.07	18.86	4.04	46.97	7.13	0.0	7.74	49.59	55.74	201.52	22.46	13.35
2010321M09Rik	0.0	82.31	0.0	0.67	0.0	0.0	0.0	0.47	1.01	0.0	0.35	0.13	101.01	127.8	42.19	0.0	47.57	78.87
2610507I01Rik	6.32	17.61	24.69	19.33	85.65	13.98	8.24	14.16	17.88	6.74	22.64	6.52	32.11	46.79	38.73	20.49	21.13	12.06
2810046L04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.32	0.0	0.47	0.0	34.65	28.69	0.84	0.0	1.6	0.0
4930431P03Rik	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.28	0.28	0.32	0.0	0.0	0.08
4930511M06Rik	6.66	61.63	96.31	96.12	108.61	64.55	25.39	59.84	85.62	24.52	97.67	45.15	115.37	135.27	71.74	149.44	56.93	76.92
4933401P06Rik	0.0	0.0	0.0	0.26	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	1.09	0.0	0.0	0.0	0.0
5430437J10Rik	0.0	0.4	1.19	0.68	0.58	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	1.41	1.3	0.89	0.0	0.81
8430419L09Rik	0.0	51.93	189.39	104.53	84.51	23.91	1.74	18.77	61.6	91.05	53.69	0.0	100.82	138.91	94.57	0.36	98.75	1.38
Abca3	0.0	0.0	0.54	3.22	1.41	8.38	0.0	0.06	0.05	0.51	0.8	0.06	17.16	47.19	0.29	0.0	2.29	28.58
Aco2	388.95	258.59	58.73	345.81	248.37	249.58	211.53	136.84	346.87	410.41	234.19	0.0	371.41	768.84	356.68	255.19	288.82	229.36
Actl6b	0.0	0.59	0.0	72.39	4.08	1.87	15.54	0.45	6.56	41.98	35.41	0.0	12.6	214.81	0.48	0.0	25.77	203.62
Aldh1l2	0.0	0.0	0.08	20.01	0.05	0.0	0.0	0.0	0.06	0.0	0.0	0.0	11.0	11.24	0.0	0.0	1.54	0.0
Aldoa	10293.64	13597.95	12694.2	12406.05	12801.23	13515.12	14715.13	13848.9	11924.07	12605.63	11555.54	8202.56	7609.21	6155.71	11548.81	11283.91	10660.26	12521.72
Alox8	6.32	17.01	10.04	15.63	10.9	8.59	11.67	6.97	7.07	3.51	10.65	5.08	9.63	17.6	12.14	6.71	5.19	11.26
Ap3b1	0.0	6.11	0.0	44.34	0.0	0.0	0.0	0.0	5.5	40.14	0.0	0.0	47.71	65.07	0.0	0.12	5.75	0.0
Ap4b1	0.0	1.5	0.0	0.0	0.0	4.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.78	0.0	0.0	5.41	0.0
Atp6v1c2	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.16	0.11	0.0	0.0	0.0	53.27	47.84	0.0	0.0	0.0	0.0
B230206H07Rik	0.0	0.0	0.0	0.0	0.09	0.0	0.18	0.0	0.01	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.16	0.0
C030046E11Rik	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.62	0.12	0.0	0.93	0.0
C230091D08Rik	3.54	103.05	130.15	100.38	48.85	8.8	8.09	61.06	34.57	111.62	58.47	2.15	43.67	287.73	28.95	484.64	42.02	84.08
C330006A16Rik	0.0	391.37	294.06	310.4	261.16	220.3	51.0	35.02	203.5	269.38	0.88	371.22	517.89	241.94	201.04	0.0	377.98	244.91
Ccl24	0.0	0.0	0.34	0.27	0.67	0.25	0.65	0.0	0.35	0.0	0.77	0.35	0.44	0.51	0.0	0.0	0.28	0.0
Ccl27b	10.98	22.87	415.15	0.0	47.74	81.28	272.53	147.69	92.75	3.5	0.0	0.0	102.42	49.86	0.0	0.0	71.98	74.33
Cdh22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	6.76	0.0	0.0	0.1	0.0
Ctla2a	32.07	88.98	130.56	118.3	104.7	99.95	47.18	76.73	70.34	32.71	74.73	18.37	116.74	187.95	111.01	216.88	54.76	68.76
Dram2	0.0	0.0	138.58	63.99	32.3	0.0	96.49	75.95	0.32	74.34	0.0	0.17	43.59	259.53	59.94	0.0	55.46	1.69
Ephx3	0.0	0.25	2.93	1.47	0.95	0.0	0.9	1.96	0.67	0.0	0.0	0.0	1.06	1.52	3.92	0.31	0.73	3.38
Fam84b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	81.68	0.0	0.0	0.62	0.0
Fbln2	0.0	0.1	0.1	0.27	1.9	0.0	0.0	21.51	0.0	0.11	2.09	0.0	0.0	0.19	4.55	0.0	1.92	5.85
Fbxw9	0.0	0.0	44.99	0.0	41.77	1.96	0.0	116.77	0.94	0.0	0.0	0.0	57.68	150.89	0.0	0.0	19.69	0.0
Frs2	0.0	0.0	0.0	0.2	0.0	12.89	0.7	0.0	0.0	27.1	0.0	0.0	0.0	48.34	0.0	0.0	3.02	0.0
Fut1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.37	0.0	0.0	0.0	0.0
G730013B05Rik	3.08	10.23	22.75	18.74	18.67	8.93	8.46	12.33	16.12	6.45	11.85	1.31	18.62	18.61	12.24	7.32	5.63	13.24
Galnt9	0.0	0.0	1.49	136.1	0.21	1.86	0.0	13.82	62.93	66.93	1.32	0.0	222.33	86.77	8.36	0.0	83.21	43.19
Gfm2	0.0	67.19	0.0	61.86	31.54	29.2	0.12	0.21	0.93	59.61	4.59	0.0	78.93	176.9	60.25	245.27	38.67	110.77
Gm13306	10.98	22.87	415.15	0.0	47.74	81.28	272.53	147.69	92.75	3.5	0.0	0.0	102.42	49.86	0.0	0.0	71.98	74.33
Gm14318	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.18	0.0	0.0	0.0	0.0
Gm2506	10.98	22.87	415.15	0.0	47.74	81.28	272.53	147.69	92.75	3.5	0.0	0.0	102.42	49.86	0.0	0.0	71.98	74.33
Gm5065	0.67	1.69	1.68	1.24	1.07	0.62	1.16	0.93	1.32	0.28	0.51	0.31	1.62	2.02	1.31	1.47	1.19	1.44
Gosr1	139.9	10.67	6.72	3.23	0.3	22.1	0.0	23.37	5.05	0.22	2.12	0.0	53.26	85.43	3.25	223.37	14.06	0.0
Gpr85	0.0	67.36	320.56	31.28	157.42	60.64	19.85	46.9	73.88	28.62	38.39	0.13	284.27	220.86	115.52	0.34	116.78	72.67
Gtf3c2	0.0	0.0	1.1	51.85	24.2	0.07	0.0	24.38	0.12	3.65	0.11	0.0	77.73	114.11	44.89	87.67	14.83	0.0
Gucy1a2	0.46	13.55	1.31	13.14	11.33	2.36	4.83	3.76	27.16	3.06	29.68	0.41	26.49	40.4	8.36	0.35	3.51	1.06
Ints10	0.0	66.96	0.0	44.57	136.93	13.84	1.34	87.3	12.0	28.63	55.02	0.0	71.52	215.78	166.9	27.35	63.11	68.97
Ints9	0.0	0.0	0.0	0.0	20.64	0.0	0.0	0.0	144.1	86.79	45.44	0.0	26.29	126.0	63.25	0.0	23.62	72.34
Kcnn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	17.47	0.0	0.0	0.04	0.0
Kctd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.11	0.0	0.0	0.0	0.0
Klhl23	2.29	65.33	0.69	6.61	0.74	18.37	0.0	31.02	0.26	3.46	9.35	0.0	149.53	131.97	29.05	14.87	19.31	0.0
L3mbtl4	0.0	0.76	1.36	0.81	0.76	0.65	0.18	0.52	0.68	0.73	0.99	0.0	6.4	1.49	1.52	0.0	0.32	0.43
Lphn2	0.0	4.7	14.89	26.79	1.28	3.77	0.0	0.0	42.8	8.51	5.05	0.0	62.13	97.25	0.0	0.0	16.05	0.0
Mkl2	0.85	194.6	225.5	212.96	364.07	184.07	52.96	219.12	305.33	275.74	276.73	103.49	167.42	287.75	228.06	27.17	249.53	270.84
Mkln1	0.0	9.56	3.44	51.97	150.32	26.72	0.0	55.08	267.03	60.29	0.0	0.0	210.01	116.22	0.92	0.0	56.42	12.77
Mterf	0.0	1.3	18.55	20.33	76.83	0.0	0.0	0.0	0.0	92.94	0.0	0.0	25.25	60.87	15.52	0.0	8.57	0.0
Mthfsd	0.0	0.87	0.0	0.0	8.27	0.0	0.17	0.22	0.11	0.0	99.49	0.0	46.9	100.77	6.68	0.0	29.32	0.21
Nuf2	0.0	2.06	3.26	1.99	3.66	1.34	0.88	1.65	2.67	1.19	3.3	1.33	4.96	5.4	4.54	1.34	1.21	3.9
Odz2	0.0	9.7	11.03	21.42	12.49	1.57	0.08	6.85	0.1	4.74	4.76	0.0	21.47	62.18	8.33	0.0	5.09	7.16
Ogfrl1	0.0	29.76	81.43	120.9	50.45	6.74	4.98	54.18	12.05	10.75	0.0	0.0	12.16	106.76	3.61	10.06	47.44	53.04
Ogt	17.62	1.73	56.93	211.54	127.22	35.79	0.25	56.24	8.74	57.26	154.91	0.0	301.99	313.89	52.85	181.61	72.37	41.87
Ormdl3	0.0	0.0	0.91	0.0	3.58	1.89	0.0	0.0	101.88	80.44	0.0	0.0	120.7	145.78	118.02	0.0	4.32	0.0
Pi4ka	0.0	37.9	77.29	134.0	48.87	41.55	7.11	71.18	19.71	73.76	42.59	0.0	81.62	47.82	54.82	4.7	41.41	63.19
Pigq	0.0	0.15	0.57	0.91	41.58	0.2	3.0	21.59	52.33	9.49	119.2	0.12	94.52	94.97	81.64	0.13	19.66	0.0
Ppif	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	35.07	62.49	0.0	0.98	3.65	0.0
Prelp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.08	0.0	0.0	0.19	0.0
Prrx1	0.1	0.08	0.2	0.08	0.15	0.19	0.08	0.08	0.05	0.19	0.21	0.0	0.43	0.34	0.29	0.21	0.56	0.13
Rac2	0.0	1.07	2.77	1.78	0.93	0.79	4.23	2.32	1.5	1.32	0.61	0.55	2.13	2.05	0.67	4.45	0.79	1.43
Ralgapa2	1.23	1.4	3.32	15.96	2.17	0.95	15.33	31.32	1.37	0.36	1.67	0.16	17.4	32.03	1.58	0.19	3.83	8.01
Ralyl	0.0	98.42	229.14	157.68	279.14	23.55	133.21	95.96	298.65	0.0	94.56	0.0	466.72	430.5	113.86	0.82	173.16	156.18
Relb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	1.46	0.0	0.0	0.79	0.0
Riok3	1.43	31.46	15.7	66.77	22.53	36.89	5.18	2.5	44.75	20.27	34.97	2.76	3.08	82.65	85.82	2.22	18.99	2.19
Rsf1	3.54	9.99	0.0	0.29	0.09	22.76	13.01	16.58	10.0	0.99	9.77	0.25	9.01	13.58	13.43	3.29	5.35	0.0
Rxfp1	0.0	0.0	0.0	56.24	0.0	0.0	0.0	0.0	0.0	0.0	121.11	0.0	164.99	120.21	0.0	0.0	2.91	0.0
Scn8a	0.0	25.44	83.07	37.31	44.65	66.88	23.59	39.7	70.47	17.26	22.54	0.0	48.01	100.5	101.98	0.0	33.92	12.13
Sec23ip	30.52	15.66	26.29	31.06	54.88	34.48	20.74	9.94	29.56	60.26	46.3	0.17	93.31	110.96	46.31	0.49	61.64	24.87
Skil	44.52	151.79	123.79	88.76	180.65	134.18	37.76	68.33	200.54	103.22	161.57	0.0	95.81	132.29	174.52	59.89	164.3	122.63
Slc4a3	0.09	0.0	0.0	39.31	0.0	0.0	0.78	0.51	0.23	6.08	0.0	0.0	27.85	20.82	4.77	2.35	2.64	0.07
Slc6a20b	0.0	0.39	0.0	0.35	0.1	6.72	0.65	0.0	0.0	0.0	0.0	0.0	2.73	3.03	0.45	0.0	0.11	0.0
Snord87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.67	11.45	0.0	0.0	0.0	0.0
Snrpa1	138.22	0.0	0.0	48.42	0.0	107.42	24.06	84.27	151.14	139.63	141.84	0.0	1.57	193.85	205.42	0.0	70.42	269.71
Sspn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.63	0.0
Stk38l	0.0	23.26	10.13	53.91	36.05	70.16	68.33	27.26	105.84	20.11	25.34	0.0	124.52	216.53	64.14	0.0	54.81	0.91
Syncrip	0.0	54.14	0.0	61.32	7.49	17.69	0.02	58.78	8.66	0.0	103.12	0.0	20.41	65.61	39.55	0.18	16.3	18.8
Tfrc	0.08	95.4	0.46	5.27	0.0	28.44	8.52	53.04	55.44	28.32	2.55	0.0	110.33	64.01	0.0	2.23	34.79	1.83
Tll1	0.0	0.33	1.02	1.21	0.59	0.62	0.3	0.47	0.77	0.12	0.21	0.0	0.8	1.2	0.38	0.0	0.5	0.42
Tsku	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	4.34	2.3	0.0	0.0	0.0	0.0
Upf3a	0.0	0.0	30.38	1.12	0.0	0.0	0.0	0.0	0.0	18.1	0.0	0.0	28.89	33.58	0.0	0.0	8.35	0.0
Vprbp	0.51	1.09	2.07	13.34	2.26	0.85	0.0	0.78	1.67	0.41	1.39	0.14	2.06	33.59	9.72	1.17	5.27	0.91
Zfp930	2.38	2.92	0.71	67.63	66.41	3.28	0.76	10.98	7.17	10.96	14.84	0.0	34.71	110.75	83.67	0.31	29.54	84.46
Zfyve27	0.4	37.82	72.51	33.59	2.62	58.04	32.44	113.03	31.85	0.32	146.69	0.19	98.85	183.61	121.97	0.1	48.97	0.48
c18_tRNA-Ala-GCY_	0.0	2.33	36.43	16.63	0.0	0.0	0.0	0.0	18.71	0.0	0.0	0.0	123.97	68.16	0.0	0.0	0.0	0.0
