	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_59	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1190003K10Rik	0.0	44.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0
1700001G17Rik	0.0	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	1.37	0.65
1700019G17Rik	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	9.2	9.96
1700047I17Rik2	4.1	30.18	0.93	0.77	3.41	6.09	1.23	100.97	0.79	1.81	19.02	17.56	16.4
4932412H11Rik	0.0	4.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.17	0.16
4932438H23Rik	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.88
4933400F21Rik	0.0	13.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.03	0.0
4933402E13Rik	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
4933438B17Rik	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.09	0.08
5430402E10Rik	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0
5430435G22Rik	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	2.82	2.77
Abhd4	0.0	0.12	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	10.86	52.69	55.77
Abl1	0.0	0.19	0.0	0.0	0.0	4.02	0.0	0.0	0.0	0.0	2.25	27.23	27.98
Adcy9	4.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.65	38.42	37.86
Adora2b	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	3.91
Aldob	0.0	87.24	0.0	0.0	0.0	0.0	0.0	0.0	180.57	0.0	0.0	2.9	2.95
Ascl4	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.26	0.58
Cartpt	0.0	57.4	0.0	0.0	0.0	0.0	0.0	0.0	69.92	0.0	0.44	17.85	16.6
Cckbr	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.91	50.7	53.68
Cecr2	0.0	0.03	0.35	0.0	0.0	0.0	0.51	0.0	0.0	0.0	1.04	1.8	1.62
Clasp1	0.0	52.52	0.0	0.24	0.0	46.95	0.06	60.7	36.03	83.04	20.5	40.25	38.96
Cldn11	0.0	0.3	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	55.65	164.44	180.29
Cmtm6	0.0	0.08	8.33	0.0	0.0	0.0	0.0	37.66	0.0	0.0	0.41	21.48	21.26
Cntn2	0.0	13.06	0.42	0.09	0.18	0.0	0.65	0.4	0.64	0.08	1.42	41.44	42.63
Crtac1	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	62.95	67.27
Cryaa	0.0	71.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.16
Csgalnact1	0.0	0.07	0.0	0.0	0.0	0.0	4.34	0.0	0.0	0.0	11.9	14.31	15.26
Cspg5	0.0	81.21	11.42	1.44	0.0	0.0	1.91	5.86	0.14	0.0	15.24	163.54	180.07
Cttnbp2nl	0.0	32.7	7.08	74.13	0.0	0.0	0.0	3.63	0.0	0.0	3.41	17.78	17.7
Cyp2j6	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	12.75	12.52
Dclk3	0.0	0.16	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.72	37.71	38.71
Dmwd	0.0	0.11	116.18	0.0	0.0	0.16	0.0	0.0	0.0	0.0	16.01	100.0	111.98
Dusp7	0.0	30.16	0.26	0.0	0.27	0.0	0.06	0.15	0.0	0.0	10.99	56.88	61.62
Ell3	45.9	10.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	1.42	2.07
Enpp6	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	4.79	5.81
Fam110a	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	5.02	5.5
Fam161a	0.0	0.24	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	5.25	3.02	2.9
