	Calb2_tdTpositive_cell_27	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_73	Cux2_tdTpositive_cell_103	Ndnf_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_27	Ntsr1_tdTnegative_cell_29	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_90	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18
2610008E11Rik	0.0	0.1	0.0	0.0	0.0	184.63	0.0	0.0	0.0	31.42	114.43	186.91	0.0	167.09	0.0	9.87	0.0	0.0	2.26	0.32	0.04	0.0	0.0	0.0	229.77	0.0	0.0	0.0	0.0	0.0	156.18	0.0	102.19	52.23
4930405P13Rik	42.09	40.62	48.56	20.73	62.73	135.33	52.8	74.52	17.14	103.99	48.24	77.91	22.54	69.12	55.74	49.53	57.16	23.35	48.89	56.28	62.17	93.31	57.28	138.22	23.29	54.45	93.45	85.81	52.08	52.58	70.48	19.58	101.05	46.5
6030422M02Rik	45.36	63.06	62.49	76.8	72.76	104.01	83.93	46.43	32.11	90.72	91.06	87.49	87.3	65.91	84.46	75.72	61.62	53.06	76.75	69.66	90.66	102.72	79.04	80.25	53.45	75.83	54.41	116.53	92.06	108.85	103.22	38.87	86.15	84.79
A930011O12Rik	0.0	87.92	101.2	21.52	13.04	160.32	2.2	77.09	0.0	73.49	68.74	10.25	60.91	46.98	98.09	59.15	0.1	0.0	0.0	2.31	121.33	90.53	87.11	58.84	10.85	5.75	16.32	24.26	10.19	114.44	202.46	0.0	180.03	0.53
AA465934	0.0	1.39	1.2	0.0	0.0	121.24	0.0	0.0	0.0	1.11	0.0	4.48	0.0	109.32	38.59	1.71	0.0	0.0	99.55	4.66	0.51	4.08	0.0	0.0	0.0	0.0	52.84	39.76	0.0	6.34	0.0	0.0	43.5	0.0
AI197445	0.0	0.31	0.14	0.17	0.0	0.55	0.0	0.0	1.54	1.71	1.45	0.06	0.0	0.41	0.54	0.09	0.5	0.0	0.76	0.15	0.71	3.49	0.07	0.57	0.0	0.0	0.37	0.0	0.49	0.45	2.17	0.0	0.26	0.33
Atg12	0.0	0.12	0.0	0.0	2.98	569.1	15.39	3.55	0.0	0.3	0.15	392.23	12.86	641.14	0.0	13.54	3.76	0.27	265.22	35.75	81.85	76.76	265.89	70.03	0.0	0.0	207.89	0.0	39.14	157.45	274.51	0.0	0.0	0.0
BC033916	27.77	23.08	23.79	16.6	38.41	135.92	9.13	22.96	15.1	41.26	38.74	42.71	47.91	34.65	57.89	23.1	40.04	52.62	61.47	43.44	27.52	46.09	27.65	85.96	26.56	18.16	24.41	27.88	33.8	61.16	59.57	16.59	49.59	40.21
BC053393	0.0	0.03	0.0	0.0	0.3	5.84	0.69	0.0	0.0	0.8	1.3	3.94	0.27	2.64	1.09	0.94	0.24	0.0	1.14	1.1	7.44	2.3	0.17	0.29	1.55	0.0	1.07	1.25	2.38	3.18	3.81	0.0	3.82	0.66
Cd200r2	5.95	14.09	7.37	6.36	16.02	25.52	12.15	8.66	0.74	12.85	20.14	20.89	7.91	15.17	13.78	11.43	11.28	10.06	11.52	9.66	16.45	14.3	8.48	21.31	12.0	16.07	12.88	14.31	28.99	24.87	16.97	0.98	9.73	11.6
Cd99l2	0.0	103.48	72.68	0.0	0.0	220.74	0.0	0.0	0.0	0.11	161.21	61.04	1.83	26.43	68.99	0.0	20.01	0.0	0.33	114.99	97.79	108.47	1.4	0.0	0.0	0.0	1.83	0.06	70.07	191.76	0.0	0.0	94.65	0.0
Crp	0.44	1.11	0.45	0.2	0.0	1.24	1.56	0.61	0.0	0.69	0.41	0.8	0.36	1.03	1.65	0.0	0.57	0.0	0.19	0.14	1.24	1.3	0.83	2.96	0.73	0.0	1.23	1.0	1.08	2.79	0.79	0.35	0.97	0.0
Dffb	0.0	0.1	0.16	0.0	0.0	310.79	0.0	53.36	0.0	0.28	0.1	1.22	0.0	130.41	0.0	0.0	31.56	0.0	0.05	0.05	0.77	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epb4.2	0.17	0.56	1.27	0.19	0.39	1.61	0.0	0.14	0.17	0.79	0.4	1.71	0.82	0.63	0.23	0.22	0.4	0.19	1.18	1.39	0.54	1.22	1.38	0.95	0.0	0.17	1.25	0.48	0.89	1.29	0.45	0.4	0.84	0.34
Ift88	0.0	0.03	14.71	0.0	131.07	171.65	0.0	11.26	0.0	142.88	0.06	81.53	0.0	217.69	51.09	115.81	0.0	0.0	0.07	125.44	118.29	163.37	69.05	0.0	41.35	0.0	123.82	22.38	0.0	145.14	0.0	0.0	95.65	0.0
Itga4	5.18	51.74	16.21	4.27	9.84	21.28	10.01	8.47	1.29	18.35	8.98	9.93	6.63	43.61	9.77	8.86	11.17	1.15	12.49	71.94	17.19	58.33	5.1	13.84	5.5	8.46	28.03	11.27	17.4	17.28	29.9	3.65	28.0	11.39
Itpa	2.27	0.18	0.41	0.59	5.62	467.84	284.7	47.07	0.0	259.87	0.17	154.74	182.72	260.39	144.97	53.45	859.29	0.0	2.06	175.31	118.33	314.21	167.0	143.32	0.57	4.05	198.93	34.77	307.52	632.57	286.62	0.0	296.16	0.0
Kcnq1ot1	54.42	71.85	51.02	47.18	115.6	149.4	75.37	47.89	10.02	85.09	94.58	87.36	57.19	62.99	69.51	56.69	61.22	17.99	94.13	63.67	154.05	117.41	54.16	87.79	55.32	69.74	86.43	94.84	91.27	104.73	112.93	50.91	86.4	72.57
Lnp	1.16	87.91	45.39	22.15	37.83	281.72	0.0	110.99	0.0	70.59	147.75	101.37	81.12	61.8	154.01	16.2	7.23	0.0	28.47	0.07	43.78	195.26	59.77	18.55	30.5	2.39	114.04	90.85	53.1	218.63	190.35	0.0	106.53	34.9
Mier3	0.0	70.67	51.02	62.96	0.23	375.39	75.37	33.0	0.62	310.9	118.35	223.16	122.6	142.37	347.18	101.89	182.98	0.12	126.75	69.34	148.3	175.22	141.81	46.29	166.75	1.18	72.22	60.99	200.26	138.22	90.24	0.0	147.36	78.11
Nutf2	0.0	0.99	1.01	64.61	3.31	387.2	1.15	3.59	0.0	0.84	6.07	0.0	0.0	613.13	218.73	0.0	0.44	0.6	215.89	214.8	2.1	319.46	170.23	4.66	235.75	2.55	0.65	6.81	2.6	1.93	1.54	0.0	4.87	2.82
Ophn1	0.0	40.55	0.0	0.0	0.0	140.01	0.32	32.0	0.0	0.0	103.79	0.0	0.0	127.12	21.08	0.0	0.0	0.0	0.0	0.0	52.64	8.25	0.0	0.0	0.0	0.0	0.0	15.97	0.0	0.0	12.57	0.0	18.79	35.86
