	Pvalb_tdTpositive_cell_39	PvalbD.Slc32a1_tdTpositive_cell_23	Tac2_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
2700046G09Rik	0.0	0.0	0.0	4.79	4.79	4.82
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930550C14Rik	0.0	0.0	0.0	0.08	0.08	0.59
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5930403L14Rik	0.0	0.05	0.21	20.7	19.68	23.03
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
A730020M07Rik	0.0	0.0	0.0	0.25	0.25	0.36
Adipoq	0.0	0.0	0.0	0.08	0.08	0.25
Ahnak	0.0	0.0	0.0	7.31	5.91	5.79
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Aox1	0.0	0.0	0.0	3.41	3.8	3.95
Arhgef19	0.0	0.0	0.0	10.14	12.76	14.65
Art4	0.0	0.0	0.0	0.08	0.08	0.13
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp1a2	1.53	2.93	1.5	431.93	422.72	458.79
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Axl	0.0	0.06	0.0	23.04	22.35	23.67
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmper	0.0	0.0	0.0	7.15	7.15	7.41
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Caskin2	0.0	0.0	0.0	14.94	14.1	14.84
Cd53	0.0	0.0	0.0	5.36	4.88	5.56
Cdh19	0.0	0.0	0.0	5.26	3.74	5.13
Chst5	0.0	0.0	0.0	0.72	0.72	1.16
Cobl	0.0	0.0	0.0	51.91	46.22	51.07
Copz2	0.0	0.0	0.0	7.2	9.35	7.21
Cym	0.0	0.0	0.0	0.08	0.08	0.25
D830046C22Rik	0.0	0.0	0.0	0.08	0.08	0.17
Daam2	0.0	0.0	0.0	36.24	32.77	40.59
Dap	0.0	0.0	0.0	7.75	7.75	7.79
Dkk3	0.0	0.0	0.0	240.89	232.88	229.09
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
F11	0.0	0.0	0.0	0.04	0.04	0.05
Fam109b	0.0	0.0	0.0	0.83	0.81	0.67
Fgd6	0.0	0.0	0.0	7.75	6.58	7.73
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm12250	0.0	0.1	0.0	0.4	0.28	0.35
Gm216	0.0	0.0	0.0	1.89	2.22	2.04
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gpr101	0.0	0.0	0.0	4.26	4.26	3.76
Grin2c	0.0	0.0	0.0	28.87	31.07	35.66
Hepacam	0.0	0.0	0.0	55.07	59.62	58.27
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Il10rb	0.0	0.0	0.0	9.88	9.96	11.25
Il17ra	0.0	0.83	0.09	13.28	12.23	11.53
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
