	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg2_tdTpositive_cell_2
1700052K11Rik	0.47	0.0	0.0	1.72	1.64	0.59	0.45	23.53	32.79	1.22	12.62
1810035L17Rik	0.0	0.0	0.0	0.0	0.0	206.42	192.54	282.52	466.84	248.47	216.31
2210010C04Rik	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.79	0.97	0.0
5730437N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.73	148.75	179.44	38.8
Aebp2	106.2	0.0	0.0	0.0	0.0	34.81	0.72	36.12	94.07	25.36	1.28
Ahi1	0.0	0.0	0.0	5.36	1.06	109.12	61.21	48.19	121.44	12.01	20.46
Amy2a2	0.07	0.0	0.0	0.0	0.0	0.71	0.05	0.13	0.47	0.52	0.36
Amy2a3	0.07	0.0	0.0	0.0	0.0	0.71	0.05	0.13	0.47	0.52	0.36
Amy2a4	0.07	0.0	0.0	0.0	0.0	0.71	0.05	0.13	0.47	0.52	0.36
Arhgap33	0.0	0.0	0.0	0.1	0.0	4.91	2.04	9.83	14.22	0.0	0.03
B4galnt4	0.0	0.0	0.0	0.0	0.0	1.27	1.31	10.89	22.72	0.0	20.89
Btbd9	0.0	0.0	0.0	0.0	0.0	2.71	0.13	2.31	38.51	0.0	14.32
Cecr6	0.0	0.0	0.0	0.0	0.03	0.0	53.88	0.0	14.22	0.73	0.29
Cntnap4	0.0	0.0	0.0	0.0	0.0	15.94	0.0	226.17	167.81	115.48	0.0
Cwf19l1	0.0	0.0	0.0	0.0	0.05	0.0	0.0	22.25	65.01	0.0	0.04
Dusp10	0.0	0.0	0.0	0.0	0.0	111.11	0.0	24.59	114.36	0.0	0.0
Elmod3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.61	84.85	91.78	26.91
Gm14430	0.0	0.0	0.0	1.53	0.0	5.63	7.21	8.31	0.06	0.0	0.23
Gm14434	0.0	0.0	0.0	1.53	0.0	5.63	7.21	8.31	0.06	0.0	0.23
Gm4724	0.0	0.0	0.0	1.53	0.0	5.63	7.21	8.31	0.06	0.0	0.23
Gpatch1	0.0	0.0	0.0	0.0	0.0	7.58	2.73	28.93	65.75	15.32	5.78
Kdsr	0.18	0.0	0.0	0.24	1.99	24.17	0.47	51.02	139.36	0.28	57.76
Kif1a	0.0	0.0	0.0	0.06	0.04	77.06	48.82	76.73	159.65	87.96	139.0
Kif3a	6.67	0.18	1.71	0.27	4.0	286.25	27.25	174.35	180.12	57.99	159.09
Kifc2	0.0	0.0	0.0	0.0	0.0	22.09	9.32	49.84	118.59	39.39	24.68
Klf16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.37	8.22	0.0	0.0
Lrch2	0.0	0.0	0.0	0.0	0.0	1.36	1.89	31.35	29.79	48.02	0.0
Mbtps2	0.09	0.0	0.0	0.28	0.04	131.6	0.0	50.61	76.14	0.25	0.16
Nceh1	0.0	0.0	0.0	0.0	0.04	0.0	0.05	257.48	338.23	94.82	152.07
Nt5m	0.0	0.0	0.0	0.0	0.0	75.55	0.0	105.47	166.92	32.23	122.57
Pbx4	0.0	0.0	0.0	0.0	0.0	72.77	0.16	15.28	16.03	4.1	0.0
Per3	0.06	0.0	0.0	0.0	110.93	74.87	3.03	0.25	71.24	22.63	34.77
Pfkfb3	0.0	0.0	0.0	0.0	0.27	5.59	0.08	34.66	20.48	0.38	0.54
Pink1	0.0	0.0	0.0	0.0	0.07	0.0	34.14	50.55	112.28	11.39	18.29
Pitpnm2	0.0	0.0	0.49	0.0	0.0	12.74	2.4	0.39	7.95	0.0	0.02
Pnpla8	0.0	0.0	0.0	0.0	0.04	46.16	3.29	16.78	94.82	46.72	23.19
Polr3a	0.0	0.0	0.0	0.0	0.03	0.21	0.0	29.48	69.74	7.29	0.06
Prpf18	1.36	0.5	1.33	4.32	0.25	2.38	2.15	8.4	75.56	3.05	39.99
Prr3	0.0	0.0	0.0	0.0	0.0	63.98	0.0	124.71	66.55	19.06	0.27
Prss36	0.0	0.0	0.0	0.0	0.0	0.32	0.0	12.14	26.55	0.08	44.96
Rfx3	0.0	0.0	0.0	0.05	0.05	2.91	0.56	10.76	17.11	5.47	1.56
Rit2	0.0	0.0	0.0	0.0	0.09	145.26	0.6	345.36	433.24	95.89	294.85
Rnf114	0.0	0.0	0.0	0.0	0.0	34.5	98.08	43.11	158.64	0.09	25.96
Rtl1	0.2	0.22	0.0	0.0	0.29	0.0	0.34	0.42	13.35	0.73	0.1
Sccpdh	0.0	0.0	0.0	0.0	0.0	176.97	0.0	144.93	169.67	0.0	66.33
Smurf2	0.06	0.06	0.0	0.0	0.0	0.55	0.0	0.0	36.84	1.86	0.02
Srgap3	0.0	0.07	0.1	0.17	0.25	36.94	0.6	37.95	62.9	45.52	27.35
Strap	0.0	0.0	0.0	0.0	0.06	46.17	40.72	0.0	113.05	0.78	19.58
Taf13	0.0	0.0	0.0	0.0	0.0	147.69	282.35	263.62	251.0	0.2	190.71
Tmem110	0.0	0.0	0.0	0.0	0.0	0.0	1.33	35.17	19.79	0.0	0.0
Tmem183a	0.0	0.0	0.0	0.0	0.0	0.0	51.76	0.12	58.11	51.08	46.53
Tnik	0.0	0.0	0.0	0.0	3.29	5.4	13.49	1.2	34.7	10.62	21.05
Trim37	0.0	0.0	0.0	1.78	0.03	59.45	55.96	60.64	91.91	42.9	38.99
Ttbk2	0.03	0.09	0.0	0.1	0.55	1.68	0.79	46.02	77.11	0.7	5.11
Uap1	0.0	0.0	0.0	0.2	0.0	6.08	0.0	54.42	78.31	1.5	16.15
Wdr12	0.0	0.0	0.0	0.0	0.11	78.29	3.93	69.5	96.66	17.62	78.69
Zfp641	0.0	0.0	0.0	0.0	0.0	0.4	0.05	38.12	64.19	0.0	0.05
mt_AK142572	6.02	0.0	0.0	246.89	303.95	137.74	1536.09	448.05	643.93	92.73	257.8
mt_BC008260	7941.96	4955.64	3918.08	9011.6	6912.3	7885.05	17184.37	4614.63	4138.17	7307.06	5880.33
mt_BC020072	7941.96	4955.64	3918.08	9011.6	6912.3	7885.05	17184.37	4614.63	4138.17	7307.06	5880.33
