	Ctgf_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_28	Rbp4_tdTnegative_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110054M08Rik	0.39	0.0	0.0	5.6	7.01	6.75
1700021N21Rik	0.0	0.0	0.0	0.67	0.53	0.77
2310009B15Rik	0.0	0.0	0.0	10.21	12.88	11.1
2510009E07Rik	0.0	0.0	15.83	34.15	34.14	36.73
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930539J05Rik	0.0	0.0	3.25	9.48	12.7	11.31
4930581F22Rik	0.0	0.0	0.0	2.82	3.43	3.74
9830001H06Rik	0.0	0.1	0.32	13.73	12.95	14.31
A230077H06Rik	0.0	0.0	0.94	4.47	5.52	6.56
Acan	0.0	0.0	0.0	1.57	1.54	1.83
Adam21	0.0	0.0	0.0	0.85	0.41	0.66
Adap1	0.0	0.14	0.0	195.41	208.11	199.98
Adat1	0.0	0.21	0.4	6.06	6.33	6.29
Aff4	0.0	0.0	0.0	66.34	58.22	61.93
Aim1	0.0	0.0	0.0	0.46	0.63	0.54
Ankra2	0.0	0.0	0.0	39.3	36.99	36.25
Ascl1	0.0	0.0	0.0	6.75	7.22	6.65
Atp6v1b2	0.0	114.88	0.54	632.08	640.37	607.95
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atrip	0.0	0.0	0.08	20.39	20.54	18.23
Atxn7l3b	0.0	17.2	0.08	164.51	159.91	161.8
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Cand1	0.0	41.88	0.04	54.24	53.15	51.65
Ccdc117	0.0	0.0	0.0	16.29	15.62	12.6
Ccdc40	0.0	0.0	0.0	1.02	1.11	0.91
Ccdc89	0.0	0.0	0.0	0.59	0.36	0.82
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cntfr	0.0	20.01	0.0	73.24	81.29	77.33
Ctbs	0.0	0.0	0.0	6.85	7.2	8.9
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Ddx51	0.0	0.0	0.33	10.72	11.35	11.76
Dennd4a	23.74	10.85	0.0	30.52	27.12	28.77
Dirc2	1.84	0.0	0.73	38.97	41.16	39.36
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Efemp1	0.0	0.0	0.0	13.63	13.07	11.41
Ermn	0.0	1.39	0.75	31.76	25.47	31.52
F930015N05Rik	0.0	0.0	0.0	0.99	1.02	1.08
Fam101b	0.0	0.0	0.08	8.81	10.47	11.04
Fam108a	0.0	0.0	0.0	185.45	211.33	202.35
Fam176a	0.0	0.0	0.0	11.75	11.28	9.64
Fbrs	0.0	0.0	0.0	35.66	34.04	33.97
Fbxo10	0.0	13.16	0.0	25.53	24.77	25.14
Fbxo2	0.0	0.0	0.0	107.01	122.26	111.07
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gemin8	0.62	3.63	2.82	13.88	12.44	14.58
Gm13031	0.0	0.0	0.0	1.85	2.88	2.95
Gm13152	0.0	0.0	0.0	3.48	1.68	2.94
Gm14430	0.0	0.0	0.72	7.67	5.07	7.49
Gm14434	0.0	0.0	0.72	7.67	5.07	7.49
Gm4724	0.0	0.0	0.72	7.67	5.07	7.49
Gnao1	0.0	86.38	0.3	481.93	474.61	498.01
Gpr162	0.0	0.47	0.0	148.73	153.94	159.75
Gpr21	0.0	0.0	0.0	4.39	4.51	4.71
Grin2d	0.0	0.0	0.0	8.24	10.5	10.52
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.13	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hspa1a	0.0	0.0	0.0	12.41	12.92	10.82
Huwe1	0.0	0.0	14.42	83.26	73.67	88.23
Ifitm1	0.0	0.0	0.0	4.66	6.52	4.15
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Irf2	0.0	0.14	0.0	24.63	20.55	23.24
Itgad	0.0	0.0	0.0	0.07	0.18	0.14
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif15	0.0	0.57	0.42	0.79	0.71	0.71
Klhl7	1.16	30.65	2.84	76.93	72.88	74.02
Leng8	0.0	0.0	21.58	164.73	168.18	197.46
Letm1	0.0	15.0	0.08	54.68	58.8	55.57
Lin52	0.0	0.0	0.0	26.15	25.72	25.56
