	Pvalb_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810012P15Rik	0.91	3.14	0.87	23.63	22.63	23.83
2310015D24Rik	0.0	0.0	0.0	0.15	0.41	0.44
4930412C18Rik	0.0	0.0	0.0	0.89	1.4	0.89
9330111N05Rik	0.0	0.0	0.0	0.07	0.13	0.07
Adcy3	0.0	0.0	0.0	39.07	40.04	37.65
Agps	0.63	0.0	0.0	17.77	17.06	17.29
Ahdc1	0.91	3.85	0.27	21.02	21.81	21.88
Amigo1	7.37	26.01	0.0	58.86	60.1	60.6
Arpm1	0.0	0.0	0.0	1.42	1.04	1.14
Bmi1	0.0	0.0	0.0	31.9	30.16	28.08
C1qtnf4	0.0	0.0	1.35	181.7	250.29	223.5
Cacna1d	0.37	1.21	0.36	24.27	21.97	25.63
Ccdc23	0.0	0.0	0.0	22.08	25.53	23.18
Cdh1	0.0	0.0	0.0	1.0	1.45	1.1
Clec4a3	0.0	0.0	0.0	1.38	0.97	1.42
Crtc2	0.0	0.0	0.0	20.45	21.33	22.04
Cxx1a	0.0	0.0	13.32	133.83	145.01	142.69
Ddx54	0.0	0.0	0.0	28.29	33.01	31.66
Dscaml1	7.56	0.0	0.97	24.76	23.23	26.75
Dtx1	0.0	17.2	0.0	47.71	50.73	48.35
Ephb2	0.47	0.41	0.0	10.98	10.79	12.45
Exosc6	0.0	0.0	0.0	11.59	13.72	13.52
Fbxo25	28.49	11.29	28.39	71.66	74.66	69.73
Fry	24.05	20.97	1.13	46.99	45.26	49.38
Fsd2	0.0	0.0	0.0	0.24	0.09	0.07
Fzr1	37.34	31.76	8.41	65.81	73.66	66.13
Get4	8.19	15.25	0.0	55.98	62.01	56.66
Ggt7	85.73	58.12	96.46	112.55	122.34	119.47
Glp2r	0.0	0.0	0.0	2.36	1.97	1.85
Gm14431	0.0	0.2	0.0	8.87	7.17	8.34
Gm2518	0.0	0.0	0.0	0.38	0.18	0.37
Gm3230	0.0	0.0	0.0	5.06	4.73	4.69
Gm8898	0.0	0.2	0.0	8.87	7.17	8.34
Gpld1	7.19	0.0	0.0	39.21	37.07	39.52
Greb1	0.0	0.0	0.0	0.57	0.51	0.67
Gxylt1	0.0	0.0	0.0	9.29	8.33	8.27
Hapln2	0.0	0.0	0.0	17.51	18.9	20.68
Hipk2	0.0	0.0	0.0	28.24	24.43	35.6
L3mbtl1	0.0	0.0	0.0	14.17	12.31	13.53
Ldlrad3	0.0	0.0	0.0	9.04	7.94	8.8
Lef1	0.0	0.0	0.0	3.5	3.38	4.0
Lix1	1.39	1.68	1.1	45.55	42.23	45.91
Lpcat3	0.0	0.0	0.61	16.07	16.23	18.17
Lrrc16b	0.0	0.81	0.0	27.65	27.88	28.75
Lrrn2	30.17	0.0	0.0	70.86	81.35	80.0
Lrrn4	0.0	0.0	0.0	0.57	0.4	0.64
Lrwd1	0.31	0.0	0.0	10.91	10.44	11.16
Met	0.0	0.0	0.0	4.89	4.77	4.94
Mir331	0.0	0.0	0.0	16.5	12.43	3.41
Myo18a	0.27	0.07	0.0	73.68	77.26	81.45
Nlrp10	0.0	0.0	0.0	0.2	0.19	0.27
Nlrp1a	1.93	1.06	0.33	2.56	2.09	2.3
Ntn1	0.0	0.0	0.0	4.81	5.05	6.09
Nudt18	0.18	0.0	0.0	22.4	25.54	23.22
Numa1	16.4	8.79	0.0	43.64	43.15	46.99
Pamr1	0.0	0.0	0.0	34.14	34.31	32.92
Prdm4	7.71	0.0	0.0	20.98	20.98	20.76
Prdm5	0.0	0.0	0.0	2.72	2.86	2.81
Preb	11.57	3.48	0.0	31.97	33.28	32.16
Pskh1	0.0	0.0	0.0	6.82	7.66	9.05
Rbm33	3.01	7.38	2.63	31.73	30.47	35.36
Rfk	24.01	23.38	5.85	52.91	55.76	55.39
Rps6kl1	0.0	0.0	0.0	33.83	39.84	33.92
S1pr4	0.26	0.0	0.0	0.61	0.55	0.45
Sdc3	8.21	20.7	11.54	108.9	116.76	111.8
Secisbp2	0.0	0.0	0.0	13.44	14.92	15.37
Slc16a2	0.0	0.0	0.0	29.0	27.91	29.88
Slc27a1	0.73	4.43	0.81	59.69	63.37	60.96
Slc29a4	0.0	0.0	0.0	9.37	9.23	10.36
Smpdl3a	0.0	0.0	0.0	33.85	35.81	35.4
Smurf2	0.0	4.77	4.28	20.16	18.36	19.15
Stk11ip	0.0	0.0	3.27	22.95	24.4	24.19
Stk32a	0.0	0.14	0.12	5.65	5.24	4.58
Syt10	0.0	0.0	0.0	9.15	8.11	7.84
Taok2	0.67	0.74	0.18	75.09	76.41	76.63
Tmem132a	2.33	0.31	0.0	173.98	189.33	182.59
Tmem88	0.0	0.36	1.78	4.08	3.73	2.85
Tpst1	0.0	0.0	0.0	40.03	40.95	40.09
Ttc28	0.25	2.2	0.0	4.7	4.95	5.16
Uap1l1	0.0	0.0	0.0	19.37	21.58	15.01
Wbscr27	0.0	0.0	0.0	6.03	6.44	6.61
Zbtb1	0.0	0.0	0.0	9.39	7.47	7.94
Zbtb33	0.0	5.15	0.0	19.54	17.59	17.1
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK143357	0.0	0.0	0.0	2324.22	1112.25	1527.41
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	17.72	0.0	9032.87	8417.95	8583.15
