	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_1	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_2	Vip_tdTpositive_cell_69
1700016D06Rik	3.51	0.44	1.78	1.78	6.83	1.15	7.12	9.7	2.88	0.16	19.22	4.42	3.39	0.0	0.0	5.23	9.41
4933408N05Rik	0.57	1.68	0.6	1.07	3.39	3.28	3.36	3.67	1.9	0.0	6.7	4.83	0.41	0.62	0.0	4.19	5.6
9530082P21Rik	50.81	91.57	0.68	25.0	166.04	97.99	118.8	191.0	6.61	129.96	226.42	117.39	52.38	0.0	2.37	70.91	361.11
A430107P09Rik	23.73	32.96	22.04	42.67	90.84	71.72	88.56	68.66	61.34	13.23	89.49	181.83	53.06	18.24	0.0	110.49	188.21
Acsm2	0.06	0.7	0.89	1.1	6.77	1.18	1.37	1.47	1.12	0.0	2.01	1.68	0.32	0.0	0.0	1.76	3.02
Aldoart1	0.21	0.36	0.0	1.04	0.28	0.51	0.45	0.58	0.21	0.36	1.93	0.28	0.0	0.0	0.0	1.51	1.77
Cln8	0.06	0.71	0.0	0.17	28.31	0.41	0.7	1.06	0.84	0.0	2.24	0.93	0.37	0.36	0.0	1.21	1.45
Ctcf	0.0	0.0	0.0	0.09	41.22	0.0	0.0	8.88	13.45	0.0	91.89	0.05	0.0	0.0	0.0	75.1	87.96
Ctif	0.0	0.1	0.0	36.6	1.61	0.12	0.03	2.54	0.02	49.09	0.15	0.13	0.0	0.03	0.0	126.56	164.26
D130020L05Rik	2.34	0.83	1.84	0.52	4.47	1.98	2.21	3.1	1.9	1.02	4.26	4.48	1.79	0.61	0.0	5.59	213.26
E130008D07Rik	6.13	4.47	1.44	3.64	11.86	4.75	6.02	5.86	5.78	2.84	6.81	6.96	4.63	4.03	0.0	8.09	15.15
Epha5	90.06	12.55	0.0	3.31	1.08	0.0	65.35	0.2	0.0	45.28	80.61	0.17	0.05	0.0	0.0	0.16	152.72
Gjc3	6.86	17.5	31.52	27.67	96.98	40.0	42.57	47.82	31.42	9.35	56.44	73.71	30.77	4.51	17.2	66.26	92.48
Gje1	0.92	1.99	0.0	2.2	2.64	1.46	1.52	2.85	0.46	0.22	1.47	2.82	0.07	0.0	0.0	3.57	4.37
Havcr2	0.0	0.13	0.0	0.16	0.25	0.0	0.0	0.4	0.46	0.0	0.3	0.07	0.0	0.0	0.0	0.12	0.49
Kbtbd2	0.0	91.32	0.56	1.28	382.71	1.31	0.5	17.57	0.27	0.47	75.47	0.83	0.21	0.0	0.0	224.64	300.6
Mcts1	74.08	87.75	0.0	449.61	912.46	0.0	103.02	107.35	0.0	366.05	196.38	80.6	5.09	0.0	0.0	894.77	1032.05
Myo5c	0.0	0.05	0.0	0.0	0.08	0.02	0.13	0.06	0.3	0.0	0.29	0.05	0.0	0.0	0.0	0.2	0.22
Ntrk2	22.24	69.83	0.08	79.83	266.6	0.57	183.04	135.46	86.9	4.02	66.91	22.08	0.5	0.06	0.0	85.6	530.74
Oxsm	0.28	0.38	0.0	0.02	0.83	0.12	0.21	0.35	0.45	0.1	123.73	0.19	0.12	0.0	0.0	0.91	3.07
Pdap1	9.49	32.45	0.0	40.31	41.74	29.71	4.25	36.58	32.92	22.78	46.14	0.0	0.18	2.52	0.0	12.38	75.43
Ptprn2	0.0	99.1	0.0	42.9	190.58	126.84	26.2	122.91	122.29	51.41	269.39	71.36	89.6	0.09	0.0	72.54	299.97
Slc11a1	0.28	0.81	0.0	0.0	2.31	1.19	0.24	0.33	0.42	1.27	1.85	0.99	0.28	0.63	0.0	2.16	11.09
Tex2	59.52	71.39	0.0	0.0	56.75	0.0	42.62	78.73	31.61	101.26	124.03	59.12	32.73	0.0	0.0	28.86	178.28
Trim43a	0.22	0.0	0.0	0.19	0.32	0.0	0.25	1.97	0.48	0.46	1.47	0.79	0.22	0.0	0.0	6.52	3.84
Vip	48402.26	35690.76	0.0	42738.55	19221.37	25538.7	39789.49	34420.5	53179.5	46837.05	20217.1	23582.35	18099.69	0.0	0.0	14895.47	10182.14
