	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_37	Gad2_tdTpositive_cell_52	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_84	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_13	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_55	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_67	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
1700052N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.98	0.0	0.0	0.0	0.0	0.0	0.0	165.6	0.0	0.0	9.06	60.6	0.0	0.0	0.0	0.0	80.72	0.0	0.0	122.07	1.03	0.0	188.79	0.0	0.0	0.0	0.0	0.21	0.0	0.0
2010002M12Rik	0.0	0.0	9.15	0.0	0.0	5.6	0.0	50.23	11.23	2.26	0.62	1.14	1.33	7.24	7.49	9.82	5.03	6.64	1.25	0.91	2.64	0.55	3.02	7.08	2.53	8.43	85.55	6.96	0.62	6.11	1.68	1.93	0.0	14.44	3.04	0.15	4.86
2410002F23Rik	0.36	0.0	0.0	141.43	39.12	123.04	0.0	213.08	0.0	149.29	0.0	143.51	52.95	0.0	145.43	31.24	105.81	137.28	51.05	178.26	94.5	0.05	0.0	91.33	53.71	76.94	161.26	146.09	0.15	168.35	0.85	0.0	0.0	283.69	0.0	0.26	7.51
5730409E04Rik	0.45	37.98	0.75	134.18	9.55	177.02	0.34	98.38	0.33	0.93	0.72	1.23	1.24	235.13	14.72	0.56	30.52	1.87	12.44	0.18	2.39	96.61	1.1	1.08	61.86	6.16	0.0	48.93	4.04	100.76	4.11	0.98	0.0	136.35	9.55	0.92	86.72
9030025P20Rik	0.0	0.0	0.0	5.59	0.0	0.0	0.0	46.6	4.71	3.43	0.17	0.0	0.0	22.85	4.15	0.23	57.09	6.18	1.06	2.15	0.19	0.0	0.0	6.1	0.0	3.52	5.41	0.0	0.0	0.29	2.9	5.98	0.0	81.49	0.0	0.0	4.21
Abi1	102.87	0.0	115.48	105.32	119.01	0.0	0.0	190.41	0.0	35.0	104.4	184.37	113.63	181.57	150.1	0.0	201.41	34.35	7.98	69.91	0.2	68.43	124.41	72.28	115.28	78.45	67.36	287.08	90.91	255.15	74.39	0.0	0.0	0.05	0.0	61.8	247.6
Abt1	13.37	17.93	7.08	4.25	3.21	1.53	1.7	66.26	75.04	44.76	9.56	4.14	4.01	12.69	39.76	6.96	12.55	13.15	26.41	5.13	1.19	16.08	4.75	28.42	5.94	21.74	23.18	26.02	5.21	40.21	9.51	0.81	0.18	6.91	4.48	7.39	39.81
Accn1	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.48	0.0	2.41	0.13	0.0	0.0	106.78	0.33	0.0	119.25	0.28	0.0	0.19	0.0	4.88	0.0	0.0	0.13	97.75	1.14	46.64	122.48	71.25	2.32	0.0	0.0	0.2	0.0	0.0	0.21
Arl5b	0.21	2.32	0.62	0.19	0.36	0.0	0.0	32.94	0.0	0.29	0.0	0.0	0.0	0.42	0.37	0.23	0.11	18.99	0.15	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.07	0.38	0.0	0.0	0.0	0.05	0.14	0.97	0.0
Arrb1	0.04	1.96	36.06	66.91	0.0	0.0	0.0	69.38	0.0	3.25	2.59	3.27	0.0	30.13	26.42	0.75	33.24	6.37	32.13	0.0	1.78	4.55	0.0	31.24	27.12	21.87	17.1	17.15	42.39	37.35	26.27	0.0	0.0	57.78	36.59	0.0	2.08
