	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_17	Vip_tdTpositive_cell_16
0610037L13Rik	0.0	0.59	0.0	3.4	76.76	82.69	93.05	46.43	63.52	116.91	71.68	34.2	68.71	0.0	79.81	1.38	144.99	1.01	555.6	0.0	70.91	50.43	0.0	0.0	0.0	0.0
6720456B07Rik	0.0	306.2	0.0	735.65	722.99	436.96	769.11	727.54	518.55	461.88	499.27	466.99	357.29	976.02	1.11	1148.92	298.55	0.73	1871.19	0.0	800.05	241.97	0.0	0.0	0.0	0.35
Aagab	0.0	35.33	0.0	82.3	64.55	67.04	142.69	22.82	23.47	26.23	92.83	150.95	22.41	0.12	0.46	1.12	126.61	0.3	885.32	0.0	71.28	0.0	0.0	0.0	0.0	0.0
Atg12	0.0	0.12	0.0	54.73	67.21	0.19	82.91	29.76	0.0	67.18	1.4	1.78	13.61	0.78	0.12	0.0	158.38	0.0	1002.12	0.0	0.13	0.0	0.0	0.0	0.0	0.0
Brp44	0.0	65.6	0.0	178.25	237.05	261.12	98.8	31.9	41.59	115.5	273.71	20.04	127.47	0.0	115.32	607.95	68.83	0.0	427.48	0.0	243.61	46.16	0.0	0.0	0.0	0.0
Csnk1g1	0.0	0.08	0.0	82.6	4.6	23.48	14.77	45.01	25.47	10.67	21.74	2.52	0.05	0.0	0.0	0.0	55.66	0.0	144.91	0.0	77.42	20.84	0.0	0.0	0.0	0.05
Cstf2	0.0	0.0	0.0	11.81	41.16	34.66	0.0	79.97	32.61	5.36	2.07	94.07	56.16	0.0	1.11	0.0	114.42	0.0	337.42	0.0	2.5	88.6	3.41	0.0	0.0	0.0
Eif3k	0.0	265.84	0.0	28.34	499.73	545.69	657.99	485.78	534.41	857.84	376.04	60.69	720.82	0.88	0.4	21.92	570.31	1.05	791.96	0.0	618.54	434.07	0.0	0.0	0.0	435.65
Fdft1	0.0	0.24	0.0	81.37	100.23	143.32	311.25	64.15	272.62	7.64	40.61	113.62	85.82	0.22	0.31	0.51	534.49	0.27	258.68	0.0	266.3	21.9	0.0	0.0	0.0	0.0
Foxn3	0.0	0.0	0.0	4.97	0.0	6.68	48.46	88.89	30.02	0.0	0.27	1.92	10.12	0.62	0.45	1.68	17.36	1.19	390.2	21.14	64.88	0.0	0.0	0.4	0.0	0.0
Gm12669	0.54	22.6	0.0	220.25	120.78	139.92	65.66	265.66	205.03	139.59	123.42	47.44	40.88	0.0	0.0	0.75	192.88	0.0	475.83	0.61	112.05	24.78	0.0	0.0	0.0	0.0
Hmox2	0.0	439.02	0.0	249.52	187.51	380.94	305.03	287.13	186.27	324.29	124.65	353.38	174.46	0.39	0.25	1.58	532.83	0.0	1066.61	0.0	141.99	40.08	0.0	0.0	0.0	0.31
Ift52	3.98	60.48	0.0	0.0	44.93	53.27	57.13	5.59	150.16	0.0	0.0	0.26	0.0	0.0	28.44	0.0	94.9	4.03	1451.58	0.0	81.7	51.31	0.0	0.0	0.0	0.0
Mir690	16968.11	25738.25	8538.99	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	32522.04	27509.93	22371.82	44948.68	18757.58	42282.55	27759.51	35532.88	48007.3	23496.94	15861.36	26521.64	19413.83	1942.92
Rpl18	233.31	92.12	638.05	4.08	159.42	118.04	165.35	253.91	109.96	368.03	162.16	396.91	142.59	114.22	0.0	1.15	223.23	1.21	619.94	58.3	245.06	74.38	0.0	4.92	0.0	6.71
Sumo3	0.21	168.15	0.0	151.01	307.98	127.68	206.08	0.16	156.67	85.41	65.82	32.14	43.66	0.78	0.0	0.59	144.17	0.0	711.04	0.0	89.62	481.62	1.2	0.0	0.0	0.15
Tsc22d1	0.32	134.95	0.0	980.52	112.91	271.3	174.01	171.79	173.08	427.35	164.39	141.91	185.6	0.19	220.84	3.11	115.93	0.0	1592.79	0.0	297.63	154.42	1.23	0.0	34.54	0.0
Tsga10	0.0	0.0	0.0	4.93	16.42	3.86	26.4	1.84	15.35	15.44	30.0	0.16	22.89	0.0	0.0	0.0	24.59	0.0	143.23	0.0	5.79	0.0	0.0	0.0	0.0	0.0
Vps29	0.56	334.65	0.0	389.65	725.56	1046.31	1291.87	973.63	953.6	798.87	819.23	1015.09	891.18	0.34	0.94	0.78	377.35	0.0	2440.27	0.0	648.25	253.49	0.0	450.69	0.0	0.0
