	Ctgf_tdTpositive_cell_19	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Rbp4_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7
Adra2a	9.63	0.0	13.1	3.5	0.0	0.0	0.0	0.0	0.0
Agtpbp1	15.37	0.0	49.98	10.96	6.03	0.0	0.13	7.9	0.0
Arpc3	308.28	112.05	305.35	260.47	0.0	0.0	0.0	0.58	0.0
Atp2b4	54.07	0.0	59.83	60.38	0.08	0.0	0.0	0.29	0.0
Atp6ap2	1803.52	331.77	3047.56	1724.95	215.2	271.59	277.06	1.2	175.95
B230209E15Rik	63.63	0.21	163.27	61.13	0.32	0.33	0.18	0.46	0.0
Baiap2	344.02	0.0	397.34	386.64	0.0	0.0	0.0	0.95	0.0
Bmp3	5.85	0.0	102.15	222.02	0.0	0.25	0.04	0.3	0.35
Btbd2	55.75	0.0	66.42	26.76	0.0	0.0	0.12	24.3	0.0
Camk2a	41.65	0.0	56.59	18.92	0.3	0.25	0.17	0.23	0.36
Ccl27b	119.29	0.0	16.68	0.8	0.0	0.0	0.0	0.0	0.0
Chrm1	17.52	1.62	30.25	15.18	2.07	3.53	0.53	4.96	2.05
Cpe	2080.11	0.0	2095.82	2366.55	0.0	215.68	115.28	957.98	315.19
Ctgf	94.06	0.0	35.83	85.0	0.0	0.0	0.0	0.0	0.0
Dctn3	603.21	121.51	254.52	301.47	355.99	193.93	203.91	0.82	26.73
Diras2	21.22	0.06	26.2	17.11	0.15	0.04	0.0	0.33	0.13
Dlc1	31.68	0.0	51.61	15.14	0.2	0.05	0.0	0.08	0.0
Efna1	74.98	0.0	271.59	0.0	0.0	0.0	0.0	0.33	0.0
Fbxo21	166.97	0.0	167.04	6.59	0.0	0.09	0.0	0.12	0.0
Fbxo41	25.82	0.0	63.92	26.86	0.0	0.0	0.0	0.0	0.0
Gm13306	119.29	0.0	16.68	0.8	0.0	0.0	0.0	0.0	0.0
Gm2506	119.29	0.0	16.68	0.8	0.0	0.0	0.0	0.0	0.0
Gm3264	7.59	0.0	30.52	23.46	0.0	0.0	0.0	0.0	0.0
Gm3317	9.75	0.0	7.69	4.08	0.0	0.0	0.0	0.49	0.0
Gm3494	9.75	0.0	7.69	4.08	0.0	0.0	0.0	0.49	0.0
Gsta4	158.71	0.0	431.51	164.66	0.0	0.0	0.0	1.03	0.0
Igfbp4	3.95	0.0	147.63	186.49	0.0	0.0	0.0	0.0	0.0
Kcnab1	508.65	0.0	270.69	564.35	0.0	0.0	0.0	0.0	0.0
Kcnip4	160.28	0.0	22.79	255.71	0.0	0.0	0.0	0.0	0.0
Kcnj2	44.86	0.0	58.28	36.72	0.0	0.0	0.0	0.0	0.17
Lrp8	28.84	0.1	26.25	56.73	0.1	0.16	0.12	0.5	0.15
Man2b1	51.81	0.0	87.49	103.56	67.13	0.0	30.22	0.0	0.0
Miat	53.83	0.0	49.55	3.88	0.0	0.0	0.04	0.05	0.0
Nfia	157.03	18.09	115.69	110.27	55.05	10.04	8.99	55.41	50.9
Pde2a	198.19	0.0	149.74	278.91	0.0	0.0	0.0	0.12	0.0
Psma4	448.14	160.62	499.28	568.97	20.23	765.94	0.0	1.34	147.53
Ptp4a3	44.61	3.17	46.45	40.53	10.95	4.65	9.89	15.55	12.99
Rasgrp1	254.09	0.0	299.33	126.33	0.0	0.07	0.18	0.28	0.21
Rgs17	37.18	0.0	32.36	25.15	3.79	0.0	0.01	0.05	0.0
Rxfp1	66.87	0.0	29.47	49.45	0.0	0.0	0.0	0.0	0.0
Sez6	175.68	0.0	154.94	74.47	0.0	0.0	0.0	0.23	0.0
Sfxn5	83.38	0.0	108.12	112.26	0.0	0.0	0.0	0.39	31.96
Slc1a2	382.15	0.09	600.21	305.7	0.6	0.94	0.21	1.89	0.13
Slc8a1	113.69	0.02	161.76	23.31	0.0	0.0	0.0	0.05	0.0
Sorbs2	52.73	0.0	109.19	74.64	0.0	0.0	0.0	0.15	0.0
Sprr2a1	0.18	0.0	0.06	0.07	0.0	0.0	0.05	0.0	0.0
Sprr2a2	0.18	0.0	0.06	0.07	0.0	0.0	0.05	0.0	0.0
Srcin1	15.21	2.56	47.46	12.64	0.18	1.08	35.74	0.07	7.31
Srgap3	34.85	0.07	16.98	8.08	0.05	0.84	0.17	2.13	0.32
Tuba1a	6779.57	22589.36	5900.52	8164.89	24689.95	23949.8	37658.41	41271.05	31367.43
