	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Gad2_tdTpositive_cell_75	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700022P22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.65	0.0	0.0	0.0	0.0	38.86	0.0	0.0	0.0	0.75	0.94	1.03
1700047I17Rik2	2.63	0.8	1.23	8.99	0.0	6.82	6.7	21.56	12.74	3.65	0.58	15.72	3.32	1.24	7.31	13.64	11.24	5.43	0.63	17.56	16.4	17.92
1700084C01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	15.68	14.12	14.97
Acap3	0.0	0.0	1.73	0.0	0.0	8.59	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.09	0.0	31.53	5.14	0.0	0.0	87.43	91.26	87.93
C77370	0.0	0.0	0.0	0.0	0.0	0.0	19.07	3.16	2.98	6.99	0.0	0.18	0.0	0.0	2.09	23.27	1.27	0.0	0.0	12.25	10.61	13.12
Calu	0.26	0.0	108.57	7.86	0.0	69.26	120.58	0.0	63.63	58.19	0.0	59.32	59.16	93.01	207.5	215.26	121.99	79.88	0.13	65.58	65.24	63.15
Cass4	0.2	0.0	0.14	0.42	0.0	0.32	0.01	0.81	13.53	0.0	0.0	0.23	0.09	0.3	0.0	27.05	0.0	0.21	0.11	2.32	1.59	2.18
Cntn3	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	1.99	0.0	14.23	0.0	0.0	0.0	0.62	28.3	7.59	0.0	0.0	15.73	14.9	16.69
Cyp51	0.0	0.0	24.42	0.0	0.0	33.23	3.93	24.09	30.22	6.97	6.33	0.0	0.0	1.88	28.22	65.3	20.3	37.87	1.89	44.42	44.22	41.2
Dirc2	3.43	0.0	0.99	7.1	0.0	0.66	0.67	3.31	19.12	2.32	2.95	2.92	0.39	0.37	0.96	41.7	20.43	1.37	0.52	38.97	41.16	39.36
