	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_37	Nos1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_72	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_22	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
1700047I17Rik2	0.08	3.28	2.06	12.77	2.41	34.36	11.32	9.49	1.75	18.14	24.95	3.31	18.6	5.88	1.16	6.5	14.42	14.19	19.02	12.19
2610301G19Rik	0.0	21.12	0.0	0.0	0.0	0.0	0.0	21.13	0.74	0.23	0.0	0.06	47.08	0.0	0.0	3.01	9.98	9.7	4.01	0.0
2810429I04Rik	1.36	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.63	4.8	0.0	0.0	16.95	0.0	0.0	0.0	14.51	5.75	4.51	0.0
Actn2	0.0	1.5	3.12	10.57	0.22	0.78	16.79	0.92	0.45	2.33	0.0	0.28	26.88	0.0	4.76	6.47	0.39	6.45	3.9	0.0
Adipor1	15.83	3.58	3.05	38.94	168.79	9.92	3.15	0.66	1.02	7.63	51.14	3.31	112.55	1.25	0.48	25.34	22.4	15.42	21.09	15.37
Alas1	0.0	0.0	0.0	338.81	81.47	149.03	169.76	76.92	0.76	102.77	117.63	108.14	324.78	12.45	0.0	55.77	119.59	99.66	86.77	185.25
Aldoa	10293.64	13597.95	9850.02	12406.05	9528.25	12801.23	13515.12	14715.13	13848.9	11924.07	12605.63	10987.04	5939.67	11283.91	8617.03	8589.9	7959.61	10997.44	10660.26	12521.72
Ap4m1	0.0	0.0	0.0	0.0	0.0	82.12	6.54	0.0	0.0	0.0	0.0	106.28	130.29	0.0	0.0	14.09	9.74	11.99	13.73	0.0
Aqr	0.0	3.1	0.13	0.0	0.07	0.0	2.18	8.84	0.0	10.37	3.0	0.0	39.17	0.0	0.0	6.24	1.28	11.16	12.88	1.45
Ascc2	0.0	0.0	0.0	0.0	0.0	12.93	0.0	0.0	0.0	22.77	0.0	0.0	87.54	0.0	0.0	4.86	6.69	4.5	5.47	0.0
Asnsd1	0.0	9.55	0.0	0.65	0.0	0.69	0.0	0.0	0.0	0.22	0.0	7.24	17.61	0.0	0.0	0.0	0.13	2.78	4.87	0.0
B3galt6	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.44	0.0	35.39	0.0	0.0	0.0	4.85	6.94	1.62	0.0
BC057079	0.0	0.0	151.99	0.0	0.0	9.14	9.41	0.46	11.15	4.56	0.0	0.0	62.29	0.0	1.8	3.99	6.34	8.75	9.18	0.67
Bms1	0.0	26.1	0.0	36.09	0.0	0.08	0.07	0.0	1.35	6.73	21.78	57.44	48.7	35.53	0.0	8.32	3.4	5.18	9.4	0.0
Cntfr	0.0	0.0	4.58	0.0	0.0	0.52	2.56	0.0	0.0	0.0	0.0	0.0	10.73	196.28	0.0	0.0	0.0	0.54	0.18	0.0
Cntrob	0.0	21.82	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	25.55	0.0	0.0	3.98	0.08	1.3	1.14	0.0
D330012F22Rik	0.49	0.76	0.18	47.36	0.17	97.44	0.55	5.66	0.25	0.83	0.49	0.79	107.39	0.37	0.14	13.38	9.39	9.07	9.23	0.58
Daam1	0.0	3.03	0.0	5.38	0.06	0.0	0.05	0.0	3.81	1.22	23.61	0.07	0.04	0.0	2.02	1.1	0.74	3.13	2.46	0.05
