	Cux2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_16	Pvalb_tdTpositive_cell_67	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175
5430421F17Rik	2.55	0.0	2.14	5.65	14.37
Brip1	9.19	3.7	9.49	64.81	78.81
Cd8b1	2.75	0.0	6.38	21.28	37.38
Cyp2j5	3.54	0.08	5.21	32.91	74.93
E330020D12Rik	14.4	0.0	17.02	83.27	131.14
Gata5	1.99	0.0	7.48	17.5	33.78
Gm20187	3.06	0.0	11.59	40.84	155.82
Gm5136	0.0	0.0	0.0	664.01	458.44
Inhba	2200.0	0.0	0.0	0.79	3228.45
Mageb16-ps1	13.36	0.0	14.47	26.6	73.62
Mir466f-2	0.0	0.0	15.73	120.32	161.55
Mrgpra4	0.0	0.0	0.0	5.75	7.97
Myo15	0.0	0.0	0.02	0.22	0.25
Pdf	0.0	0.0	0.35	1.1	1.25
Tet2	26.73	0.06	64.08	513.89	378.79
Ttc14	0.0	0.0	26.91	605.95	219.91
c15_tRNA-Gly-GGG	0.0	0.0	13.45	62.92	91.8
