	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_65	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700024P16Rik	0.0	0.0	0.0	1.92	1.8	1.98
1700120K04Rik	0.0	0.0	0.0	1.15	0.72	0.99
2810030E01Rik	0.0	0.0	0.0	6.23	6.35	6.67
2900079G21Rik	0.0	0.0	0.0	22.13	25.02	21.82
4930500J02Rik	0.0	0.0	0.23	2.3	1.97	3.37
A430110N23Rik	0.0	0.0	0.0	1.89	1.74	1.93
Adamtsl2	0.0	0.0	0.0	4.25	4.61	4.58
Aldh1a1	0.0	0.0	0.0	52.79	48.87	55.14
Anks6	0.0	0.0	0.0	8.63	8.4	9.75
Arhgap10	0.0	0.0	0.0	20.74	20.65	19.65
Arsg	0.0	0.0	0.0	15.74	17.26	16.69
Aspn	0.0	0.0	0.0	1.51	1.27	0.83
Atp10d	0.0	0.0	0.0	2.62	2.58	2.64
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3galtl	0.0	0.0	0.0	14.82	14.88	13.76
B830017H08Rik	0.0	0.0	0.0	4.14	4.71	3.53
BC021891	0.0	0.0	0.0	2.15	2.35	2.47
Baiap2	0.0	0.0	0.0	230.8	247.09	237.92
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cbfa2t3	0.0	0.0	0.0	10.01	9.85	9.29
Ccdc61	0.0	0.0	0.0	8.43	9.34	10.03
Cdh24	0.0	0.0	0.0	10.45	10.94	11.28
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrna4	3.24	0.09	0.0	23.26	21.43	25.01
Clec18a	0.0	0.0	0.1	6.51	4.43	5.77
Col6a1	0.0	0.0	0.0	53.34	50.78	59.21
Cpne4	0.0	0.0	0.0	50.29	51.56	46.45
Cpne9	1.55	0.39	0.72	41.51	35.51	40.38
Csf1	0.0	0.0	0.0	11.57	12.8	12.69
Csgalnact1	0.0	0.0	0.0	14.31	15.26	16.08
Cspp1	0.77	9.49	4.21	14.17	11.85	13.71
Dok3	0.0	0.0	0.0	9.22	10.09	8.79
E030003E18Rik	0.0	0.0	0.0	13.19	10.67	11.31
Efcab10	0.0	0.0	0.0	3.2	3.6	3.83
Fam132a	0.0	0.0	0.0	19.02	20.52	16.2
Fam19a1	0.0	0.0	0.0	28.25	26.68	31.03
Fam20c	5.64	0.13	0.0	29.59	30.66	29.16
Fat1	0.0	0.0	0.0	12.35	11.48	14.61
Fcer2a	0.15	0.0	0.46	1.19	1.04	1.56
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fxyd1	0.0	0.0	0.0	50.42	54.54	44.28
Fxyd5	0.0	0.0	0.0	23.87	23.16	19.87
Gfpt2	0.0	0.0	0.0	7.86	8.08	8.35
Gm11985	0.0	0.0	0.0	0.4	0.66	0.1
Gm12359	0.0	0.0	0.0	1.87	2.46	2.9
Gm13293	0.0	0.0	0.0	2.35	2.39	2.82
Gm16796	0.64	0.39	0.55	1.12	0.93	1.28
Gm8179	0.0	0.25	0.24	0.49	0.31	0.35
Gxylt1	0.33	0.05	0.12	9.29	8.33	8.27
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hrh1	0.0	0.0	0.0	9.22	8.93	8.41
Itih5	0.0	0.0	0.05	14.03	13.64	13.59
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Litaf	0.0	0.0	0.0	14.73	17.0	19.23
Lpar2	0.0	0.0	0.0	0.66	0.62	0.44
Mast3	0.0	0.0	0.13	128.92	128.23	132.72
Mgat1	0.25	0.0	16.19	43.12	47.31	46.19
Ncapg	0.0	0.0	0.0	0.4	0.41	0.23
Net1	0.0	0.0	0.0	24.75	27.28	24.52
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Osbpl7	0.0	0.0	0.0	11.44	11.59	12.15
Otud1	0.0	0.0	0.0	27.69	27.04	25.24
Pawr	0.0	0.0	0.0	3.26	3.17	2.41
Pde6d	0.0	0.0	0.0	61.99	69.34	64.86
Pex11c	0.0	0.0	0.0	1.43	1.43	1.29
Pomt2	0.0	0.0	0.62	14.27	14.89	16.93
Ppp1r2	89.48	71.67	47.02	107.87	115.66	108.77
Rasal1	0.0	0.0	0.0	75.91	82.82	74.05
Rbm12b	0.0	0.0	0.0	14.18	12.33	13.27
Rbm15b	0.1	0.0	0.0	30.71	31.95	32.35
Rgs3	4.43	0.0	0.0	17.25	17.99	19.24
Safb2	0.0	3.45	0.0	55.44	61.77	56.06
Slc17a7	0.0	0.0	0.0	1060.92	1095.63	1130.72
Slc24a3	0.0	37.43	33.75	102.8	101.41	101.16
Slc24a4	0.0	0.0	0.0	35.33	30.3	34.96
Stk35	0.06	0.0	0.0	17.16	15.14	16.16
Tap2	0.0	0.0	0.0	7.0	8.13	8.42
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d10c	0.0	0.0	0.0	1.87	1.86	2.22
Tmem100	0.0	0.0	0.0	15.22	12.58	13.96
Tmem81	0.0	0.0	0.0	4.34	4.87	5.42
Tradd	0.0	0.0	0.0	8.02	8.98	8.2
Trp53i11	0.0	0.0	0.06	62.11	61.3	67.08
Trpm4	0.0	0.0	0.0	9.98	9.61	9.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tub	36.6	0.91	33.03	106.14	109.45	103.21
Uap1l1	0.0	0.0	0.0	19.37	21.58	15.01
Vav2	0.0	0.0	0.0	7.34	7.05	7.96
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Xkr4	1.37	0.0	0.0	18.96	14.85	19.92
Zc3h12d	0.19	0.0	0.0	0.07	0.05	0.09
Zfhx4	0.0	0.0	0.0	2.8	2.61	3.19
Zfp362	0.0	0.0	0.0	24.43	25.82	24.37
Zfp526	0.0	0.0	0.0	7.22	6.28	6.61
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK131592	12.54	0.0	42.34	516.38	499.49	494.56
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	12.16	0.0	0.0	9032.87	8417.95	8583.15
