	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930448I06Rik	0.54	0.86	0.43	0.7	0.27	0.0	1.36	1.12	1.43
4933427D14Rik	0.0	28.42	0.1	3.16	0.0	0.0	27.83	24.0	28.15
5730494M16Rik	208.84	177.81	46.1	161.14	0.77	17.7	33.93	31.62	30.82
6530418L21Rik	0.07	0.45	0.16	0.05	0.23	0.18	62.45	58.55	56.76
8430427H17Rik	0.0	57.35	0.0	0.27	0.0	0.0	26.31	26.72	26.51
9130015A21Rik	0.0	0.47	0.0	0.0	0.0	0.0	0.29	0.18	0.34
9530008L14Rik	0.43	1.31	0.15	0.49	0.29	0.38	1.55	1.21	1.85
AI848285	0.0	3.8	0.0	0.0	0.0	0.0	5.18	7.32	6.53
AV039307	0.0	8.49	0.0	0.0	0.0	0.0	2.1	1.26	1.32
Acot8	0.0	75.53	0.0	0.0	0.0	0.0	14.85	17.29	15.97
Acvr1	0.0	61.94	0.0	1.12	0.0	0.0	25.98	25.09	24.67
Adamts10	0.0	14.95	0.0	0.0	0.0	0.0	14.1	15.86	15.95
Akt3	21.57	46.28	0.19	1.26	0.0	0.0	103.0	96.58	98.7
Alyref	2.28	32.82	3.5	9.72	13.96	14.65	29.64	33.9	25.75
Angptl6	0.0	38.48	0.0	0.0	0.0	0.0	8.46	9.19	8.25
Ankfy1	17.98	28.08	2.21	2.36	0.54	15.34	21.61	21.47	21.31
Arntl2	0.0	22.09	0.0	0.0	0.0	0.0	7.64	6.09	7.49
Atrn	10.9	76.17	2.17	19.67	7.12	0.0	85.45	83.79	91.7
Bicd2	0.0	29.58	0.05	0.0	0.08	0.0	39.32	38.42	41.42
Btn2a2	0.0	52.07	0.0	0.0	0.0	0.0	1.19	1.06	1.33
Caprin2	0.0	32.8	0.0	0.0	2.5	0.0	6.21	6.47	6.66
Ccl27b	0.0	16.47	0.85	9.34	0.6	0.0	30.63	28.29	22.96
Cdk14	21.74	51.05	0.28	19.66	0.07	0.0	106.05	101.35	101.53
Cdk8	0.0	43.31	0.09	0.0	3.91	0.0	24.74	25.38	24.4
Col4a2	0.0	0.0	0.24	0.0	0.05	0.0	25.54	27.44	33.03
Cpox	6.96	30.49	9.84	4.28	1.72	11.51	40.77	42.88	42.65
D11Wsu47e	0.0	56.43	0.0	0.0	0.0	0.0	10.91	9.64	10.24
Dbr1	0.0	55.77	0.11	0.0	6.5	0.0	13.85	14.25	13.47
Dhx30	62.91	132.15	1.39	34.91	16.38	4.4	74.1	73.69	72.53
Dmxl1	3.85	33.38	1.7	11.29	4.49	0.09	17.64	14.36	17.98
Dsg3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.02
Dus3l	0.24	97.44	68.45	16.89	0.3	78.74	61.86	69.77	66.39
Dusp11	5.2	66.83	27.61	0.0	0.0	0.0	36.65	35.04	37.2
Ezh1	17.95	81.12	2.94	0.37	20.63	52.5	39.89	43.81	40.12
Fam198a	0.0	0.45	0.18	0.09	0.0	0.0	6.38	5.48	5.09
Fam63a	0.0	92.98	0.8	0.0	0.0	0.0	16.34	18.08	17.05
Fat1	0.0	10.29	0.0	0.0	0.0	0.0	12.35	11.48	14.61
Fgf1	0.21	20.92	0.0	0.0	0.0	0.0	29.53	29.14	33.48
Flnb	1.09	29.13	4.46	11.72	6.44	14.8	31.47	27.21	33.32
Fmo2	0.0	0.14	0.0	0.0	0.0	0.0	1.45	0.72	0.61
Gm13306	0.0	16.47	0.85	9.34	0.6	0.0	30.63	28.29	22.96
Gm2506	0.0	16.47	0.85	9.34	0.6	0.0	30.63	28.29	22.96
Gpr161	0.0	17.82	0.0	0.21	0.0	1.39	7.88	7.52	7.83
Gtf2i	64.5	102.14	0.16	37.8	0.08	4.68	145.04	143.46	144.4
Hcn3	7.55	65.56	0.0	0.0	0.11	0.0	11.89	12.1	12.24
Hps1	0.0	2.08	0.08	0.0	0.0	0.0	12.86	13.87	13.5
Hrh3	0.0	56.39	0.0	0.0	0.0	0.0	87.46	108.01	84.09
Hs3st4	0.0	0.29	0.32	0.0	0.12	0.19	55.2	59.87	55.44
Hspa1l	0.0	19.73	0.0	0.0	0.0	1.56	12.68	13.03	10.62
Ift140	0.09	4.9	0.39	0.0	0.0	0.0	14.92	14.63	14.55
