	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_11	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
1500009C09Rik	0.0	4.69	26.78	12.23	65.22	56.36	25.63	0.0	0.0	0.0	177.5	4.14
8430410K20Rik	0.0	77.86	183.56	136.58	0.0	197.76	127.43	0.0	0.0	0.0	212.97	64.4
Accn4	0.0	0.0	0.0	0.07	10.15	0.0	0.0	0.0	0.0	0.0	47.4	2.39
Acly	0.11	45.35	118.88	91.06	0.0	32.71	82.6	0.0	0.0	0.0	215.01	96.69
Alg2	0.0	418.8	121.86	205.6	0.76	174.69	95.85	0.18	0.0	0.0	235.68	135.53
Apba1	0.0	24.26	28.8	26.31	0.11	0.0	38.07	0.0	0.0	0.0	0.22	0.07
Bend6	0.0	46.76	1.94	89.91	1.93	0.62	79.17	0.0	0.0	0.0	137.92	0.0
C530008M17Rik	0.0	6.86	11.12	7.78	0.0	0.0	13.17	0.0	0.1	0.0	61.28	16.05
Cacybp	0.0	290.34	116.56	2.6	45.59	75.43	216.86	0.0	0.0	0.0	337.26	40.8
Caprin1	0.0	111.07	62.39	48.8	7.15	36.69	88.01	0.0	0.0	0.06	79.85	6.85
Cct3	0.26	650.09	315.2	244.28	537.46	463.64	451.52	0.56	0.35	0.2	48.64	404.61
Cct7	0.0	1126.85	816.15	678.61	1032.44	744.85	1375.35	0.67	0.83	0.16	910.51	964.78
Cnr1	0.0	18446.25	33283.94	19184.04	19681.78	22064.64	33041.05	0.0	0.0	0.0	25768.68	23267.78
Disp2	0.0	90.76	84.27	6.51	58.1	22.92	68.44	0.0	0.1	0.0	187.65	21.67
Dlg2	0.0	28.84	18.36	106.69	8.22	28.57	58.79	0.0	0.0	0.0	88.63	19.95
Dnajc18	0.58	117.09	131.21	224.8	416.05	241.21	138.33	0.0	0.94	0.07	90.77	133.66
