	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700102H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.06	0.37	0.17	0.0
3010001F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	17.92	5.16	3.44	3.25
9330151L19Rik	0.0	0.0	0.0	0.0	0.0	5.15	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.32	22.66	23.63	26.04
A630019I02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.17	0.0
A930004D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	3.04	3.56	3.04
Acaca	0.0	0.0	0.03	0.0	3.72	0.0	0.12	2.17	0.2	3.55	0.0	0.0	4.43	11.22	0.0	16.61	26.22	1.95	3.33	2.21	0.64	0.0	0.19	27.31	30.97	27.93	30.45
Acot10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.49	0.33	0.16	0.35
Aff4	0.0	0.0	0.22	0.88	6.38	13.66	11.71	0.16	8.03	2.73	10.17	12.7	15.26	27.16	4.48	6.85	24.28	14.58	0.83	6.41	19.32	1.21	21.51	51.05	66.34	58.22	61.93
Ankrd11	0.0	0.0	0.79	6.05	1.43	17.33	20.17	7.98	3.81	8.1	8.91	11.83	13.94	23.43	4.3	9.76	13.95	14.93	13.56	15.14	4.53	0.08	0.0	40.62	68.95	66.1	72.81
Arrdc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	102.2	6.49	8.24	6.55
Barx2	0.0	0.0	0.0	16.46	0.0	0.0	0.0	0.0	4.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62	4.73	3.78	1.57	2.7	0.0	0.0	89.83	5.11	6.27	6.13
Bzrap1	0.0	0.0	0.0	0.06	0.0	1.6	0.28	0.11	0.68	0.0	1.75	4.33	0.95	0.96	16.5	0.34	23.73	4.78	2.13	0.0	0.0	0.09	2.37	26.73	137.24	134.23	146.03
Cant1	0.0	0.0	0.0	0.0	0.0	0.0	21.64	0.0	0.0	19.32	0.0	0.0	0.29	0.0	21.36	0.66	0.0	7.53	0.0	0.0	0.0	0.0	0.0	58.19	38.78	41.27	41.8
Car14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	3.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.12	9.6	11.44	9.03
Ccdc144b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12	0.0	0.0	0.0
Cdc42ep4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.27	23.42	25.96	22.87
Cyth2	0.0	0.0	33.75	0.0	3.79	10.09	14.84	0.16	15.33	4.3	39.72	0.0	18.84	0.0	31.12	12.43	0.0	0.0	1.86	0.0	0.0	0.0	0.0	87.04	68.24	74.9	71.28
Ddb1	96.5	0.0	48.2	0.57	80.9	59.15	105.16	49.76	72.37	91.02	111.63	115.11	76.5	81.28	100.78	6.93	188.98	85.05	1.49	120.36	104.5	62.52	67.17	295.51	150.4	153.45	150.5
Diras1	0.0	0.0	1.87	0.0	25.09	3.69	33.58	0.56	17.21	14.35	26.68	7.2	10.0	25.83	23.52	73.45	19.23	18.62	21.25	26.08	2.51	2.88	9.43	76.91	80.08	87.79	81.48
Dtwd1	0.0	1364.4	56.31	0.0	0.0	64.51	0.0	0.0	10.05	3.39	53.49	0.0	0.0	138.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	317.9	10.06	12.71	12.69
E2f6	0.0	0.0	25.58	17.23	0.0	0.0	13.88	0.0	91.56	11.46	5.06	57.42	5.71	2.41	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.76	50.15	165.27	31.91	32.55	28.45
Efhc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.4	1.7	1.64	1.24
Ehd4	0.0	0.0	0.0	0.0	0.0	8.15	13.24	0.0	8.93	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.41	41.92	10.78	11.61	10.71
Eif2ak1	0.0	0.0	0.0	70.17	3.32	0.0	6.14	0.0	62.88	0.0	14.32	29.44	24.2	6.61	58.92	60.35	0.5	0.59	0.0	39.47	8.02	0.0	15.75	120.82	66.21	67.05	64.24
Fam117b	35.82	0.0	18.07	5.64	0.79	6.61	0.0	14.16	13.94	0.0	0.0	0.0	16.19	0.0	0.0	0.0	2.7	2.86	42.92	0.0	61.08	0.0	0.0	145.81	40.0	38.65	37.03
Fancl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	3.48	4.56	4.45	0.0	0.0	0.0	0.0	6.16	8.42	9.2	7.81
Gm1141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.18	0.17	0.38
Gm128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.18	0.2	0.06	0.28
Gm16119	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	12.5	4.65	3.21	3.69
Gpt2	0.0	0.0	0.0	0.49	21.81	68.2	30.47	0.0	0.0	28.28	14.58	0.0	0.0	0.0	0.0	0.0	5.78	0.0	37.14	10.01	0.0	0.0	0.0	233.32	38.64	37.59	35.57
Gucy1a2	0.13	0.21	2.16	5.14	3.5	0.33	7.79	4.53	8.23	6.89	0.06	11.51	1.45	0.34	23.8	1.63	5.14	2.9	43.98	6.37	0.72	1.5	0.26	34.07	25.02	18.28	24.48
Hapln3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.14	2.16	1.18	1.22
Hyou1	8.34	34.48	1.0	0.11	1.3	22.24	1.7	2.36	2.0	22.32	2.29	1.45	3.0	5.69	4.72	0.42	31.34	35.52	0.26	3.02	1.32	1.39	1.22	44.62	59.99	58.04	57.41
Jarid2	0.0	0.0	0.0	19.84	0.54	23.11	19.5	0.0	0.0	0.5	3.21	4.52	12.26	21.51	0.98	23.13	28.14	5.24	0.0	5.96	0.0	0.0	0.0	51.51	18.22	18.72	18.93
Kctd15	0.0	0.0	28.67	0.0	0.0	0.0	0.0	0.0	0.0	20.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	45.5	13.32	14.12	12.61
Limd2	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.12	0.0	0.0	42.82	39.83	44.35	41.74
Malt1	1.06	8.01	0.6	3.14	2.0	4.61	3.04	1.85	2.3	5.98	1.86	3.51	5.52	1.84	2.25	2.44	6.17	3.83	3.94	3.23	3.15	3.42	2.2	36.5	7.04	4.96	6.17
Mettl4	0.0	0.0	0.0	33.98	24.27	0.0	0.0	0.0	0.0	35.09	0.0	0.0	0.0	0.0	21.66	22.48	20.15	68.04	0.0	0.0	33.89	28.04	0.0	152.77	10.73	9.24	9.42
Mir341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.07	3.3	6.22	10.22
Msc	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.24	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.87	0.0	0.0	0.0	128.47	2.43	2.51	3.05
Mtbp	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.66	1.85	1.84	1.49
Ncaph2	0.0	0.0	40.18	14.44	61.38	35.14	16.55	0.0	34.68	25.64	73.9	0.0	62.86	19.76	31.6	86.12	48.0	57.65	61.55	4.98	25.77	0.0	0.06	183.66	74.69	76.35	72.7
Nfkbid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.98	4.54	3.44	3.51
Nol4	0.0	0.0	0.0	0.0	0.29	10.82	10.97	0.0	0.52	0.08	40.53	0.0	0.0	3.72	0.0	0.0	0.82	0.0	15.81	9.94	0.0	0.0	17.6	116.01	68.21	60.89	65.55
Pak7	0.0	0.0	0.0	0.0	0.0	3.04	1.58	0.08	0.0	11.42	2.54	1.12	2.19	0.0	21.7	15.46	0.0	1.19	0.0	0.0	0.0	0.15	1.94	58.84	36.48	35.78	35.56
Pask	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	11.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.72	1.95	2.18	1.92
Pcdhb8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.82	2.35	2.45	1.63
