	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110021J02Rik	17.83	7.95	2.59	1.84	2.34	1.12	141.07	84.6	0.71	18.46	10.28	13.17	22.9	7.16	22.74	1.2	23.05	25.39	21.37	9.3	69.43	13.33	7.99	27.51	17.86	40.37	33.32	33.8	34.72
Atp8a1	23.25	0.0	0.0	0.34	0.18	3.68	179.12	26.99	17.12	53.05	23.69	12.34	13.42	85.33	11.94	10.27	46.06	3.39	9.17	10.52	10.72	5.37	49.7	8.75	35.74	9.92	95.39	93.01	98.58
B630005N14Rik	5.74	0.0	0.0	0.0	0.0	0.05	130.61	0.0	0.12	0.02	0.0	0.0	1.04	0.71	0.08	0.04	0.45	0.0	0.07	0.07	1.17	0.0	1.18	0.0	0.13	0.07	23.16	21.74	20.92
Capn7	0.77	0.0	0.0	0.0	0.0	0.0	56.6	1.41	12.28	18.81	5.87	0.88	0.09	3.61	1.71	0.0	0.0	0.0	0.0	0.0	1.99	1.83	0.0	2.8	0.25	2.84	32.12	28.52	29.43
Ccl27b	0.0	0.0	0.0	0.0	0.0	11.32	0.0	17.1	1.46	0.03	0.0	7.16	0.58	0.0	0.77	0.0	0.29	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	0.0	30.63	28.29	22.96
Ccni	50.5	0.0	0.15	0.14	0.0	84.83	130.64	43.25	15.02	26.31	47.8	61.19	72.59	25.25	9.43	15.52	0.0	17.11	37.94	25.32	6.05	33.56	9.15	45.75	41.51	36.79	203.39	206.34	205.86
Crtac1	0.0	0.0	0.0	0.0	0.0	29.42	129.28	7.32	6.56	0.0	0.0	27.86	22.77	0.1	0.0	0.0	0.0	0.0	0.32	0.0	9.63	0.0	0.0	0.0	1.4	1.1	62.95	67.27	66.8
Cyp2j13	1.98	0.0	0.08	0.0	0.22	1.67	16.4	6.86	1.32	0.64	2.05	1.94	3.84	0.56	2.51	0.67	3.84	0.49	1.37	0.32	0.6	1.15	0.91	0.06	0.47	1.36	1.52	1.53	1.89
Dlg3	7.98	0.0	0.0	0.0	0.0	44.34	63.72	36.57	21.96	2.03	6.89	43.11	24.78	3.05	18.71	22.72	4.01	2.49	57.87	30.22	26.09	31.72	30.39	1.8	32.01	1.3	115.59	116.54	115.46
Dnajc6	47.31	0.0	0.0	0.0	0.0	119.15	168.1	215.02	33.69	116.94	93.38	26.78	1.47	31.48	49.46	27.94	61.06	43.56	48.12	25.11	11.35	32.72	46.19	3.36	62.72	50.0	167.5	165.18	167.24
Dync1h1	12.76	0.0	0.0	0.98	0.03	41.81	69.52	23.99	16.41	7.61	22.04	26.48	20.44	65.45	19.79	12.59	9.32	18.14	10.53	23.15	20.98	16.92	4.21	20.7	20.3	21.03	143.44	143.12	153.5
Fam168a	35.13	0.0	0.0	0.0	1.62	55.43	126.1	73.13	20.64	67.32	33.75	50.32	41.95	7.9	21.92	39.76	5.54	4.6	7.92	23.85	29.6	27.71	25.1	32.53	39.87	39.62	138.38	130.56	137.97
Fam5b	21.71	0.0	0.0	0.0	0.0	114.19	82.5	1.71	19.19	3.5	22.46	23.82	38.05	0.0	0.08	31.78	0.0	0.0	27.45	30.56	66.38	20.67	8.96	11.37	11.46	5.3	67.67	69.72	71.26
Gda	18.51	0.0	0.08	0.0	0.05	63.5	171.87	49.94	36.13	17.88	0.3	3.89	15.12	0.05	4.54	40.5	0.0	6.33	42.75	6.89	77.23	50.42	0.0	19.26	14.01	16.21	173.69	169.3	165.34
Gde1	85.14	0.0	0.0	0.0	0.0	151.74	207.58	127.95	12.16	4.62	1.77	69.47	42.48	12.08	33.72	0.0	11.11	4.86	61.94	3.7	4.19	3.66	21.68	78.35	0.0	76.36	304.34	337.74	326.45
Gm10791	2.52	0.0	0.53	0.0	0.31	5.5	4.0	3.14	1.66	2.44	2.78	2.35	2.76	0.98	1.78	1.11	0.17	19.47	1.84	1.43	1.5	0.97	3.46	1.97	2.08	2.53	7.86	6.28	8.66
